日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM正数等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2021-10-28,=23994.8200,=29705.3500,=6901385087579.4307,=6455573701325,=3244384903560.7710,=1.8835,=0.5878,=2.1528,=1.8210,=1.4396
2021-10-27,=23845.0500,=29519.9500,=6863922632498.9004,=6423331910082,=3229821089450.5103,=1.8937,=0.5977,=2.1528,=1.8208,=1.4396
2021-10-26,=24136.1000,=29880.2600,=6976089491985.7197,=6534857204677,=3283447552494.8115,=1.9134,=0.6116,=2.1532,=1.8207,=1.4395
2021-10-25,=24248.0700,=30018.8800,=7007449261468.7109,=6565136920760,=3300681248873.5317,=1.9232,=0.6209,=2.1532,=1.8206,=1.4395
2021-10-22,=24330.9200,=30121.4500,=7072510757579.7813,=6630759207056,=3328818669503.1572,=1.9195,=0.6171,=2.1532,=1.8206,=1.4395
2021-10-21,=23970.5000,=29675.2400,=6936941577442.7715,=6497776066113,=3266239647186.2144,=1.9104,=0.6089,=2.1532,=1.8205,=1.4395
2021-10-20,=24022.7100,=29739.8900,=6941441299976.5498,=6499343821284,=3268533706850.5625,=1.9264,=0.6218,=2.1532,=1.8205,=1.4395
2021-10-19,=24079.4000,=29810.0600,=6915603203781.5098,=6468169301451,=3257284845661.7759,=1.9490,=0.6381,=2.1536,=1.8203,=1.4392
2021-10-18,=23434.6500,=29011.8700,=6763422123950.2998,=6336155210077,=3185584725265.1558,=1.8826,=0.5881,=2.1536,=1.8202,=1.4392
2021-10-15,=24306.2900,=30088.7700,=7111749838844.9893,=6677585763077,=3348896530647.0723,=1.8935,=0.5987,=2.1536,=1.8202,=1.4392
2021-10-14,=24441.4000,=30256.0200,=7136120222170.2197,=6698617673382,=3360394807039.2681,=1.9426,=0.6344,=2.1536,=1.8202,=1.4392
2021-10-13,=24656.2100,=30521.9400,=7195554299623.3975,=6748433957482,=3384013932726.4360,=1.9647,=0.6514,=2.1536,=1.8197,=1.4392
2021-10-12,=24061.9600,=29786.3200,=6997153646219.5293,=6558408019062,=3289759326313.6025,=1.9625,=0.6479,=2.1538,=1.8193,=1.4391
2021-10-11,=24096.2800,=29828.8000,=6983638621908.6484,=6542055836782,=3287459610758.3018,=1.9815,=0.6588,=2.1538,=1.8193,=1.4391
2021-10-08,=24117.6200,=29855.2200,=6964357274210.3994,=6523832005872,=3279954496716.5391,=1.9549,=0.6450,=2.1538,=1.8192,=1.4391
2021-09-30,=23353.5200,=28909.3400,=6800590353283.3672,=6374164731295,=3198209005888.2085,=1.8866,=0.5938,=2.1538,=1.8190,=1.4391
2021-09-29,=23219.3000,=28743.1900,=6763560200752.2109,=6339251178278,=3182468397953.2324,=1.8822,=0.5893,=2.1538,=1.8188,=1.4391
2021-09-28,=23136,=28640.0800,=6748584913039.6006,=6326457576589,=3174018789554.5898,=1.8993,=0.6033,=2.1550,=1.8187,=1.4390
2021-09-27,=23320.7800,=28868.8100,=6830453346033.0898,=6401969527645,=3211528786372.2388,=1.9212,=0.6193,=2.1550,=1.8187,=1.4390
2021-09-24,=22212.8700,=27497.3300,=6397560758680.0518,=5989784613943,=3019274054850.5405,=1.8753,=0.5845,=2.1550,=1.8187,=1.4390
2021-09-23,=21579.3700,=26713.1100,=6191099048903.8379,=5791378044893,=2926053317888.2134,=1.8458,=0.5494,=2.1550,=1.8186,=1.4390
2021-09-22,=21305.2600,=26373.8000,=6139852948728.1592,=5746208000510,=2902321557902.1333,=1.8035,=0.4817,=2.1550,=1.8183,=1.4390
2021-09-17,=21857.1300,=27056.9600,=6318552639529.7217,=5912329553224,=2982754405770.0581,=1.8309,=0.5195,=2.1551,=1.8186,=1.4390
2021-09-16,=21369.3200,=26453.1000,=6164754408183.2695,=5763289265541,=2905596946959.0615,=1.8373,=0.5318,=2.1551,=1.8183,=1.4390
2021-09-15,=21117.8200,=26141.7700,=6096971279001.3604,=5701698331462,=2871827850558.4580,=1.8057,=0.4828,=2.1551,=1.8180,=1.4390
2021-09-14,=21571.8600,=26703.8300,=6246481907571.3799,=5845444876992,=2941419539081.2612,=1.8119,=0.4891,=2.1551,=1.8183,=1.4390
2021-09-13,=21754.3100,=26929.6700,=6280007645389.0313,=5873332709373,=2954723884096.8066,=1.8479,=0.5519,=2.1551,=1.8186,=1.4390
2021-09-10,=22018.1900,=27256.3300,=6349748086446.2207,=5938317095202,=2985805967402.6509,=1.8556,=0.5659,=2.1565,=1.8183,=1.4385
2021-09-09,=21741.4200,=26913.7100,=6252129868329.5996,=5841549945573,=2936595565181.0986,=1.8610,=0.5708,=2.1565,=1.8180,=1.4385
2021-09-08,=21789.0200,=26972.6400,=6261844369743.6436,=5850266827968,=2940526511142.6499,=1.8512,=0.5582,=2.1565,=1.8179,=1.4385
2021-09-07,=22055.0500,=27301.9600,=6360502123076.1504,=5946686766236,=2988044746416.9063,=1.8412,=0.5422,=2.1565,=1.8178,=1.4385
2021-09-06,=21997.7500,=27231.0400,=6351873927126.5703,=5938153283946,=2981785415369.7109,=1.8272,=0.5154,=2.1565,=1.8177,=1.4385
2021-09-03,=21454.4600,=26558.4900,=6216623353781.7803,=5813653829836,=2918704540923.6040,=1.8033,=0.4828,=2.1570,=1.8176,=1.4383
2021-09-02,=21144.3700,=26174.6200,=6113794581502.4590,=5718039067449,=2869392641418.1123,=1.7735,=0.4512,=2.1570,=1.8177,=1.4383
2021-09-01,=21486.2200,=26597.8100,=6201305805027.6816,=5799336040275,=2911494448964.6943,=1.7818,=0.4605,=2.1570,=1.8178,=1.4383
2021-08-31,=20868.6500,=25833.3200,=6019439769783.0410,=5607412798878,=2823156920416.3535,=1.7490,=0.4224,=2.1570,=1.8179,=1.4383
2021-08-30,=21157.9300,=26191.4200,=6135597183437.1396,=5724596884947,=2869966200619.5269,=1.7622,=0.4344,=2.1570,=1.8180,=1.4383
2021-08-27,=21170.6100,=26207.1100,=6144105880513.1787,=5726856500508,=2854856438232.9990,=1.7762,=0.4555,=2.1574,=1.8183,=1.4380
2021-08-26,=21215.3400,=26262.4900,=6159154565979.6094,=5737811718220,=2724691697808.7598,=1.8079,=0.4855,=2.1574,=1.8186,=1.4380
2021-08-25,=21849.2500,=27047.2000,=6371273018370.7803,=5942838969775,=2820826624624.4141,=1.8355,=0.5283,=2.1574,=1.8187,=1.4380
2021-08-24,=21538.8900,=26663.0100,=6257166302556.8887,=5830257373454,=2769024274762.6924,=1.8312,=0.5200,=2.1574,=1.8186,=1.4380
2021-08-23,=21141.8800,=26171.5500,=6108911537840.2393,=5687089147897,=2703402620183.2349,=1.8354,=0.5273,=2.1574,=1.8183,=1.4380
2021-08-20,=20930.6300,=25910.0500,=6044783187514.1787,=5629237804854,=2674814729140.9160,=1.8253,=0.5112,=2.1576,=1.8180,=1.4375
2021-08-19,=21902.4300,=27092.5500,=6351407229124.3027,=5926630278021,=2805183334712.7808,=1.8511,=0.5561,=2.1576,=1.8179,=1.4375
2021-08-18,=22225.5900,=27492.2900,=6428729806510.5713,=5995202475012,=2837111628035.7339,=1.8740,=0.5797,=2.1576,=1.8178,=1.4375
2021-08-17,=22203.0400,=27464.3900,=6434862597820.5098,=6004319658067,=2843229474559.6650,=1.8749,=0.5805,=2.1576,=1.8177,=1.4375
2021-08-16,=23106.6100,=28582.0700,=6697099405270.1699,=6253474535096,=2958415860327.6816,=1.9153,=0.6102,=2.1576,=1.8176,=1.4375
