日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2011-07-08,=6707.3630,,=1283884130034.3999,=1007243522547,=532003953227.2508,=4.9865,=0.3857,=5.8266,=5.2998,=4.6585
2011-07-07,=6715.7180,,=1285975191609.6001,=1008171416133,=532699478160.4459,=4.9994,=0.3885,=5.8266,=5.3014,=4.6585
2011-07-06,=6662.3280,,=1274121239170.2998,=997460610920,=527970238737.1453,=4.9535,=0.3730,=5.8266,=5.3031,=4.6585
2011-07-05,=6603.4060,,=1263683497185.6003,=989315756458,=523596230174.7922,=4.9078,=0.3532,=5.8350,=5.3097,=4.6575
2011-07-04,=6587.4600,,=1262695481297.3000,=988425159883,=522728638173.9295,=4.8912,=0.3457,=5.8350,=5.3163,=4.6575
2011-07-01,=6469.2690,,=1242849711840.8003,=972839109105,=513777288634.1096,=4.7981,=0.3134,=5.8350,=5.3165,=4.6575
2011-06-30,=6424.7020,,=1087634146175.2000,=875134142356,=475785403808.2740,=4.7957,=0.3120,=5.8350,=5.3167,=4.6575
2011-06-29,=6372.9140,,=1078786841100.9000,=868096710002,=471854707211.5554,=4.7402,=0.2816,=5.8350,=5.3203,=4.6575
2011-06-28,=6440.2970,,=1087445327292.9000,=875207329731,=476277850956.9897,=4.8068,=0.3195,=5.8509,=5.3239,=4.6557
2011-06-27,=6401.8230,,=1076827793858.1002,=868514401082,=472539574559.4102,=4.7863,=0.3077,=5.8509,=5.3244,=4.6557
2011-06-24,=6354.1810,,=1068001120531.7998,=861061291737,=468815420681.9640,=4.7172,=0.2625,=5.8509,=5.3249,=4.6557
2011-06-23,=6256.6490,,=1056625364723.4000,=852159476432,=462804238501.6873,=4.6163,=0.1691,=5.8509,=5.3277,=4.6557
2011-06-22,=6165.6020,,=1040699363707,=840286103089,=455972709106.7861,=4.5469,=0.1318,=5.8509,=5.3305,=4.6575
2011-06-21,=6136.8080,,=1032567782647.4000,=834506990909,=452884145334.3724,=4.5475,=0.1321,=5.8563,=5.3312,=4.6575
2011-06-20,=6080.4190,,=1021410282254.2000,=826844534463,=448511018670.1220,=4.4908,=0.0924,=5.8563,=5.3319,=4.6585
2011-06-17,=6160.2570,,=1033190372554.9000,=837789800376,=454182473213.2050,=4.5389,=0.1263,=5.8563,=5.3376,=4.6598
2011-06-16,=6199.4010,,=1037268367068.1998,=839111627070,=456172830328.2634,=4.6066,=0.1603,=5.8563,=5.3434,=4.6598
2011-06-15,=6308.7830,,=1050760027058.4000,=850622277618,=463374980195.0384,=4.7154,=0.2495,=5.8563,=5.3436,=4.6599
2011-06-14,=6338.3040,,=1055373142875.7004,=854383615120,=465502735931.2718,=4.7177,=0.2521,=5.8607,=5.3438,=4.6598
2011-06-13,=6280.6990,,=1047915607472.6000,=847089331176,=461700627597.0413,=4.6672,=0.2123,=5.8607,=5.3456,=4.6598
2011-06-10,=6370.3190,,=1060352985258.4004,=855340538737,=467859119513.9090,=4.7007,=0.2362,=5.8607,=5.3474,=4.6598
2011-06-09,=6320.3370,,=1053329107901.1000,=848080665763,=464380783915.3214,=4.6646,=0.2090,=5.8607,=5.3476,=4.6598
2011-06-08,=6480.1170,,=1079378273383.1000,=869817319587,=476202462161.5853,=4.8068,=0.2991,=5.8607,=5.3479,=4.6598
2011-06-07,=6442.1490,,=1073676212805.3000,=865433656683,=473609838618.4573,=4.7640,=0.2827,=5.8655,=5.3575,=4.6598
2011-06-03,=6440.1080,,=1075362988430.4000,=867517454258,=473994953470.8784,=4.7517,=0.2704,=5.8655,=5.3672,=4.6598
2011-06-02,=6331.8280,,=1057058330150.4000,=852677865399,=465929604375.7575,=4.6796,=0.2237,=5.8655,=5.3726,=4.6598
2011-06-01,=6414.4090,,=1071039672827.2998,=864093640528,=471969040304.9089,=4.7563,=0.2716,=5.8655,=5.3780,=4.6598
2011-05-31,=6314.6310,,=1052784477817.1000,=847435916542,=464011913956.0386,=4.6716,=0.2160,=5.8655,=5.3823,=4.6598
2011-05-30,=6267.6280,,=1047468746322.4000,=842540070250,=461160331007.5143,=4.6424,=0.1818,=5.8741,=5.3865,=4.6585
2011-05-27,=6220.2750,,=1035683639533.3000,=831637655255,=456725158570.5578,=4.6795,=0.2191,=5.8741,=5.3867,=4.6598
2011-05-26,=6377.7230,,=1059145118391.2002,=851986180862,=467850779015.2126,=4.7987,=0.2826,=5.8741,=5.3868,=4.6598
2011-05-25,=6347.0360,,=1054644210266.8000,=845820248840,=465590026106.3865,=4.7765,=0.2789,=5.8741,=5.3921,=4.6598
2011-05-24,=6353.7280,,=1058416416144.4000,=846955487758,=466575139724.8845,=4.7543,=0.2664,=5.8741,=5.3974,=4.6598
