日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2022-09-06,=21581.6900,=27073.0200,=6712929802691.6797,=6019197554192,=2913089342500.7300,=51.7552,=0.9582,=40.9910,=31.1141,=24.2996
2022-09-05,=21521.2400,=26997.1800,=6685716858139.6904,=5992452886542,=2902635509814.3301,=51.5454,=0.9569,=40.9733,=31.1098,=24.2996
2022-09-02,=21826.3100,=27379.8800,=6800518780882.7197,=6098835204044,=2950768280852.5498,=52.4305,=0.9628,=40.9701,=31.1008,=24.2996
2022-09-01,=22061.2900,=27674.6400,=6864886041489.2598,=6155578327496,=2975943982405.3896,=52.9267,=0.9656,=40.9701,=31.0918,=24.2673
2022-08-31,=22369.3700,=28061.1100,=6979647471253.5889,=6264634317194,=3027460806260.9600,=53.8115,=0.9713,=40.9260,=31.0903,=24.2673
2022-08-30,=22180.9900,=27824.8100,=6866441650688.6016,=6153945755572,=2972653391672.2603,=52.2901,=0.9619,=40.9149,=31.0887,=24.2673
2022-08-29,=22200.9200,=27849.8000,=6880824173689.9102,=6171813542050,=2980388775919.2017,=52.4928,=0.9637,=40.8933,=31.0878,=24.2673
2022-08-26,=22425.5800,=28131.6300,=6954844466570.8896,=6241106570275,=3003930784952.6548,=54.2178,=0.9731,=40.8636,=31.0868,=24.2673
2022-08-25,=22185.5900,=27799,=6883744021992.4717,=6180077687764,=2976228760036.7202,=53.8201,=0.9718,=40.8636,=31.0752,=24.2649
2022-08-24,=21787.6500,=27299.0800,=6765558141827.3213,=6070805826100,=2925602857616.2856,=52.8511,=0.9665,=40.8249,=31.0636,=24.2649
2022-08-23,=21913.4200,=27456.6600,=6813592125021.6191,=6112452372743,=2945317027208.7197,=53.2077,=0.9674,=40.8004,=31.0607,=24.2649
2022-08-22,=22107.6600,=27700.0400,=6889873181129.3203,=6181442491738,=2975138296367.9922,=53.8645,=0.9728,=40.7822,=31.0577,=24.2649
2022-08-19,=21984.3500,=27545.5400,=6868212240581.9287,=6162933518739,=2966001894111.0649,=53.5240,=0.9699,=40.7743,=31.0545,=24.2649
2022-08-18,=21849.3700,=27376.4100,=6852054838301.3311,=6149180682330,=2941782200546.4424,=54.8052,=0.9743,=40.7743,=31.0513,=24.2345
2022-08-17,=22218.0400,=27838.3400,=6956995289363.0889,=6232619050617,=2986824064262.0869,=55.6570,=0.9777,=40.7703,=31.0401,=24.2345
2022-08-16,=22093.2200,=27681.9400,=6927966843693.9297,=6206681808670,=2974942558301.3062,=55.5019,=0.9774,=40.7527,=31.0289,=24.2345
2022-08-15,=22084.4200,=27670.9100,=6935310319819.0107,=6218478892394,=2973962943604.8228,=55.4232,=0.9768,=40.7060,=31.0254,=24.2345
2022-08-12,=22295.6700,=27935.6100,=6997192318455.1396,=6272999170387,=2998471621169.7378,=55.9178,=0.9796,=40.7002,=31.0219,=24.2345
2022-08-11,=22148.2300,=27750.8700,=6943689230760.5908,=6217239025691,=2974899753894.7358,=55.4902,=0.9774,=40.7002,=31.0219,=24.2333
2022-08-10,=21789.2600,=27301.0900,=6827895529661.9785,=6115307625335,=2926123622330.8379,=54.5486,=0.9752,=40.6835,=31.0219,=24.2333
2022-08-09,=22125.4500,=27722.3300,=6946024117502.6406,=6220253229570,=2974245007581.2480,=55.4924,=0.9777,=40.6710,=31.0159,=24.2333
2022-08-08,=22281.8600,=27918.3000,=6974619135282.9395,=6204718555412,=2989572908029.0859,=55.7208,=0.9790,=40.6482,=31.0098,=24.2333
2022-08-05,=22433.5400,=28108.3600,=7023791532433.4102,=6244026839787,=3009932748841.5371,=56.0377,=0.9805,=40.6349,=31.0072,=24.2333
2022-08-04,=22229.7500,=27852.3800,=6964229906790.2090,=6201875520975,=2986500717914.8540,=55.7679,=0.9796,=40.6349,=31.0045,=24.2192
2022-08-03,=21910.4300,=27452.2900,=6862545122211.5586,=6106288871614,=2942096259207.3232,=54.9536,=0.9774,=40.6255,=30.9921,=24.2192
2022-08-02,=22088,=27674.7800,=6890620139719.5898,=6130157357277,=2955870912510.7925,=56.0079,=0.9805,=40.6101,=30.9798,=24.2192
2022-08-01,=22378.0500,=28038.1900,=6965646089532.2227,=6190478770116,=2987873223670.8477,=56.6177,=0.9821,=40.5936,=30.9794,=24.2192
2022-07-29,=22266.2300,=27898.0800,=6942082120636.0215,=6177518488275,=2981944494775.0298,=56.4855,=0.9817,=40.5796,=30.9790,=24.2192
2022-07-28,=22628.3500,=28351.8000,=7045099846899.8496,=6269829894018,=3020188897665.5830,=57.3205,=0.9830,=40.5796,=30.9651,=24.2101
2022-07-27,=22695.9400,=28436.4800,=7078248772654.8398,=6302471404653,=3036588143180.4268,=57.5902,=0.9836,=40.5471,=30.9512,=24.2101
2022-07-26,=22916.2500,=28712.5200,=7163494749627.8516,=6385445334774,=3072241782375.3652,=58.2837,=0.9868,=40.5406,=30.9480,=24.2101
2022-07-25,=22728.4000,=28477.1600,=7114633139401.7715,=6339643670037,=3051024415396.2466,=57.8862,=0.9855,=40.5349,=30.9449,=24.2101
2022-07-22,=22624.4800,=28346.9500,=7092569970158.1104,=6319162296081,=3041489657112.9609,=57.7067,=0.9846,=40.5245,=30.9443,=24.2101
2022-07-21,=22744.5500,=28497.3900,=7110384381559.0215,=6327628456579,=3048110969097.3477,=57.8516,=0.9855,=40.5245,=30.9437,=24.1445
2022-07-20,=22929.1300,=28728.5300,=7168602425142.2207,=6379563872005,=3071796561857.0220,=58.3253,=0.9871,=40.5207,=30.9406,=24.1445
2022-07-19,=22830.0300,=28602.9100,=7129392210426.2510,=6348167565234,=3059354155066.0161,=58.0063,=0.9864,=40.5132,=30.9374,=24.1445
2022-07-18,=22805.5200,=28567.0300,=7132187450556.6104,=6348503019112,=3059874941820.9121,=58.0290,=0.9867,=40.4987,=30.9367,=24.1445
2022-07-15,=22846.8900,=28618.8600,=7142654604021.3301,=6359039505626,=3063732215021.0869,=58.1142,=0.9871,=40.4961,=30.9361,=24.1445
2022-07-14,=22967.7300,=28770.2300,=7168655762237.8213,=6377671547418,=3076486542481.5825,=58.3257,=0.9874,=40.4961,=30.9326,=24.1145
2022-07-13,=23121.4200,=28962,=7211326707856.4512,=6415123073652,=3094437771079.2979,=58.6729,=0.9880,=40.4943,=30.9292,=24.1145
2022-07-12,=23034.3100,=28850.4400,=7171836525962.2490,=6381105810484,=3079747701194.3745,=58.3516,=0.9880,=40.4912,=30.9281,=24.1145
2022-07-11,=23298.9500,=29180.6900,=7244520752830.4131,=6434281128523,=3108985075191.6064,=58.9430,=0.9886,=40.4827,=30.9269,=24.1145
2022-07-08,=23527.6800,=29467.1700,=7350744430476.6104,=6531402375547,=3148775409081.3271,=59.8072,=0.9893,=40.4635,=30.9265,=24.1145
2022-07-07,=23452.5000,=29373.0100,=7327444716996.3418,=6509638911233,=3137260142909.3745,=59.6177,=0.9892,=40.4635,=30.9261,=24.1128
2022-07-06,=23498.2500,=29428.6600,=7360647461790.3408,=6541177964153,=3149857458180.2881,=59.8878,=0.9899,=40.4252,=30.9212,=24.1128
2022-07-05,=24030.9900,=30095.8500,=7508664581946.5195,=6670803319801,=3213127616633.2256,=61.0921,=0.9911,=40.4135,=30.9164,=24.1128
2022-07-04,=24169.5400,=30269.3700,=7533693801252.7275,=6686081212674,=3219806510196.3452,=61.2958,=0.9918,=40.4060,=30.8931,=24.1128
2022-07-01,=23805.0400,=29812.8700,=7481305353425.8691,=6657383205753,=3196022976899.3374,=60.8695,=0.9915,=40.3952,=30.8698,=24.1128
2022-06-30,=23940.6000,=29982.6400,=7529097140190.1182,=6702456886163,=3214008920786.4297,=61.2584,=0.9918,=40.3952,=30.8625,=24.1103
2022-06-29,=23326.6300,=29181.4400,=7360468403824.3584,=6539286973419,=3145289401408.2319,=59.8864,=0.9911,=40.3918,=30.8551,=24.1103
2022-06-28,=23763.9400,=29680.7000,=7454591712465.2402,=6615535937766,=3191731622574.0781,=60.6522,=0.9918,=40.3567,=30.8548,=24.1103
2022-06-27,=23663.2200,=29543.1000,=7398385577219.8896,=6559957510213,=3166230027456.1958,=60.1949,=0.9918,=40.3546,=30.8544,=24.1103
2022-06-24,=22999.4200,=28714.3600,=7227313497290.5811,=6426385659592,=3101987111042.4829,=58.8030,=0.9918,=40.3244,=30.8472,=24.1103
2022-06-23,=22721.7800,=28366.1800,=7102523521595.1807,=6311899186953,=3049679612454.5859,=57.7877,=0.9914,=40.3244,=30.8400,=24.1075
2022-06-22,=22543.3600,=28136.3700,=7034189686503.5576,=6251539038897,=3022822308222.6387,=57.2317,=0.9908,=40.3151,=30.8382,=24.1075
2022-06-21,=22704.0300,=28309.6700,=7095281082951.4785,=6306877486076,=3044493394514.6621,=57.7287,=0.9914,=40.2555,=30.8364,=24.1075
2022-06-20,=22801.9300,=28431.7400,=7119117498502.7197,=6323878024992,=3052397819860.8091,=57.9227,=0.9917,=40.2544,=30.8347,=24.1075
2022-06-17,=22573.7700,=28146.3000,=7068921669445.8398,=6279885436698,=3035662991267.1997,=57.5143,=0.9917,=40.2460,=30.8329,=24.1075
2022-06-16,=22264.8900,=27761.1600,=6916267038756.1504,=6135034816980,=2970827733676.6328,=56.2722,=0.9911,=40.2460,=30.8250,=24.0711
2022-06-15,=22148.4700,=27604.4600,=6892564570836.5488,=6121700904293,=2959650533023.0703,=56.0794,=0.9911,=40.1837,=30.8171,=24.0711
2022-06-14,=21973.5000,=27386.2200,=6842149556495.8779,=6076039520486,=2939353374090.5371,=55.6692,=0.9901,=40.1770,=30.8137,=24.0711
2022-06-13,=21678.1000,=27018.0600,=6768803318909.3203,=6010044839182,=2905363206846.9888,=55.0724,=0.9889,=40.1654,=30.8103,=24.0711
2022-06-10,=21855.6000,=27234.5600,=6724650964330.2793,=6061938760925,=2929253917359.6030,=67.7039,=1,=40.1645,=30.8025,=24.0711
2022-06-09,=21644.9800,=26968.3800,=6621077250992.6299,=5968868361701,=2887316132756.3340,=66.6611,=0.9997,=40.1645,=30.7946,=24.0638
2022-06-08,=21862.0600,=27229.7600,=6700790626726.8916,=6027436387667,=2914270088247.7549,=67.4637,=1,=40.1151,=30.7932,=24.0638
2022-06-07,=21578.8700,=26877.0400,=6588447378298.6914,=5919904291008,=2863208324904.3110,=66.3326,=1,=40.0569,=30.7919,=24.0638
2022-06-06,=21274.2500,=26497.6200,=6486593274662.1309,=5824704460672,=2821563640860.4736,=65.3071,=0.9997,=40.0242,=30.7888,=24.0638
2022-06-02,=21099.9400,=26280.5100,=6436004442739.1592,=5779759908772,=2803315395208.4424,=64.7978,=0.9990,=40.0184,=30.7858,=24.0638
2022-06-01,=21244.4100,=26460.4500,=6467868325335.5605,=5807614047886,=2817495634658.5093,=65.1186,=0.9994,=40.0184,=30.7808,=24.0597
2022-05-31,=21499.8400,=26715.2800,=6531943977209.6191,=5863305958186,=2848259785941.0601,=65.7637,=1,=40.0031,=30.7758,=24.0597
2022-05-30,=20913.6500,=25977.5000,=6372606403745.1172,=5722143827405,=2781527396857.6548,=64.1595,=0.9994,=40.0003,=30.7728,=24.0597
2022-05-27,=20525.0600,=25479.6500,=6245132498680.7109,=5604244570588,=2730427713837.4385,=62.8761,=0.9962,=39.9872,=30.7697,=24.0597
2022-05-26,=20503.1600,=25452.4700,=6226314923720.8711,=5577758306979,=2722158383569.0625,=62.6866,=0.9959,=39.9750,=30.7619,=24.0597
2022-05-25,=20531.5900,=25487.7600,=6245729009782.8076,=5597625227769,=2730338121718.8213,=62.8821,=0.9965,=39.9750,=30.7542,=24.0554
2022-05-24,=20423.3700,=25349.5000,=6230446214256.4277,=5590287073455,=2722556424074.2471,=62.7282,=0.9965,=39.9569,=30.7512,=24.0554
2022-05-23,=20815.8000,=25836.5900,=6334152876835.7412,=5682074256014,=2768662011704.6392,=63.7724,=0.9994,=39.9440,=30.7482,=24.0554
2022-05-20,=20972.1100,=26027.5200,=6395650273444.7100,=5744482609065,=2793834584601.5068,=64.3915,=0.9997,=39.9221,=30.7361,=24.0554
2022-05-19,=20388.4500,=25303,=6212070816795.9609,=5573152257130,=2714666821298.3931,=62.5432,=0.9968,=39.9200,=30.7240,=24.0554
2022-05-18,=20626.8000,=25598.8000,=6264109333790.0498,=5618886853291,=2739087938935.6748,=63.0672,=0.9974,=39.9200,=30.7122,=24.0518
2022-05-17,=20734.0500,=25729.3400,=6297373300303.1201,=5648578751552,=2752564058783.3081,=63.4021,=0.9987,=39.8831,=30.7004,=24.0518
2022-05-16,=20686.2400,=25670.0200,=6272997494802.8916,=5622006450053,=2742434521587.2749,=63.1566,=0.9981,=39.8788,=30.6871,=24.0518
2022-05-13,=20795.0300,=25805.0100,=6320055946992.9395,=5672924490020,=2764234889356.2466,=63.6304,=0.9994,=39.8501,=30.6739,=24.0518
2022-05-12,=20885.8900,=25914.3200,=6324849525323.8086,=5671189308840,=2766268927112.8467,=63.6787,=0.9997,=39.8436,=30.6644,=24.0518
2022-05-11,=20856.1500,=25877.4200,=6319377992169.7305,=5665913716155,=2765314213830.5024,=63.6236,=0.9997,=39.8436,=30.6548,=24.0235
2022-05-10,=20777.6800,=25780.0600,=6282792131510.1406,=5635535131164,=2756376176683.9722,=63.2553,=0.9994,=39.8312,=30.6542,=24.0235
2022-05-09,=20506.3300,=25443.3800,=6217160294579.8994,=5574435562947,=2725203100632.0083,=62.5945,=0.9994,=39.8191,=30.6536,=24.0235
2022-05-06,=20633.9800,=25601.7600,=6292396377881.2793,=5652368566834,=2757490195126.0107,=63.3520,=0.9997,=39.8123,=30.6363,=24.0235
2022-05-05,=21239.5000,=26353.0600,=6473487735824.7598,=5818715188344,=2834297106225.5898,=65.1752,=1,=39.8023,=30.6190,=24.0235
2022-04-29,=21191.9200,=26294.0300,=6479205837945.8018,=5808599407889,=2818868119487.9009,=47.0076,=0.9224,=39.8023,=30.6128,=24.0175
2022-04-28,=21217.4600,=26279.2500,=6482984386821.5693,=5820537183681,=2821959267353.3979,=48.4049,=0.9429,=39.7929,=30.6066,=24.0175
