日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-05-24,=996.6500,=1005.1400,=2110547500642.4399,=875610011516,=758416167922.0599,=5.5665,=0.0226,=11.6050,=9.9077,=8.2092
2022-05-23,=1046.1500,=1054.7500,=2212788203211.2100,=918354785145,=795333431264.6296,=5.8361,=0.0407,=11.6201,=9.9090,=8.2092
2022-05-20,=1045.3800,=1053.9800,=2207566753253.1597,=917330469873,=794425122708.1101,=5.8224,=0.0385,=11.6201,=9.9141,=8.2375
2022-05-19,=1036.3400,=1044.8700,=2178197381643.8301,=908798345104,=786740615188.8900,=5.7449,=0.0341,=11.6201,=9.9193,=8.2380
2022-05-18,=1014,=1022.3400,=2130658466067.1399,=888744241130,=769877116232,=5.6195,=0.0273,=11.6201,=9.9199,=8.2695
2022-05-17,=1010.3700,=1018.6800,=2123346448658.6499,=881291684173,=765022823977.7799,=5.6002,=0.0228,=11.6201,=9.9205,=8.2853
2022-05-16,=996.5100,=1004.7100,=2096226887553.7400,=867931409585,=753626903982.4099,=5.5287,=0.0206,=11.6209,=9.9231,=8.2853
2022-05-13,=1010.8000,=1019.0500,=2123554547461.3999,=880780504489,=763909552416.6998,=5.6008,=0.0206,=11.6209,=9.9257,=8.3014
2022-05-12,=1013.0600,=1021.3300,=2134432514525.6201,=882766510171,=765812894471.6798,=5.6980,=0.0230,=11.6209,=9.9390,=8.3054
2022-05-11,=1002.4600,=1010.5900,=2108613263980.7903,=873990912503,=758029923462.8201,=5.6291,=0.0207,=11.6209,=9.9523,=8.3140
2022-05-10,=972.1400,=980.0300,=2049763788576.3899,=848019941178,=734945012032.8101,=5.4720,=0.0185,=11.6209,=9.9537,=8.3141
2022-05-09,=946.7200,=954.4100,=1998590777330.2405,=825782429247,=715242203210.6698,=5.3354,=0.0069,=11.6284,=9.9552,=8.3141
2022-05-06,=942.2300,=949.8700,=1994630904158.2410,=823456734968,=713904789097.1501,=5.3248,=0.0046,=11.6284,=9.9703,=8.3170
2022-05-05,=956.1300,=963.7200,=2026179085159.1296,=835077097086,=724141555852.2899,=5.4090,=0.0070,=11.6284,=9.9855,=8.3198
2022-04-29,=947.1500,=954.6400,=2005610912414.4800,=826782385515,=712772870543.6699,=5.4287,=0.0070,=11.6284,=9.9855,=8.3286
2022-04-28,=903.0600,=910.2000,=1915061347147.0500,=787716446192,=667565888324.2802,=5.2302,=0,=11.6284,=9.9856,=8.3490
2022-04-27,=906.4300,=913.6000,=1928450833471.9399,=792347092350,=665996445722.5400,=5.4484,=0.0047,=11.6365,=9.9902,=8.3490
2022-04-26,=868.0700,=874.9300,=1856104383503.0496,=759072923509,=638214769012.8000,=5.2437,=0,=11.6365,=9.9949,=8.3505
2022-04-25,=884.3000,=891.3000,=1886655977841.9199,=772792441719,=637214537243.1001,=5.4036,=0,=11.6365,=9.9966,=8.3516
2022-04-22,=942.0700,=949.5200,=2004301201763.0896,=821737719168,=669288854407.2002,=5.7573,=0,=11.6365,=9.9983,=8.3744
2022-04-21,=957.7200,=965.2900,=2027576668345.8701,=835852589626,=679727572719.7500,=5.9583,=0,=11.6365,=10.0014,=8.3781
2022-04-20,=973.5100,=981.2100,=2063517125662.3799,=848206564732,=690489324300.6500,=6.0689,=0.0024,=11.7078,=10.0045,=8.3781
2022-04-19,=989.9300,=997.7600,=2090934812372.5000,=861509562785,=702039205152.9398,=6.1541,=0.0095,=11.7078,=10.0209,=8.3816
2022-04-18,=1004.6100,=1012.5500,=2118443920313.2896,=875126347626,=712002849881.7001,=6.2417,=0.0119,=11.7078,=10.0372,=8.3827
2022-04-15,=973.3600,=981.0500,=2061930809611.5703,=846999755993,=686714511612.6400,=6.0788,=0.0024,=11.7078,=10.0381,=8.3831
2022-04-14,=975.5700,=983.2800,=2066571168783.6699,=849541675536,=682431253618.7201,=6.1057,=0.0024,=11.7078,=10.0390,=8.4049
2022-04-13,=964.8300,=972.4600,=2036606331691.7800,=837953072904,=673775012855.0699,=6.0172,=0,=11.7203,=10.0392,=8.4049
2022-04-12,=994.4400,=1002.3000,=2092858476504.8904,=863096927209,=694158825399.2499,=6.1869,=0.0024,=11.7203,=10.0394,=8.4129
2022-04-11,=988.7600,=996.5700,=2073280271150.0200,=856554848339,=677040140449.4802,=6.1397,=0,=11.7203,=10.0422,=8.4144
2022-04-08,=1027.2400,=1035.3600,=2159613807345.8303,=888359638158,=703678382865.1299,=6.3954,=0,=11.7203,=10.0449,=8.4318
2022-04-07,=1036.0700,=1044.2600,=2179317736523.5107,=895685985507,=705581590849.2899,=6.4625,=0,=11.7203,=10.0485,=8.4334
2022-04-06,=1058.4900,=1066.8600,=2222650915600.6304,=915592772574,=719160225722.3400,=6.5982,=0,=11.7247,=10.0522,=8.4334
2022-04-01,=1089.1900,=1097.8000,=2275531995175.2603,=941332403931,=740432002378.2598,=6.7552,=0.0024,=11.7247,=10.0573,=8.4507
2022-03-31,=1091.0600,=1099.6800,=2279640710545.8203,=938405321263,=741903500756.2198,=6.7819,=0.0024,=11.7247,=10.0624,=8.4562
2022-03-30,=1112.5200,=1121.3100,=2319335954524.6895,=953536715796,=745911429714.5601,=7.0241,=0.0122,=11.7247,=10.0656,=8.4587
