日期,="华夏上证科创板50成份ETF相对起始点分红再投入收益率",="科创50相对起始点全收益率",="绝对收益率差值(基金相对值 / 指数相对值 - 1)"
2024-09-04,=-0.5103,=-0.4877,=-0.0442
2024-09-03,=-0.5085,=-0.4856,=-0.0445
2024-09-02,=-0.5116,=-0.4894,=-0.0435
2024-08-30,=-0.4942,=-0.4710,=-0.0439
2024-08-29,=-0.5048,=-0.4821,=-0.0439
2024-08-28,=-0.5107,=-0.4885,=-0.0435
2024-08-27,=-0.5086,=-0.4861,=-0.0439
2024-08-26,=-0.5027,=-0.4799,=-0.0438
2024-08-23,=-0.5002,=-0.4774,=-0.0437
2024-08-22,=-0.5005,=-0.4776,=-0.0438
2024-08-21,=-0.4959,=-0.4729,=-0.0435
2024-08-20,=-0.4945,=-0.4715,=-0.0435
2024-08-19,=-0.4873,=-0.4640,=-0.0435
2024-08-16,=-0.4859,=-0.4626,=-0.0435
2024-08-15,=-0.4843,=-0.4608,=-0.0435
2024-08-14,=-0.4891,=-0.4658,=-0.0436
2024-08-13,=-0.4822,=-0.4584,=-0.0440
2024-08-12,=-0.4845,=-0.4610,=-0.0437
2024-08-09,=-0.4857,=-0.4623,=-0.0435
2024-08-08,=-0.4834,=-0.4598,=-0.0438
2024-08-07,=-0.4848,=-0.4612,=-0.0437
2024-08-06,=-0.4803,=-0.4564,=-0.0440
2024-08-05,=-0.4873,=-0.4637,=-0.0439
2024-08-02,=-0.4720,=-0.4474,=-0.0444
2024-08-01,=-0.4625,=-0.4374,=-0.0446
2024-07-31,=-0.4593,=-0.4339,=-0.0447
2024-07-30,=-0.4834,=-0.4594,=-0.0444
2024-07-29,=-0.4854,=-0.4614,=-0.0445
2024-07-26,=-0.4762,=-0.4521,=-0.0441
2024-07-25,=-0.4808,=-0.4569,=-0.0441
2024-07-24,=-0.4814,=-0.4573,=-0.0443
2024-07-23,=-0.4756,=-0.4514,=-0.0440
2024-07-22,=-0.4535,=-0.4279,=-0.0447
2024-07-19,=-0.4551,=-0.4299,=-0.0443
2024-07-18,=-0.4659,=-0.4406,=-0.0453
2024-07-17,=-0.4707,=-0.4455,=-0.0454
2024-07-16,=-0.4685,=-0.4432,=-0.0455
2024-07-15,=-0.4803,=-0.4555,=-0.0456
2024-07-12,=-0.4785,=-0.4536,=-0.0456
2024-07-11,=-0.4785,=-0.4538,=-0.0452
2024-07-10,=-0.4841,=-0.4597,=-0.0453
2024-07-09,=-0.4843,=-0.4600,=-0.0449
2024-07-08,=-0.4969,=-0.4733,=-0.0449
2024-07-05,=-0.4920,=-0.4684,=-0.0444
2024-07-04,=-0.4982,=-0.4749,=-0.0443
2024-07-03,=-0.4897,=-0.4662,=-0.0440
2024-07-02,=-0.4916,=-0.4682,=-0.0439
2024-07-01,=-0.4841,=-0.4603,=-0.0442
2024-06-30,=-0.4821,,
2024-06-28,=-0.4820,=-0.4584,=-0.0437
2024-06-27,=-0.4796,=-0.4560,=-0.0434
2024-06-26,=-0.4691,=-0.4452,=-0.0431
