日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2022-01-13,=1294.6500,=1304.8800,=2592345514977.8188,=1095355900420,=849266867356.6499,=76.6366,=0.0139,=93.6608,=87.6370,=83.1274
2022-01-12,=1316.3500,=1326.7600,=2637451295950.2402,=1113283404127,=863452142942.1200,=78.7888,=0.0390,=93.6608,=87.6528,=83.1455
2022-01-11,=1294.4000,=1304.6300,=2600570929871.6602,=1093838949500,=848623546349.5500,=79.1426,=0.0475,=93.6608,=87.6686,=83.1920
2022-01-10,=1318.2700,=1328.6800,=2643073822344.2397,=1114660718132,=864552939235.4902,=81.0327,=0.0952,=94.4108,=87.6911,=83.1920
2022-01-07,=1305.4900,=1315.8100,=2623205951841.0103,=1105266445303,=855322671003.0400,=79.8498,=0.0646,=94.4108,=87.7137,=83.2298
2022-01-06,=1320.9300,=1331.3700,=2649992731821.2700,=1119519879598,=865201112054.4601,=83.4585,=0.2141,=94.4108,=87.7458,=83.2317
2022-01-05,=1333.3300,=1343.8700,=2674600981617.3403,=1129339416966,=873029433913.6602,=83.4833,=0.2147,=94.4108,=87.7779,=83.2317
2022-01-04,=1364.9900,=1375.7800,=2728932690880.8101,=1155182081880,=892502410774.7504,=85.1480,=0.3229,=94.4108,=87.7873,=83.2317
2021-12-31,=1398.1900,=1409.2400,=2785466865113.7212,=1172273939988,=913870918895.4500,=88.8176,=0.5966,=94.6281,=87.7966,=83.2298
2021-12-30,=1375.5600,=1386.4300,=2746401267813.9502,=1151846917469,=898498191182.5895,=86.2751,=0.3846,=94.6281,=87.7873,=83.2298
2021-12-29,=1356.2100,=1366.9300,=2711278143622.5601,=1127057373770,=886108896689.9800,=85.3867,=0.3314,=94.6281,=87.7966,=83.2298
2021-12-28,=1369.6200,=1380.4400,=2737683950924.5000,=1138506021090,=895174319121.7103,=85.8000,=0.3582,=94.6281,=87.8169,=83.2298
2021-12-27,=1355.6400,=1366.3500,=2710780449736.1504,=1127098157321,=886361763148.5400,=84.7756,=0.2960,=94.6281,=87.8373,=83.2298
2021-12-24,=1358.7300,=1369.4700,=2720234205931.7100,=1126551565000,=887790040627.1101,=84.7134,=0.2911,=94.7686,=87.8375,=83.1920
2021-12-23,=1375.9700,=1386.8400,=2750361707108.9102,=1139571842783,=898779539512.3499,=87.7779,=0.4913,=94.7686,=87.8377,=83.1920
2021-12-22,=1375.0300,=1385.9000,=2755210853070.4204,=1139495219227,=898734189948.6801,=87.9725,=0.5043,=94.7686,=87.8513,=83.1920
2021-12-21,=1374.6500,=1385.5100,=2754845677655.7598,=1138153034547,=898639060113.0201,=88.0384,=0.5087,=94.7686,=87.8377,=83.1920
