日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM中位数,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2023-12-29,=852,=868.1700,=2687015928375.8101,=1586136373798,=1044498709028.9000,=10.8223,=0.4952,=16.6513,=10.8522,=9.2907
2023-12-28,=850.3900,=866.5200,=2682353063526.3599,=1580668336306,=1042357499363.1700,=10.8490,=0.4970,=16.6513,=10.8533,=9.2907
2023-12-27,=830.0600,=845.8000,=2619531399738.9502,=1541945310337,=1017974357937.2102,=10.3430,=0.4400,=16.6513,=10.8545,=9.2907
2023-12-26,=825.2600,=840.9100,=2609079711778.5498,=1531050121327,=1011307127932.7598,=10.7029,=0.4838,=16.6513,=10.8620,=9.2907
2023-12-25,=837.2200,=853.1100,=2644331688450.6201,=1553144020776,=1026056149937.1500,=10.5910,=0.4712,=16.6536,=10.8696,=9.2844
2023-12-22,=843.3200,=859.3200,=2663866879489.0498,=1558887704494,=1033443850518.3702,=10.5980,=0.4717,=16.6536,=10.8810,=9.2844
2023-12-21,=847.8200,=863.9000,=2674597415149.6797,=1568927304070,=1039466071063.3900,=10.0140,=0.3880,=16.6536,=10.8925,=9.2844
2023-12-20,=835.7100,=851.5700,=2639792386073.1895,=1547563456792,=1025034542295.4900,=9.9506,=0.3788,=16.6536,=10.9363,=9.2844
2023-12-19,=845.8600,=861.9100,=2670149122997.3999,=1565969250798,=1037219331950.5300,=10.1502,=0.4034,=16.6536,=10.9802,=9.2844
2023-12-18,=840.6800,=856.6300,=2653919554889.9102,=1558397298307,=1030840087020.5900,=10.1806,=0.4099,=16.6831,=10.9842,=9.2809
2023-12-15,=847.5100,=863.5900,=2675591701042.1099,=1570624064478,=1038919582717.6002,=10.3220,=0.4334,=16.6831,=10.9883,=9.2809
2023-12-14,=855.9000,=872.1400,=2697845805868.2402,=1585061181139,=1049626418796.2300,=10.5559,=0.4582,=16.6831,=11.0123,=9.2809
2023-12-13,=861.2500,=877.5900,=2720194248223.8203,=1594203848464,=1056311626018.3800,=10.7843,=0.4854,=16.6831,=11.0364,=9.2809
2023-12-12,=869.9700,=886.4700,=2744539288992.5601,=1608980849130,=1066204346443.9598,=10.8545,=0.4933,=16.6831,=11.0761,=9.2809
2023-12-11,=878.5200,=895.1800,=2755931142589.7095,=1623887992968,=1076391675926.0900,=11.1157,=0.5000,=16.6930,=11.1157,=9.2796
2023-12-08,=868.2300,=884.7100,=2708499255838.2998,=1618977454551,=1074279190102.4000,=10.2135,=0.4166,=16.6930,=11.1591,=9.2796
2023-12-07,=847.4800,=863.5500,=2644251253066.3198,=1575296508723,=1045998689619.9399,=9.7611,=0.3476,=16.6930,=11.2818,=9.2796
2023-12-06,=848.7900,=864.8900,=2649547603445.0400,=1576625379430,=1051829749300.2300,=9.7328,=0.3394,=16.6930,=11.2922,=9.2796
2023-12-05,=845.8000,=861.8500,=2634284750406.8203,=1567192945667,=1044508164087.2600,=9.8911,=0.3704,=16.6930,=11.3025,=9.2796
2023-12-04,=861.9200,=878.2700,=2678201706531.3999,=1595383121605,=1061912202453.3096,=10.3803,=0.4406,=16.6989,=11.3060,=9.2765
2023-12-01,=867.5400,=883.9900,=2691661266311.1597,=1600175566605,=1065909225239.2902,=10.3675,=0.4387,=16.6989,=11.3095,=9.2765
2023-11-30,=865.6800,=882.1100,=2685550563820.2305,=1593335262944,=1063633735072.5300,=10.3278,=0.4344,=16.6989,=11.4054,=9.2765
2023-11-29,=862.0400,=878.3900,=2674765630143.2300,=1586149149169,=1056770297542.9498,=10.4549,=0.4459,=16.6989,=11.5014,=9.2765
2023-11-28,=871.9100,=887.4700,=2695709043829.5396,=1599098513830,=1063838465606.9200,=10.4312,=0.4440,=16.6989,=11.5110,=9.2765
2023-11-27,=868.0300,=883.5200,=2678636772698.4502,=1588232762602,=1055500376725.2800,=10.2852,=0.4323,=16.7239,=11.5205,=9.2727
2023-11-24,=864.7700,=880.0600,=2658860126238.8901,=1579550462912,=1046882679294.7502,=10.2277,=0.4192,=16.7239,=11.5627,=9.2727
2023-11-23,=877.7700,=893.2900,=2694151427504.1597,=1595939581433,=1063268256892.8298,=10.3839,=0.4407,=16.7239,=11.6049,=9.2727
2023-11-22,=870.7600,=886.1500,=2671634959817.2695,=1584360875961,=1054833972364.5699,=10.2961,=0.4326,=16.7239,=11.6298,=9.2727
2023-11-21,=884.8900,=900.5400,=2711002270954.1099,=1607033058355,=1069114751383.7998,=10.5865,=0.4592,=16.7239,=11.6547,=9.2727
2023-11-20,=892.6300,=908.4100,=2730954358478.4102,=1620258646681,=1078266423994.3199,=10.6789,=0.4684,=16.7320,=11.6631,=9.2675
2023-11-17,=891.3800,=907.0600,=2717748882782.2300,=1613811368319,=1074342880592.2704,=10.5882,=0.4603,=16.7320,=11.6715,=9.2675
2023-11-16,=887.1100,=902.7200,=2705230515258.2998,=1605292390363,=1068544749783.8704,=10.5842,=0.4596,=16.7320,=11.7103,=9.2675
2023-11-15,=902.1800,=918.0500,=2748966739791.0200,=1630416482265,=1085563143785.6500,=10.8179,=0.4789,=16.7320,=11.7491,=9.2675
2023-11-14,=904.3400,=920.2500,=2756614152257.0405,=1634313819039,=1088988031049.8000,=10.5688,=0.4558,=16.7320,=11.8598,=9.2675
2023-11-13,=896.5500,=912.3300,=2727438443335.8799,=1622289631503,=1077286325743.4004,=10.5769,=0.4564,=16.7451,=11.9705,=9.2534
2023-11-10,=889.7500,=905.4000,=2710687704074.3906,=1609317916517,=1070152424793.2798,=10.5243,=0.4532,=16.7451,=11.9749,=9.2534
2023-11-09,=893.8000,=909.5200,=2733024024807.2598,=1614325551203,=1073986061140.7104,=10.6018,=0.4588,=16.7451,=11.9794,=9.2534
2023-11-08,=899.6300,=915.4500,=2757910057401.3008,=1625454375670,=1084189818968.6600,=10.6305,=0.4606,=16.7451,=11.9805,=9.2534
2023-11-07,=891.4600,=907.1400,=2736823815138.0400,=1613304133121,=1074240557800.2498,=10.8350,=0.4762,=16.7451,=11.9817,=9.2534
2023-11-06,=890.2100,=905.8700,=2731625611112.0708,=1609554470115,=1070153303235.8600,=10.6635,=0.4630,=16.7723,=11.9968,=9.2427
2023-11-03,=875.3700,=890.7700,=2689816910561.0298,=1580522173062,=1052573654724.3198,=10.2583,=0.4347,=16.7723,=12.0119,=9.2427
2023-11-02,=859.9300,=875.0600,=2644141807458.5596,=1551563588111,=1032786393854.6300,=10.0453,=0.4013,=16.7723,=12.0436,=9.2427
2023-11-01,=869.9200,=885.2200,=2674463995644.9604,=1566351093640,=1044696194663.5002,=10.2086,=0.4244,=16.7723,=12.0754,=9.2427
2023-10-31,=874.4100,=889.7900,=2680672405834.5903,=1574900373748,=1048926924215.8503,=10.1463,=0.4149,=16.7723,=12.0837,=9.2427
2023-10-30,=878.1300,=893.5000,=2695374347636.7700,=1581009403360,=1049477193734.1198,=10.1781,=0.4179,=16.7784,=12.0920,=9.2308
2023-10-27,=861.8500,=876.9400,=2646630148335.2500,=1542878173915,=1019361570696.3698,=9.5827,=0.3047,=16.7784,=12.1293,=9.2308
2023-10-26,=849.3100,=864.1700,=2611903958481.7612,=1526386531589,=1003180856891.8236,=9.4552,=0.2595,=16.7784,=12.1666,=9.2308
2023-10-25,=848.6500,=863.5000,=2603870165461.1997,=1521197688581,=1002232148682.2828,=9.5334,=0.2877,=16.7784,=12.1779,=9.2308
2023-10-24,=850.6100,=865.5000,=2603397347640.3804,=1521161900004,=1002227367037.4536,=9.4505,=0.2589,=16.7784,=12.1891,=9.2308
2023-10-23,=840.1400,=854.8500,=2584200207174.3989,=1502136562949,=987794407018.1316,=9.4697,=0.2605,=16.8090,=12.2194,=9.2245
2023-10-20,=861.8100,=876.8900,=2635947966791.7705,=1535965545001,=1010618117478.4156,=9.6467,=0.3181,=16.8090,=12.2497,=9.2245
2023-10-19,=870.1000,=885.3300,=2645307489408.8696,=1551886238306,=1018137281056.3622,=9.6784,=0.3299,=16.8090,=12.2525,=9.2245
2023-10-18,=869.7600,=884.9800,=2634860857844.5200,=1555980968960,=1016178187460.6892,=9.5606,=0.2946,=16.8090,=12.2554,=9.2245
2023-10-17,=882.1900,=897.6300,=2660051698622.7900,=1578598564697,=1027505325363.6956,=9.6338,=0.3155,=16.8090,=12.4022,=9.2245
2023-10-16,=874.0300,=889.3200,=2635181016794.1797,=1562982656576,=1016471222539.3368,=9.5215,=0.2813,=16.8136,=12.5491,=9.2201
2023-10-13,=891.7200,=907.3300,=2692183017759.7202,=1593048879109,=1022907485242.6912,=9.5553,=0.2919,=16.8136,=12.5844,=9.2201
2023-10-12,=899.9800,=915.7100,=2716693240237.8901,=1608950979703,=1033505792220.0286,=9.7095,=0.3321,=16.8136,=12.6198,=9.2201
2023-10-11,=893.4500,=909.0600,=2699917042014.5903,=1597453217111,=1024397831145.5682,=9.4815,=0.2709,=16.8136,=12.6304,=9.2201
2023-10-10,=882.0400,=897.4600,=2655300069381.1299,=1578357192227,=1008956265548.1288,=9.3664,=0.2429,=16.8136,=12.6410,=9.2201
2023-10-09,=887.2100,=902.7200,=2667430009185.6401,=1587479186777,=1013242978844.6128,=9.3156,=0.2214,=16.8141,=12.6825,=9.2200
2023-09-28,=887.8000,=903.3200,=2674176166529.2295,=1578398880459,=1014629358712.0756,=9.4370,=0.2539,=16.8141,=12.7240,=9.2200
2023-09-27,=880.1700,=895.5500,=2654709710359.3096,=1567371486434,=1006742405884.2704,=9.4767,=0.2632,=16.8141,=12.7647,=9.2200
2023-09-26,=876.0500,=891.3600,=2632703259599.6792,=1559647683202,=1000788574470.3502,=9.1892,=0.1912,=16.8141,=12.8055,=9.2200
2023-09-25,=874.5500,=889.7500,=2635654540468.2803,=1552270808789,=999026797384.8298,=9.1697,=0.1863,=16.8141,=12.8615,=9.2201
2023-09-22,=882.8800,=898.2200,=2659422755381.7798,=1567606659816,=1009278724260.4900,=9.2046,=0.1930,=16.8373,=12.9175,=9.2201
2023-09-21,=860.3900,=875.3400,=2588724317553.9800,=1525777569387,=980711125241.0496,=9.0166,=0.1388,=16.8373,=12.9182,=9.2245
2023-09-20,=866.0200,=881.0700,=2600884455064.3301,=1528282297556,=987063381902.9202,=9.1188,=0.1636,=16.8373,=12.9190,=9.2308
2023-09-19,=873.6200,=888.8000,=2620586855235.9907,=1541552460198,=996279570769.2798,=9.1149,=0.1612,=16.8373,=12.9199,=9.2427
2023-09-18,=879.5300,=894.8200,=2640404639752.6211,=1550671921877,=1003300377379.1500,=9.2142,=0.1914,=16.8373,=12.9208,=9.2534
2023-09-15,=887.0100,=902.4300,=2668186084806.6401,=1550992399593,=1012094896766.6904,=9.2675,=0.2008,=16.8554,=12.9346,=9.2534
2023-09-14,=880.8000,=896.1100,=2648994473681.5093,=1543950844672,=1005055875773.9398,=9.2907,=0.2076,=16.8554,=12.9483,=9.2534
2023-09-13,=889.1300,=904.5800,=2672945756021.3999,=1557460476141,=1015646426991.5798,=9.3458,=0.2196,=16.8554,=12.9816,=9.2534
2023-09-12,=901.6200,=917.2900,=2710226108126.3296,=1579156828913,=1029973141666.7798,=9.4261,=0.2395,=16.8554,=13.0148,=9.2534
2023-09-11,=907.5100,=923.2700,=2731054153337.5107,=1590983160055,=1038728395804.9200,=9.5330,=0.2713,=16.8554,=13.0208,=9.2534
2023-09-08,=901.5100,=917.1700,=2671601388828.8296,=1540218313896,=1010077679238.0100,=9.1171,=0.1627,=16.8623,=13.0269,=9.2427
2023-09-07,=899.8300,=915.4600,=2669887001671.0898,=1540513878317,=1009235982483.7500,=9.1780,=0.1840,=16.8623,=13.0332,=9.2534
2023-09-06,=934.6000,=950.8400,=2774173655526.4600,=1590309264911,=1047059678921.9800,=9.5532,=0.2737,=16.8623,=13.0395,=9.2727
