日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB正数等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-02-10,=1036.7700,=1063.9500,=3625104259989.8296,=2247521170972,=1397844659254.4399,=3.6834,=0.2073,=6.0512,=4.8777,=3.6522
2025-02-07,=1018.8000,=1045.5100,=3566193789507.4707,=2209340924145,=1377120060514.5903,=3.6522,=0.2002,=6.0512,=4.8779,=3.6522
2025-02-06,=1011.2200,=1037.7300,=3552696142410.1104,=2189484308439,=1370853515806.5801,=3.5945,=0.1894,=6.0512,=4.8781,=3.6584
2025-02-05,=982.8300,=1008.5900,=3459360993249.7495,=2130992478790,=1329494840068.5002,=3.4716,=0.1723,=6.0540,=4.8786,=3.6584
2025-01-27,=955.0900,=980.1300,=3344191584857.6802,=2071745796152,=1288854242266.7800,=3.4602,=0.1688,=6.0540,=4.8792,=3.6738
2025-01-24,=974.8300,=1000.3900,=3416122295559.9893,=2065626308553,=1313529679143.1599,=3.4927,=0.1744,=6.0540,=4.8804,=3.6763
2025-01-23,=966.1100,=991.4300,=3384011476147.3198,=2043176536089,=1300511204415.7800,=3.4489,=0.1654,=6.0540,=4.8817,=3.6780
2025-01-22,=975.3400,=1000.9100,=3420672438553.8398,=2058787153868,=1312581446700.9399,=3.4410,=0.1638,=6.0540,=4.8833,=3.6784
2025-01-21,=976.3000,=1001.8600,=3433582974831.0396,=2060615420813,=1316005688273.3301,=3.4530,=0.1658,=6.0583,=4.8850,=3.6784
2025-01-20,=968.2700,=993.6200,=3416147289379.3198,=2042810510350,=1305331023583.7305,=3.4580,=0.1659,=6.0583,=4.8862,=3.6797
2025-01-17,=965.9000,=991.1900,=3417534337430.9907,=2037737137833,=1305098332826.3398,=3.4741,=0.1697,=6.0583,=4.8874,=3.6827
2025-01-16,=956.4000,=981.4400,=3362551083047.0107,=2015932034870,=1289229607929.6399,=3.4630,=0.1671,=6.0583,=4.8876,=3.6858
2025-01-15,=977.6600,=1003.2600,=3441883076852.6099,=2054609411674,=1310272710060.2200,=3.4330,=0.1627,=6.0583,=4.8878,=3.6882
2025-01-14,=981.7800,=1007.4800,=3451753195985.3203,=2067254288416,=1316013792626.6897,=3.4676,=0.1665,=6.0641,=4.8940,=3.6882
2025-01-13,=952.1900,=977.1200,=3350209037088.3398,=1995435893940,=1272042784775.8701,=3.3553,=0.1436,=6.0641,=4.9001,=3.6892
2025-01-10,=950.5900,=975.4800,=3331850019945.8188,=1987880752935,=1268003218254.4399,=3.3234,=0.1382,=6.0641,=4.9006,=3.6923
2025-01-09,=961.4400,=986.6100,=3359191523452.3101,=2010684962958,=1283112750410.9399,=3.4035,=0.1522,=6.0641,=4.9010,=3.6960
2025-01-08,=965.1200,=990.3900,=3358795339898.7798,=2018959117613,=1286000063288.8098,=3.4279,=0.1588,=6.0641,=4.9027,=3.6992
2025-01-07,=965.5300,=990.8100,=3368384069850.3506,=2020979740383,=1288213038283.6802,=3.4312,=0.1590,=6.0690,=4.9044,=3.6992
2025-01-06,=938.7100,=963.2800,=3275322451765.1094,=1972033053291,=1256346009927.7200,=3.4342,=0.1591,=6.0690,=4.9050,=3.6998
2025-01-03,=941.8200,=966.4800,=3291911603743.3696,=1978562402489,=1263453409998.1694,=3.4520,=0.1602,=6.0690,=4.9055,=3.7015
2025-01-02,=955.3300,=980.3500,=3345465339777.6201,=2006203419663,=1280327694612.0305,=3.5005,=0.1631,=6.0690,=4.9087,=3.7023
2024-12-31,=988.9300,=1014.8300,=3471570581126.1602,=2073754947450,=1326889772074.7698,=3.5938,=0.1744,=6.0690,=4.9118,=3.7077
2024-12-30,=1020.6300,=1047.3600,=3581442114334.9995,=2136499824390,=1369742859346.9900,=3.6827,=0.1903,=6.0695,=4.9124,=3.7077
2024-12-27,=1018.5800,=1045.2500,=3563009357436.0503,=2128258906473,=1368478711830.2302,=3.6780,=0.1877,=6.0695,=4.9131,=3.7088
2024-12-26,=1027.0200,=1053.9100,=3578389426801.6094,=2142494197562,=1379292751254.8000,=3.6992,=0.1944,=6.0695,=4.9136,=3.7121
2024-12-25,=1017.3600,=1043.9900,=3567571690437.2603,=2124385800821,=1366086417157,=3.6892,=0.1918,=6.0695,=4.9142,=3.7145
2024-12-24,=1014.0200,=1040.5700,=3548138306999.7808,=2127045578015,=1361601535097.1499,=3.7515,=0.2106,=6.0695,=4.9145,=3.7235
2024-12-23,=998.6100,=1024.7500,=3493944553483.9297,=2096715482736,=1341045721184.7700,=3.7023,=0.1959,=6.0710,=4.9148,=3.7145
2024-12-20,=1011.2100,=1037.6900,=3524377770639.0811,=2128566532229,=1355346578303.7495,=3.7643,=0.2138,=6.0710,=4.9151,=3.7235
2024-12-19,=993,=1019,=3434459062984.6099,=2097342750300,=1330485672780.3701,=3.7657,=0.2140,=6.0710,=4.9154,=3.7235
2024-12-18,=981.5127,=1007.2100,=3394712376425.4702,=2077810476771,=1315821764401.2300,=3.7692,=0.2142,=6.0710,=4.9161,=3.7235
2024-12-17,=967.2764,=992.6000,=3353537621912.0898,=2048701210475,=1300115565730.3899,=3.7527,=0.2107,=6.0710,=4.9168,=3.7235
2024-12-16,=975.2684,=1000.8000,=3371830288078.7290,=2062237719949,=1310241513827.5601,=3.7852,=0.2146,=6.0774,=4.9168,=3.7145
2024-12-13,=989.7764,=1015.6900,=3423839344382.9297,=2096743482973,=1331481793043.2000,=3.8533,=0.2373,=6.0774,=4.9169,=3.7145
2024-12-12,=1010.8953,=1037.3600,=3511033250293.3496,=2139260448482,=1360252661419.9895,=3.9317,=0.2638,=6.0774,=4.9174,=3.7145
2024-12-11,=1007.1900,=1033.5600,=3498277765767.1699,=2134120611354,=1358457573827.5701,=3.9365,=0.2650,=6.0774,=4.9179,=3.7145
2024-12-10,=1010.9100,=1037.3800,=3515316516615.0298,=2135445332670,=1364853204422.7500,=3.9197,=0.2587,=6.0774,=4.9195,=3.7145
2024-12-09,=1003.3800,=1029.6500,=3492798732492.2095,=2121537465101,=1355227320413.1802,=3.8874,=0.2476,=6.0797,=4.9211,=3.7121
2024-12-06,=1014.4500,=1041.0100,=3531059629805.0288,=2140776344511,=1369095331405.8601,=3.9186,=0.2564,=6.0797,=4.9229,=3.7121
2024-12-05,=1001.8400,=1028.0800,=3489157197788.2295,=2116111675570,=1350543970487.5403,=3.8630,=0.2425,=6.0797,=4.9247,=3.7121
2024-12-04,=999.3600,=1025.5200,=3484601252248.4004,=2106895921406,=1347643976362.9294,=3.8541,=0.2389,=6.0797,=4.9257,=3.7121
2024-12-03,=1005.2600,=1031.5900,=3503900412394.7012,=2123417399574,=1353917655999.0598,=3.9008,=0.2524,=6.0797,=4.9267,=3.7121
2024-12-02,=1015.7900,=1042.3800,=3539617692672.3999,=2143731926922,=1369324401924.6899,=3.9232,=0.2583,=6.0868,=4.9290,=3.7088
2024-11-29,=1007.3900,=1033.7700,=3511941195411.4600,=2126076785259,=1356602882399.5801,=3.8789,=0.2453,=6.0868,=4.9313,=3.7088
2024-11-28,=983.6800,=1009.4400,=3431433100630.5308,=2073041290358,=1324311755337.1804,=3.8022,=0.2246,=6.0868,=4.9339,=3.7088
2024-11-27,=985.9700,=1011.7900,=3439037996181.4189,=2079431066489,=1328033985773.9800,=3.8229,=0.2306,=6.0868,=4.9365,=3.7088
2024-11-26,=951.5900,=976.5100,=3322405062181.9590,=2010936769682,=1284814823600.5400,=3.7272,=0.2042,=6.0868,=4.9382,=3.7088
2024-11-25,=957.9200,=983,=3344875261906.8198,=2025141325577,=1292407122508.7102,=3.7557,=0.2139,=6.0869,=4.9398,=3.7077
2024-11-22,=969.3500,=994.7300,=3381813082993.6792,=2044773866564,=1307734105856.8799,=3.7386,=0.2065,=6.0869,=4.9440,=3.7077
2024-11-21,=1011.4600,=1037.9500,=3528737313660.8804,=2131011981235,=1363973074777.3501,=3.9064,=0.2486,=6.0869,=4.9481,=3.7077
2024-11-20,=1002.5400,=1028.2800,=3504591461537.1899,=2113787286991,=1355473992435.8398,=3.9089,=0.2488,=6.0869,=4.9488,=3.7077
2024-11-19,=998.0100,=1023.6400,=3492179795978.7603,=2102115709491,=1350584106420.2100,=3.8941,=0.2452,=6.0869,=4.9494,=3.7077
2024-11-18,=968.7100,=993.5900,=3391860261236.8989,=2039762455775,=1311181789755.7800,=3.7955,=0.2206,=6.0869,=4.9502,=3.7015
2024-11-15,=986.8800,=1012.2200,=3457120124181.3203,=2041906310588,=1337472512058.1304,=3.8637,=0.2390,=6.0869,=4.9509,=3.7015
2024-11-14,=1027.3200,=1053.7000,=3583254762810.7305,=2123364334733,=1393773011876.8298,=4.0066,=0.2660,=6.0869,=4.9516,=3.7015
2024-11-13,=1061.3700,=1088.6200,=3695395913928.8198,=2192764237719,=1440023802225.0903,=4.1392,=0.2807,=6.0869,=4.9524,=3.7015
2024-11-12,=1050.5400,=1077.5100,=3672889308876.4609,=2166111445900,=1430103934920.0803,=4.1456,=0.2809,=6.0869,=4.9545,=3.7015
2024-11-11,=1073.8400,=1101.4100,=3763770379442.5898,=2207277323102,=1460784088063.4895,=4.2130,=0.2860,=6.0960,=4.9567,=3.6998
2024-11-08,=1025.6400,=1051.9700,=3610836661485.0400,=2108765517307,=1391290932181.9895,=4.0342,=0.2709,=6.0960,=4.9567,=3.6998
2024-11-07,=1028.4400,=1054.8500,=3624622925745.7798,=2111413737254,=1386775149690.1201,=3.9934,=0.2644,=6.0960,=4.9568,=3.6998
2024-11-06,=998.0900,=1023.7200,=3512697102444.4990,=2050457370921,=1347371526517.2605,=3.9561,=0.2618,=6.0960,=4.9569,=3.6998
2024-11-05,=996.1700,=1021.7500,=3501225310407.8604,=2030753616902,=1347270258972.5100,=3.9549,=0.2611,=6.0960,=4.9570,=3.6998
2024-11-04,=954.6700,=979.1800,=3337085420613.5908,=1949162622153,=1292108173566.4097,=3.8286,=0.2324,=6.0985,=4.9575,=3.6960
2024-11-01,=939.7600,=963.9000,=3284791514004.6211,=1919119493177,=1270723738726.5198,=3.7797,=0.2172,=6.0985,=4.9580,=3.6960
2024-10-31,=969.4500,=994.3400,=3381845489522.1509,=1979063536044,=1308222367121.4800,=3.8735,=0.2406,=6.0985,=4.9580,=3.6960
2024-10-30,=958.8200,=983.4400,=3341790006489.5898,=1960124300094,=1290594509421.8181,=3.8429,=0.2331,=6.0985,=4.9580,=3.6960
2024-10-29,=975.3700,=1000.4200,=3421206304399.6108,=1990686192454,=1311791370287.2798,=3.9197,=0.2459,=6.0985,=4.9582,=3.6960
2024-10-28,=986.5600,=1011.8900,=3461066927239.7603,=2014339951929,=1324566322255.1621,=4.0181,=0.2616,=6.1042,=4.9585,=3.6923
2024-10-25,=991.2200,=1016.6700,=3482325409162.0298,=2021413177961,=1324385793522.9468,=4.0771,=0.2687,=6.1042,=4.9605,=3.6923
2024-10-24,=977.6000,=1002.7000,=3438435767690.1416,=1993844659358,=1305249625128.3147,=3.9486,=0.2544,=6.1042,=4.9626,=3.6923
2024-10-23,=979.1500,=1004.2900,=3445427122924.7988,=2000914201665,=1308435418177.5381,=4.0048,=0.2595,=6.1042,=4.9629,=3.6923
2024-10-22,=985.8300,=1011.1500,=3466408014697.0098,=2010784585441,=1318470018894.2002,=3.9522,=0.2549,=6.1042,=4.9631,=3.6923
2024-10-21,=1000.3700,=1026.0600,=3511056600465.6709,=2041879587931,=1334868147173.1938,=3.9470,=0.2532,=6.1101,=4.9635,=3.6882
2024-10-18,=978.6600,=1003.7600,=3413515352953.0596,=2001747428497,=1305058881808.3186,=3.8482,=0.2359,=6.1101,=4.9640,=3.6882
2024-10-17,=879.1000,=901.6500,=3063223964659.8496,=1812107399551,=1175415351537.9280,=3.5879,=0.1815,=6.1101,=4.9651,=3.6882
2024-10-16,=875.6900,=898.1500,=3052070990047.5811,=1806463190496,=1173094059882.7051,=3.6242,=0.1875,=6.1101,=4.9662,=3.6923
2024-10-15,=898.8300,=921.8400,=3123718840296.4600,=1856158054083,=1202758140639.3999,=3.7145,=0.2063,=6.1101,=4.9667,=3.6960
2024-10-14,=925.9600,=949.6600,=3218666661756.0601,=1910695863278,=1238408156380.4341,=3.8128,=0.2260,=6.1172,=4.9671,=3.6923
2024-10-11,=898.9000,=921.9100,=3112052729435.2700,=1859071039125,=1204151618514.1648,=3.7472,=0.2125,=6.1172,=4.9675,=3.6923
2024-10-10,=954.1700,=978.5900,=3299033516913.8901,=1969460987519,=1278218653599.2036,=3.9470,=0.2490,=6.1172,=4.9680,=3.6923
2024-10-09,=997.8500,=1023.3600,=3441040074042.0103,=2044236632162,=1335349665940.3594,=4.0220,=0.2542,=6.1172,=4.9684,=3.6923
2024-10-08,=1023.9700,=1050.1400,=3503558001102.5591,=2130779388458,=1375665637023.5188,=4.3464,=0.2770,=6.1172,=4.9687,=3.6923
2024-09-30,=872.3700,=894.6600,=2991040647355.1602,=1822793246691,=1172024587990.8181,=3.7452,=0.2124,=6.1262,=4.9717,=3.6882
2024-09-27,=740.0200,=758.9300,=2541033483710.4902,=1550170257265,=996133532409.5389,=3.2188,=0.1368,=6.1262,=4.9748,=3.6882
2024-09-26,=693.1500,=710.8700,=2383010033854.3701,=1454440883708,=933007058864.1448,=3.0347,=0.0887,=6.1262,=4.9748,=3.6923
2024-09-25,=667.3400,=684.3900,=2299693154202.9307,=1401639966777,=897900009141.4441,=2.9176,=0.0454,=6.1262,=4.9749,=3.6960
2024-09-24,=667.0500,=684.1000,=2293059718467.5195,=1399881943890,=897901491726.8966,=2.9060,=0.0415,=6.1262,=4.9750,=3.6998
2024-09-23,=643.0400,=659.4800,=2213250974141.1611,=1349721838151,=865036929619.0514,=2.7778,=0.0168,=6.1290,=4.9752,=3.6998
2024-09-20,=648.3600,=664.9300,=2231069200680.3999,=1353896509601,=873082977227.5282,=2.8032,=0.0198,=6.1290,=4.9785,=3.7015
2024-09-19,=651.4700,=668.1200,=2238581708975.6904,=1356674917471,=876646105379.0291,=2.8200,=0.0208,=6.1290,=4.9818,=3.7077
2024-09-18,=647.4100,=663.9600,=2220242184887.3696,=1347417493308,=870999144728.3350,=2.7833,=0.0168,=6.1290,=4.9821,=3.7088
2024-09-13,=655.0500,=671.7900,=2200046115296.6401,=1325773183847,=860311626827.2604,=2.6625,=0.0010,=6.1290,=4.9823,=3.7121
2024-09-12,=658.8500,=675.6900,=2211646552856.5996,=1333947702534,=866343863469.5737,=2.6928,=0.0030,=6.1380,=4.9840,=3.7121
2024-09-11,=664.3300,=681.3100,=2227511875208.3296,=1344945300972,=873413369651.7100,=2.6847,=0.0020,=6.1380,=4.9856,=3.7235
2024-09-10,=660.0100,=676.8800,=2218268671442.1499,=1333019738559,=867692825552.1914,=2.6637,=0.0010,=6.1380,=4.9856,=3.7290
2024-09-09,=654.9400,=671.6800,=2205687094674.3999,=1322706875217,=861457875313.0389,=2.6621,=0,=6.1380,=4.9857,=3.7342
2024-09-06,=662.3400,=679.2700,=2230069706242.9800,=1339510414871,=871390507830.7501,=2.6990,=0,=6.1380,=4.9858,=3.7394
2024-09-05,=671.2600,=688.4200,=2260135450110.6899,=1357722849588,=884639664026.5475,=2.7613,=0.0080,=6.1442,=4.9858,=3.7394
2024-09-04,=672.2800,=689.4700,=2261721571666.4404,=1357230940451,=882591412696.9054,=2.7443,=0.0040,=6.1442,=4.9872,=3.7403
2024-09-03,=674.9600,=692.2100,=2272022154271.0098,=1360161621023,=886073303282.1910,=2.7498,=0.0050,=6.1442,=4.9885,=3.7476
2024-09-02,=670.0100,=687.1400,=2262294795221.6299,=1348974757601,=877955822520.7323,=2.7140,=0.0010,=6.1442,=4.9919,=3.7492
2024-08-30,=694.1600,=711.9100,=2337365408860.9800,=1391171195151,=894166910341.5052,=2.8016,=0.0080,=6.1442,=4.9952,=3.7547
2024-08-29,=679.5900,=696.9600,=2291863399429.7202,=1364591475251,=872355097351.4342,=2.7714,=0.0060,=6.1520,=4.9966,=3.7547
2024-08-28,=671.2200,=688.3800,=2267706907485.5000,=1346635946735,=861061860045.8174,=2.7185,=0.0010,=6.1520,=4.9979,=3.7570
2024-08-27,=674.3500,=691.5800,=2274659824424.4600,=1355255644917,=863393197679.4193,=2.7112,=0,=6.1520,=4.9996,=3.7855
2024-08-26,=682.5000,=699.9400,=2304736434099.8896,=1373325438783,=869463294976.2631,=2.7530,=0.0020,=6.1520,=5.0012,=3.7871
2024-08-23,=685.7600,=703.2900,=2319274844901.1211,=1379339439953,=872511294026.1754,=2.7483,=0.0010,=6.1520,=5.0105,=3.7899
2024-08-22,=685.5300,=703.0500,=2314902974201.7705,=1376310868397,=862645489923.6429,=2.7365,=0,=6.1525,=5.0198,=3.7899
2024-08-21,=691.6400,=709.3100,=2335626224934.4604,=1388330524669,=870507816769.2836,=2.7677,=0,=6.1525,=5.0202,=3.7906
2024-08-20,=693.5200,=711.2500,=2344517994347.4102,=1391800255377,=874374483362.1426,=2.7909,=0,=6.1525,=5.0206,=3.7919
2024-08-19,=703.3200,=721.3000,=2376979882329.5796,=1409305684279,=885654380984.3993,=2.8400,=0.0020,=6.1525,=5.0214,=3.8009
2024-08-16,=705.2200,=723.2500,=2381562324138.3906,=1407452738536,=888976380291.1506,=2.8580,=0.0040,=6.1525,=5.0221,=3.8010
2024-08-15,=707.5500,=725.6400,=2388528869691.4204,=1411398218679,=891623526361.8881,=2.8814,=0.0081,=6.1525,=5.0224,=3.8010
2024-08-14,=700.9300,=718.8500,=2363689539637.5098,=1399796191126,=883764700170.4221,=2.8523,=0.0030,=6.1525,=5.0228,=3.8090
2024-08-13,=710.7500,=728.9100,=2392113860007.2202,=1420380199015,=890906188078.0381,=2.8935,=0.0132,=6.1525,=5.0270,=3.8101
2024-08-12,=707.3300,=725.4100,=2381235583539.0801,=1413671356821,=886340372060.6567,=2.8815,=0.0071,=6.1525,=5.0312,=3.8137
2024-08-09,=705.5500,=723.5800,=2375057985938.0498,=1411183955942,=883426189505.5083,=2.8919,=0.0102,=6.1525,=5.0323,=3.8138
2024-08-08,=708.9200,=727.0400,=2382260686022.4399,=1418419473309,=889284989627.4656,=2.9287,=0.0183,=6.1559,=5.0335,=3.8138
2024-08-07,=707.5900,=725.1200,=2379447381910.3296,=1416151978218,=887616741936.9927,=2.9252,=0.0173,=6.1559,=5.0378,=3.8143
2024-08-06,=713.8600,=731.5500,=2395198340079.2603,=1427261187250,=895029419478.6240,=2.9406,=0.0194,=6.1559,=5.0421,=3.8243
2024-08-05,=704.3000,=721.7500,=2365806046552.5698,=1408381973268,=882790333587.9281,=2.8846,=0.0072,=6.1559,=5.0443,=3.8285
2024-08-02,=725.6600,=743.6400,=2429056731747.1094,=1440186516843,=908982572075.8566,=2.9441,=0.0204,=6.1559,=5.0465,=3.8401
2024-08-01,=738.8700,=757.1800,=2467425868910.0801,=1465270024082,=924703577105.7660,=2.9854,=0.0317,=6.1566,=5.0485,=3.8401
2024-07-31,=743.3700,=761.7900,=2478772033813.0098,=1476999975602,=930187793601.5616,=3.0048,=0.0338,=6.1566,=5.0505,=3.8461
2024-07-30,=710.0100,=727.5600,=2374645828450.0298,=1410447281144,=889302893986.6179,=2.8813,=0.0062,=6.1566,=5.0505,=3.8491
2024-07-29,=707.6000,=724.8300,=2369068745202.9102,=1409071076335,=885783486538.0834,=2.8811,=0.0051,=6.1566,=5.0505,=3.8548
2024-07-26,=719.8700,=737.4100,=2415438823505.0303,=1430372091036,=901218380671.5298,=2.9297,=0.0144,=6.1566,=5.0508,=3.8561
2024-07-25,=713.8800,=730.9400,=2393230467249.9097,=1420190091467,=892747422859.8162,=2.9053,=0.0082,=6.1600,=5.0510,=3.8561
2024-07-24,=713.3200,=730.3200,=2386635810664.2300,=1417479556506,=891945017124.7086,=2.8720,=0.0041,=6.1600,=5.0522,=3.8603
2024-07-23,=721.1100,=738.2500,=2411162314559.3696,=1433210657717,=903052831244.1158,=2.9198,=0.0103,=6.1600,=5.0534,=3.8725
2024-07-22,=752,=769.8700,=2506747147024.4800,=1492692152436,=941229468181.2000,=3.0158,=0.0341,=6.1600,=5.0535,=3.8801
2024-07-19,=749.4700,=767.2800,=2499332593780.6792,=1488779983925,=937405920861.5120,=2.9963,=0.0269,=6.1600,=5.0535,=3.8874
2024-07-18,=735.4100,=752.8500,=2445960797842.8198,=1459538088976,=920152774229.8252,=2.9419,=0.0124,=6.1769,=5.0560,=3.8874
2024-07-17,=729,=746.2200,=2421335005947.7900,=1445787535229,=912284219085.6416,=2.9076,=0.0072,=6.1769,=5.0584,=3.8926
2024-07-16,=732.0600,=749.3600,=2436325778671.5498,=1449146408881,=915871185890.2122,=2.9163,=0.0083,=6.1769,=5.0591,=3.8994
2024-07-15,=715.8600,=732.7700,=2392240366923.8203,=1417084139911,=898694875173.2561,=2.9077,=0.0073,=6.1769,=5.0598,=3.8996
2024-07-12,=718.3700,=735.3400,=2402784026286.7002,=1427021027000,=902636664880.2948,=2.9586,=0.0125,=6.1769,=5.0603,=3.9003
2024-07-11,=718.0400,=735,=2405086740921.7305,=1430307766169,=901903973353.5586,=2.9579,=0.0114,=6.1809,=5.0607,=3.9003
2024-07-10,=710.3700,=727.1500,=2381417223841.0796,=1413034434854,=891160481174.0129,=2.8925,=0.0062,=6.1809,=5.0615,=3.9197
2024-07-09,=709.8900,=726.6600,=2382298877733.8901,=1411361635245,=890698293238.2158,=2.8895,=0.0042,=6.1809,=5.0622,=3.9202
2024-07-08,=692.4900,=708.8500,=2324638669249.5000,=1378277154479,=870076650084.6586,=2.8358,=0.0010,=6.1809,=5.0627,=3.9218
2024-07-05,=698.8500,=715.3600,=2349515923559.3706,=1391761764694,=878100172074.7296,=2.8916,=0.0031,=6.1809,=5.0632,=3.9300
2024-07-04,=690.3800,=706.6800,=2320572412289.3589,=1375931579036,=866876639602.3251,=2.8654,=0.0021,=6.1908,=5.0640,=3.9300
2024-07-03,=701.7800,=718.3600,=2356800864683.9204,=1399717918820,=881324998125.5536,=2.9239,=0.0021,=6.1908,=5.0647,=3.9329
2024-07-02,=699.1200,=715.6400,=2350639360482.6504,=1397587764865,=877645457556.6338,=2.9332,=0.0021,=6.1908,=5.0672,=3.9394
2024-07-01,=709.6000,=726.3200,=2381405673666.9497,=1419155426688,=890498871422.4338,=2.9645,=0.0073,=6.1908,=5.0696,=3.9522
2024-06-28,=712.0800,=728.8600,=2384721447991.9009,=1426566252502,=894746075230.4059,=2.9608,=0.0063,=6.1908,=5.0705,=3.9533
2024-06-27,=715.3600,=732.0600,=2387326608439.2104,=1435218391071,=899123087425.6619,=2.9602,=0.0053,=6.1920,=5.0715,=3.9533
2024-06-26,=729.6400,=746.6800,=2434806276583.8301,=1464171619450,=917074315683.5840,=3.0271,=0.0221,=6.1920,=5.0715,=3.9562
2024-06-25,=717.7500,=734.5100,=2396229207646.5601,=1439920387863,=901976364144.9480,=2.9708,=0.0053,=6.1920,=5.0715,=3.9908
2024-06-24,=739.1400,=756.4000,=2465244353398.4692,=1478813805080,=928411234449.9940,=3.0426,=0.0274,=6.1920,=5.0758,=4.0064
2024-06-21,=758.3700,=776.0800,=2533429379761.0908,=1515272008959,=952309703782.4060,=3.1297,=0.0527,=6.1920,=5.0801,=4.0244
2024-06-20,=755.1500,=772.6800,=2525844234765.7402,=1509033815381,=947916358875.9358,=3.1281,=0.0517,=6.2046,=5.0807,=4.0244
2024-06-19,=751.6900,=768.6100,=2514240479821.2988,=1503711710804,=943301753762.0680,=3.1263,=0.0497,=6.2046,=5.0813,=4.0295
2024-06-18,=756.9000,=773.7700,=2535594313634.0498,=1516593278163,=950170144924.4780,=3.1662,=0.0603,=6.2046,=5.0844,=4.0398
2024-06-17,=757.1100,=773.8500,=2535807227530.1504,=1517591234851,=949962970610.7180,=3.1657,=0.0593,=6.2046,=5.0876,=4.0612
2024-06-14,=754.2600,=770.8600,=2487107403080.5205,=1502965298041,=945928162252.7760,=3.0298,=0.0223,=6.2046,=5.0897,=4.0709
2024-06-13,=758.9800,=775.6600,=2509342200616.9399,=1512105311383,=953831456312.7976,=3.0488,=0.0308,=6.2076,=5.0919,=4.0709
2024-06-12,=754.9300,=771.5000,=2495651574877.7300,=1503302705043,=949055941017.2482,=3.0143,=0.0149,=6.2076,=5.0959,=4.0739
2024-06-11,=755.8300,=772.3500,=2502028057490.9897,=1502986666130,=950015669165.2180,=3.0049,=0.0096,=6.2076,=5.1000,=4.0856
2024-06-07,=737.9300,=754.0300,=2449595458925.7104,=1462801322510,=928432183993.4778,=2.9564,=0.0032,=6.2076,=5.1012,=4.0981
2024-06-06,=743.2300,=758.3200,=2463271441194.4502,=1475140285075,=935832504277.9301,=2.9731,=0.0043,=6.2076,=5.1025,=4.1082
2024-06-05,=752.0400,=766.8800,=2488902278064.9702,=1492745423023,=946357088995.8719,=3.0337,=0.0203,=6.2188,=5.1046,=4.1082
2024-06-04,=753.6400,=768.5100,=2488695276638.6699,=1496887058218,=948024144079.8680,=3.0445,=0.0224,=6.2188,=5.1066,=4.1107
2024-06-03,=750.4300,=765.2300,=2473260511359.4897,=1489260688783,=943328223772.8524,=3.0307,=0.0193,=6.2188,=5.1079,=4.1233
2024-05-31,=743.2300,=757.8900,=2453545103471.4497,=1474473500079,=933784337269.2760,=3.0299,=0.0182,=6.2188,=5.1092,=4.1628
2024-05-30,=742.7000,=757.2500,=2447733418240.3999,=1473337645691,=932956647983.2098,=3.0248,=0.0150,=6.2188,=5.1168,=4.1766
2024-05-29,=734.3300,=748.4100,=2416061258652.7100,=1460496471175,=922412493261.5104,=2.9934,=0.0064,=6.2189,=5.1244,=4.1766
2024-05-28,=734.8500,=748.9400,=2417485396582.5801,=1461133049893,=922484211281.9280,=2.9828,=0.0054,=6.2189,=5.1261,=4.1838
2024-05-27,=738.6500,=752.8100,=2431579412826.9907,=1468391761218,=927176974891.0880,=3.0078,=0.0065,=6.2189,=5.1278,=4.1958
2024-05-24,=727.2100,=741.1500,=2392548868757.4404,=1450673367581,=913848375158.6340,=2.9735,=0.0043,=6.2189,=5.1308,=4.2095
2024-05-23,=742.4000,=756.6100,=2436667196700.5200,=1482129086793,=931739315706.7679,=3.0072,=0.0043,=6.2189,=5.1338,=4.2229
2024-05-22,=754.9700,=769.4100,=2479976593219.4404,=1506721451916,=947349784353.2502,=3.0703,=0.0183,=6.2350,=5.1349,=4.2229
2024-05-21,=748.2400,=762.5500,=2455495935844.1396,=1495955897191,=938235243752.0800,=3.0095,=0.0054,=6.2350,=5.1359,=4.2258
2024-05-20,=753.5400,=767.9600,=2474751329420.2705,=1504512423605,=944256123209.1158,=3.0484,=0.0141,=6.2350,=5.1421,=4.2590
2024-05-17,=754.4200,=768.8500,=2480509182630,=1507107738009,=946319486070.4102,=3.0819,=0.0195,=6.2350,=5.1484,=4.2760
2024-05-16,=746.4700,=760.6300,=2454646743811.5898,=1492203958753,=937616866427.4700,=3.0440,=0.0119,=6.2350,=5.1491,=4.3176
2024-05-15,=749.4700,=763.6900,=2465051705840.3701,=1501975929604,=942525131835.6100,=3.0663,=0.0141,=6.2367,=5.1498,=4.3176
2024-05-14,=760.3000,=774.7300,=2499078549690.6196,=1523354912175,=956597545377.5698,=3.1092,=0.0239,=6.2367,=5.1514,=4.3243
2024-05-13,=763.6900,=778.1800,=2510068865890.4297,=1531439491845,=961104203723.0900,=3.1275,=0.0261,=6.2367,=5.1530,=4.3246
2024-05-10,=767.1700,=781.7300,=2523356259068.4502,=1537155567866,=965779991654.6200,=3.1616,=0.0326,=6.2367,=5.1533,=4.3715
2024-05-09,=778.8700,=793.6500,=2557872123557.1504,=1557779842233,=979351877906.3496,=3.2015,=0.0403,=6.2367,=5.1536,=4.3767
