日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2021-10-21,=1362.4000,=1373.1200,=2539932550161.0400,=1018587636486,=723719159843.7201,=20.3958,=0.3256,=22.7046,=20.9796,=19.9426
2021-10-20,=1373.5900,=1384.4000,=2568020631192.3398,=1027820965298,=730471752570.5898,=20.6360,=0.3967,=22.7046,=20.9812,=19.9426
2021-10-19,=1366.7900,=1377.5400,=2558927902757.4097,=1021365740146,=724645931203.1301,=20.6682,=0.3980,=22.7046,=20.9910,=19.9426
2021-10-18,=1352.5700,=1363.2100,=2534588363931.2700,=1010091165009,=717469279242.1903,=20.5151,=0.3557,=22.7046,=21.0009,=19.9426
2021-10-15,=1363.1600,=1373.8800,=2553454924880.1396,=1012600198520,=720864285253.3597,=20.7856,=0.4377,=22.7626,=21.0012,=19.9279
2021-10-14,=1347.2700,=1357.8600,=2530933245559.3799,=1004415316232,=713206452179.4598,=20.5103,=0.3547,=22.7626,=21.0015,=19.9279
2021-10-13,=1344.7600,=1355.3400,=2531462879984.3901,=1000309068071,=711296199193.8301,=20.5389,=0.3593,=22.7626,=21.0109,=19.9279
2021-10-12,=1319.3900,=1329.7700,=2489597718758.9302,=979519465860,=694867499091.1801,=20.2802,=0.2925,=22.7626,=21.0202,=19.9279
2021-10-11,=1349.7700,=1360.3900,=2534984883506.0596,=1000070161205,=709293133549.6599,=20.6957,=0.3993,=22.7626,=21.0230,=19.9279
2021-10-08,=1364.4600,=1375.1900,=2560405268887.1802,=1009056039133,=717203440175.1998,=21.0015,=0.4932,=22.7823,=21.0257,=19.9005
2021-09-30,=1368.7200,=1379.4800,=2563167234462.4902,=1013039202417,=720408185155.0302,=21.0680,=0.5120,=22.7823,=21.0302,=19.9005
2021-09-29,=1345.7700,=1356.3500,=2533371570540.2500,=996699279726,=707863851422.1099,=20.7018,=0.4034,=22.7823,=21.0257,=19.9005
2021-09-28,=1354.1000,=1364.7500,=2537913174757.0796,=999984330657,=711301517489.6700,=20.9113,=0.4671,=22.7823,=21.0302,=19.9005
2021-09-27,=1368.6900,=1379.4500,=2566920937609.0503,=1013295390280,=720621201111.5701,=21.1132,=0.5174,=22.7823,=21.0346,=19.9005
2021-09-24,=1375,=1385.8100,=2566548613775.5298,=1016590610354,=725410575709.5900,=21.0673,=0.5087,=22.8720,=21.0302,=19.8995
2021-09-23,=1363.7900,=1374.5100,=2552261731776.9502,=1006725739671,=718139370755.8499,=20.9068,=0.4685,=22.8720,=21.0257,=19.8995
2021-09-22,=1355.2800,=1365.9400,=2535594914187.8501,=999307663623,=712666300390.9100,=20.8776,=0.4561,=22.8720,=21.0302,=19.8995
2021-09-17,=1349.6800,=1360.3000,=2537333215314.8701,=984626705435,=709081251364.2002,=20.8821,=0.4577,=22.8720,=21.0346,=19.8995
2021-09-16,=1351.4300,=1362.0500,=2536165626613.7905,=985942588549,=710269322558.3900,=20.8560,=0.4558,=22.8720,=21.0380,=19.8995
2021-09-15,=1384.5200,=1395.4100,=2594963333550.5801,=1011818613996,=729034373805.4200,=21.3052,=0.5638,=22.8756,=21.0414,=19.8881
2021-09-14,=1396.6700,=1407.6500,=2619176657625.8701,=1020712437290,=734095922666.3900,=21.6153,=0.6121,=22.8756,=21.0380,=19.8881
2021-09-13,=1384.4300,=1395.3200,=2615686461935.7197,=1015869954394,=727819484475.2299,=21.4502,=0.5964,=22.8756,=21.0346,=19.8881
2021-09-10,=1426.8100,=1438.0300,=2547200094499.4902,=1054734744317,=733286370920.9100,=21.2669,=0.5520,=22.8756,=21.0302,=19.8881
2021-09-09,=1402.1900,=1413.2200,=2505116380713.3804,=1039263791388,=721204037946.1299,=20.9569,=0.4820,=22.8756,=21.0257,=19.8881
2021-09-08,=1412.7200,=1423.8300,=2530468807668.3999,=1049344548840,=726535892065.9701,=21.2081,=0.5379,=22.9619,=21.0302,=19.8655
2021-09-07,=1438.5700,=1449.8800,=2566481199580.3398,=1068720577907,=742206263095.3101,=21.3763,=0.5725,=22.9619,=21.0257,=19.8655
2021-09-06,=1439,=1450.3100,=2568192703120.0601,=1068038600605,=741918690827.8400,=21.4392,=0.5855,=22.9619,=21.0230,=19.8655
2021-09-03,=1400.8900,=1411.9100,=2512418493049.7300,=1045353465654,=723527001033.6101,=20.8219,=0.4635,=22.9619,=21.0202,=19.8655
2021-09-02,=1399.4800,=1410.4900,=2497679051900.9199,=1042346968637,=723513293322.2198,=20.7033,=0.4286,=22.9619,=21.0230,=19.8655
2021-09-01,=1424.6600,=1435.8700,=2532410765512.4604,=1054114214228,=734110117815.0502,=21.0847,=0.5110,=23.0118,=21.0257,=19.8586
2021-08-31,=1441.1700,=1452.5100,=2551319465519.1699,=1066797672965,=743824223208.9500,=21.2813,=0.5572,=23.0118,=21.0230,=19.8586
2021-08-30,=1471.4500,=1483.0300,=2614019144530.3101,=1093191148343,=748279908818.5798,=21.8990,=0.6519,=23.0118,=21.0202,=19.8586
2021-08-27,=1480.3100,=1491.9600,=2617386679840.3901,=1074801241202,=741676041849.1300,=21.9469,=0.6617,=23.0118,=21.0105,=19.8586
