日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-03-21,=1042.8900,=1070.2300,=3585338238604.7998,=2260550966600,=1407877062011.2395,=5.1930,=0.3809,=8.0320,=5.6369,=4.5036
2025-03-20,=1064.7900,=1092.7100,=3657318309081.8799,=2305819032829,=1437288965857.9602,=5.2153,=0.3865,=8.0320,=5.6420,=4.5036
2025-03-19,=1076.9400,=1105.1700,=3692827370981.9102,=2331881460193,=1453930513437.5205,=5.2664,=0.3993,=8.0335,=5.6462,=4.5016
2025-03-18,=1089.8300,=1118.4000,=3733652010575.5811,=2362439663732,=1468017412305.5100,=5.2854,=0.4032,=8.0335,=5.6503,=4.5016
2025-03-17,=1083.2100,=1111.6100,=3715318237290.9102,=2347766532673,=1458277634621.0198,=5.3439,=0.4222,=8.0335,=5.6533,=4.5016
2025-03-14,=1088.1100,=1116.6400,=3734482532302.2710,=2343468841688,=1455273512172.6201,=5.2574,=0.3968,=8.0335,=5.6563,=4.5016
2025-03-13,=1069.7000,=1097.7500,=3674750873811.8701,=2306200249636,=1430833526954.1602,=5.1625,=0.3713,=8.0335,=5.6597,=4.5016
2025-03-12,=1092.7100,=1121.3500,=3753595589138.8501,=2351201035688,=1460306383247.2700,=5.3217,=0.4144,=8.0392,=5.6632,=4.4938
2025-03-11,=1100.7400,=1129.6000,=3775738072774.1899,=2369705387608,=1469719337704.2000,=5.3499,=0.4237,=8.0392,=5.6636,=4.4938
2025-03-10,=1105.1600,=1134.1400,=3783097395408.8589,=2377044236317,=1476930561607.9297,=5.2927,=0.4063,=8.0392,=5.6640,=4.4938
2025-03-07,=1107.6200,=1136.6600,=3792416061452.4790,=2388640894948,=1483797223305.2795,=5.3802,=0.4325,=8.0392,=5.6656,=4.4938
2025-03-06,=1121.5800,=1150.9900,=3844072544916.8701,=2417002751174,=1501130595569.8696,=5.3819,=0.4338,=8.0392,=5.6672,=4.4938
2025-03-05,=1083.8200,=1112.2300,=3730261602592.6299,=2334452422084,=1454527560884.0500,=5.3101,=0.4091,=8.0450,=5.6737,=4.4915
2025-03-04,=1080.6600,=1109,=3720828196017.3091,=2329575241576,=1452165285839.9297,=5.2755,=0.4023,=8.0450,=5.6803,=4.4915
2025-03-03,=1062.3500,=1090.2000,=3669246927498.0898,=2294312318820,=1426283939847.3301,=5.0731,=0.3552,=8.0450,=5.6807,=4.4915
2025-02-28,=1078.8000,=1107.0800,=3723731934299.0991,=2317995914501,=1445473734103.2100,=5.0703,=0.3537,=8.0450,=5.6811,=4.4915
2025-02-27,=1126.2900,=1155.8100,=3878267297875.0103,=2417309073138,=1506724749513.1597,=5.2119,=0.3881,=8.0450,=5.6815,=4.4915
2025-02-26,=1126.8200,=1156.3600,=3886238358386.0801,=2425225451323,=1508414025989.7498,=5.1364,=0.3669,=8.0516,=5.6818,=4.4885
2025-02-25,=1102.9000,=1131.8200,=3798306909566.7402,=2377671927022,=1475661594882.6094,=5.0286,=0.3483,=8.0516,=5.6830,=4.4885
2025-02-24,=1100.0500,=1128.8900,=3800324882242.3398,=2374107446929,=1473989361913.8899,=4.8972,=0.3270,=8.0516,=5.6842,=4.4885
2025-02-21,=1094.7700,=1123.4700,=3791989194155.5498,=2361586431714,=1470484829792.5300,=4.8850,=0.3246,=8.0516,=5.6917,=4.4885
2025-02-20,=1033.0900,=1060.1700,=3582977447282.4893,=2239808461155,=1395788222530.3904,=4.7974,=0.3032,=8.0516,=5.6992,=4.4885
2025-02-19,=1034.5700,=1061.6900,=3600339939835.4102,=2242870006801,=1397805551397.1497,=4.7647,=0.2945,=8.0542,=5.7010,=4.4846
2025-02-18,=1011.1700,=1037.6800,=3519967620910.8389,=2192777984473,=1363955189648.2598,=4.5584,=0.2297,=8.0542,=5.7028,=4.4846
2025-02-17,=1037.3100,=1064.5000,=3605308466003.8101,=2246101434584,=1397374411859.8999,=4.6935,=0.2751,=8.0542,=5.7031,=4.4846
2025-02-14,=1022.4600,=1049.2700,=3553627769724.2305,=2218264323257,=1379284331661.5901,=4.7369,=0.2853,=8.0542,=5.7034,=4.4846
2025-02-13,=1017.0900,=1043.7500,=3550553884103.5010,=2206623953441,=1371503535125.6396,=4.7145,=0.2801,=8.0542,=5.7074,=4.4846
2025-02-12,=1041.1400,=1068.4300,=3639737567453.8101,=2257916403051,=1403776357930.2402,=4.8331,=0.3140,=8.0644,=5.7113,=4.4821
