日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-05-14,=1013.7700,=1040.4200,=3491822109904.9609,=2284643821769,=1459921410284.6892,=41.0384,=0.5168,=65.2411,=40.8093,=32.8529
2025-05-13,=1009.6800,=1036.2200,=3479546285946.8491,=2275186988982,=1453614139868.7195,=41.0968,=0.5198,=65.2817,=40.8093,=32.7722
2025-05-12,=1011.2300,=1037.8100,=3488637772306.2300,=2279454620177,=1456549554204.0300,=41.1786,=0.5323,=65.2817,=40.8054,=32.7722
2025-05-09,=1006.3200,=1032.7700,=3475547482021.7798,=2271902811664,=1449179671385.6299,=40.5637,=0.4802,=65.2817,=40.8016,=32.7722
2025-05-08,=1026.4400,=1053.3500,=3549304762855.3804,=2312790977649,=1479088587549.4998,=41.1135,=0.5203,=65.2817,=40.8054,=32.7722
2025-05-07,=1030.1900,=1057.1900,=3564906898049.2388,=2318923753773,=1484535641982.4597,=40.8016,=0.5000,=65.2817,=40.8016,=32.7722
2025-05-06,=1026.5200,=1053.4300,=3542766412042.9902,=2308302153510,=1479326111198.6499,=40.5682,=0.4814,=65.3119,=40.7970,=32.7474
2025-04-30,=1012.4200,=1038.9600,=3496655135875.9507,=2275318628002,=1459202783091.1101,=40.0071,=0.4351,=65.3119,=40.8093,=32.7474
2025-04-29,=1003.8700,=1030.1800,=3475255936546.3496,=2259999595270,=1434597400642.7800,=40.5077,=0.4779,=65.3119,=40.8093,=32.7474
2025-04-28,=1002.8300,=1029.1200,=3477254888614.7305,=2262417127472,=1426979439630.8994,=39.6703,=0.4125,=65.3119,=40.8093,=32.7474
2025-04-25,=1004.5700,=1030.9100,=3477278093875.3496,=2261587092366,=1428557227076.8799,=39.6704,=0.4128,=65.3119,=40.8118,=32.7474
2025-04-24,=1003.3200,=1029.6200,=3479341008633.0298,=2238503812077,=1427000948317.6602,=39.6358,=0.4123,=65.3389,=40.8143,=32.7441
2025-04-23,=1012.6500,=1039.2000,=3509497800376.1299,=2257000327546,=1434061640374.9204,=40.1597,=0.4440,=65.3389,=40.8343,=32.7441
2025-04-22,=1016.2200,=1042.8600,=3526265265900.1196,=2267478156242,=1439358959443.1899,=40.3214,=0.4609,=65.3389,=40.8542,=32.7441
2025-04-21,=1019.4100,=1046.1400,=3531247738388.9609,=2275274503304,=1444188444043.8101,=40.5195,=0.4761,=65.3389,=40.8565,=32.7441
2025-04-18,=1008.6000,=1035.0400,=3500853539798.9292,=2190262298648,=1368339310642.2200,=39.3896,=0.3981,=65.3389,=40.8589,=32.7441
2025-04-17,=1016.8100,=1043.4700,=3529349773534.0103,=2206322000384,=1377898258205.5696,=39.5169,=0.4071,=65.5736,=40.8782,=32.7400
2025-04-16,=1014.5100,=1041.1100,=3525502872718.6909,=2201330625667,=1377442588032.8899,=39.6113,=0.4110,=65.5736,=40.8975,=32.7400
2025-04-15,=1006.3400,=1032.7200,=3489260399218.7700,=2182048315654,=1367949988358.9402,=39.7762,=0.4183,=65.5736,=40.9013,=32.7400
2025-04-14,=1014.2800,=1040.8700,=3514619842361.4604,=2200411203830,=1378357805536.4700,=39.8314,=0.4222,=65.5736,=40.9052,=32.7400
2025-04-11,=1011.7100,=1038.2300,=3510408971460.5303,=2195366694795,=1373871768093.5503,=39.7190,=0.4156,=65.5736,=40.9136,=32.7400
2025-04-10,=991.2200,=1017.2100,=3441601949557.2808,=2156949779037,=1345648453444.0500,=39.2082,=0.3879,=65.6741,=40.9220,=32.6771
2025-04-09,=980.5700,=1006.2800,=3410635769915.2896,=2134845307527,=1329794968429.7705,=38.5187,=0.3672,=65.6741,=40.9246,=32.6771
2025-04-08,=940.0900,=964.7400,=3263332681867.2495,=2047523755828,=1276224757936.5298,=37.6153,=0.3421,=65.6741,=40.9271,=32.6771
2025-04-07,=924.1700,=948.4000,=3203385580163.5898,=2005011909726,=1254685416207.3999,=36.5352,=0.3222,=65.6741,=40.9440,=32.6771
2025-04-03,=1018.0700,=1044.7600,=3504288742003.6699,=2207454871970,=1378231383017.5703,=40.9220,=0.4982,=65.6741,=40.9608,=32.6771
2025-04-02,=1022.7500,=1049.5600,=3505551371148.1104,=2215078130987,=1384556246074.6599,=41.4613,=0.5409,=65.7592,=40.9616,=32.6588
2025-04-01,=1024.3800,=1051.2300,=3508157269247.4502,=2218393314963,=1386243506772.3899,=41.4861,=0.5414,=65.7592,=40.9608,=32.6588
2025-03-31,=1022.7100,=1049.5300,=3509920825536.8101,=2212790155453,=1384724477979.8601,=41.1398,=0.5163,=65.7592,=40.9440,=32.6588
2025-03-28,=1029.4800,=1056.4700,=3532893835311.0698,=2230167736720,=1393790142062.7305,=41.9453,=0.5705,=65.7592,=40.9271,=32.6588
2025-03-27,=1040.5700,=1067.8500,=3571860328933.7490,=2253085670503,=1408888336878.2100,=41.4913,=0.5419,=65.7592,=40.9161,=32.6588
2025-03-26,=1029.0500,=1056.0300,=3531398478704.6411,=2233430700842,=1391642121786.2000,=41.1340,=0.5168,=65.8187,=40.9052,=32.6354
2025-03-25,=1031.7000,=1058.7400,=3539241637647.4102,=2239141746339,=1395341153473.6997,=42.3690,=0.5995,=65.8187,=40.9013,=32.6354
2025-03-24,=1045.9400,=1073.3600,=3588724321008.6299,=2265109492197,=1412329959949.0701,=42.3848,=0.6000,=65.8187,=40.8975,=32.6354
2025-03-21,=1042.8900,=1070.2300,=3585338238604.7998,=2260550966600,=1407877062011.2395,=42.4644,=0.6023,=65.8187,=40.8782,=32.6354
2025-03-20,=1064.7900,=1092.7100,=3657318309081.8799,=2305819032829,=1437288965857.9602,=42.9415,=0.6144,=65.8187,=40.8589,=32.6354
2025-03-19,=1076.9400,=1105.1700,=3692827370981.9102,=2331881460193,=1453930513437.5205,=43.2750,=0.6282,=65.9356,=40.8565,=32.4908
2025-03-18,=1089.8300,=1118.4000,=3733652010575.5811,=2362439663732,=1468017412305.5100,=43.4890,=0.6341,=65.9356,=40.8542,=32.4908
2025-03-17,=1083.2100,=1111.6100,=3715318237290.9102,=2347766532673,=1458277634621.0198,=43.0493,=0.6222,=65.9356,=40.8343,=32.4908
2025-03-14,=1088.1100,=1116.6400,=3734482532302.2710,=2343468841688,=1455273512172.6201,=43.0723,=0.6237,=65.9356,=40.8143,=32.4908
2025-03-13,=1069.7000,=1097.7500,=3674750873811.8701,=2306200249636,=1430833526954.1602,=42.3569,=0.6028,=65.9356,=40.8118,=32.4908
2025-03-12,=1092.7100,=1121.3500,=3753595589138.8501,=2351201035688,=1460306383247.2700,=42.5648,=0.6078,=65.9764,=40.8093,=32.3921
2025-03-11,=1100.7400,=1129.6000,=3775738072774.1899,=2369705387608,=1469719337704.2000,=43.0199,=0.6191,=65.9764,=40.8093,=32.3921
2025-03-10,=1105.1600,=1134.1400,=3783097395408.8589,=2377044236317,=1476930561607.9297,=43.1171,=0.6232,=65.9764,=40.8093,=32.3921
2025-03-07,=1107.6200,=1136.6600,=3792416061452.4790,=2388640894948,=1483797223305.2795,=43.1329,=0.6238,=65.9764,=40.7970,=32.3921
2025-03-06,=1121.5800,=1150.9900,=3844072544916.8701,=2417002751174,=1501130595569.8696,=43.3956,=0.6297,=65.9764,=40.7846,=32.3921
2025-03-05,=1083.8200,=1112.2300,=3730261602592.6299,=2334452422084,=1454527560884.0500,=42.6020,=0.6106,=66.0203,=40.7841,=32.3692
2025-03-04,=1080.6600,=1109,=3720828196017.3091,=2329575241576,=1452165285839.9297,=42.7572,=0.6147,=66.0203,=40.7837,=32.3692
2025-03-03,=1062.3500,=1090.2000,=3669246927498.0898,=2294312318820,=1426283939847.3301,=42.5081,=0.6099,=66.0203,=40.7825,=32.3692
2025-02-28,=1078.8000,=1107.0800,=3723731934299.0991,=2317995914501,=1445473734103.2100,=42.2757,=0.6023,=66.0203,=40.7813,=32.3692
2025-02-27,=1126.2900,=1155.8100,=3878267297875.0103,=2417309073138,=1506724749513.1597,=43.3803,=0.6280,=66.0203,=40.7738,=32.3692
