date,year,month,上交所融资余额(元),上交所融券余额(元),上交所融资融券余额(元),深交所融资余额(元),深交所融券余额(元),深交所融资融券余额(元),沪深融资余额合计(元),沪深融券余额合计(元),沪深融资融券余额合计(元),沪深融资余额合计(亿元),沪深融资融券余额合计(亿元),融资买入额_x,融券卖出量_x,融券余量_x,融资买入额_y,融券卖出量_y,融券余量_y
2015-06-16,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-17,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-18,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-19,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-23,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-24,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-25,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-26,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-29,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-30,2015,6,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
