date,market_state,hs300,zz500,kc50,consume,chip,gold,bond10
2024-12-02,下行,0.09837694709129892,0.04288304866427596,0.0003631806948636346,0.005745038546435947,0.002631785003125543,0.14129733018270768,0.7087026698172922
2025-01-02,下行,0.09585107797137585,0.047239310157090826,0.00040298980677063063,0.002524503022149188,0.003982119042613508,0.1395620807159511,0.7104379192840489
2025-02-05,震荡,0.22387317335699272,0.0036873186997801993,0.11491619316118744,0.006171119699234187,0.0013521950828053676,0.10322650253350686,0.5467734974664932
2025-03-03,震荡,0.07263294263875314,0.05099098618519778,0.2223324919241327,0.00282604380975868,0.0012175354421576107,0.1312210618974847,0.5187789381025153
2025-04-01,震荡,0.00769164452095042,0.004769763008727608,0.33138285914379306,0.0007283375053299047,0.005427395821199019,0.12597779769714035,0.5240222023028598
2025-05-06,震荡,0.0031154542421082346,0.0009072805342611505,0.3306771355072008,0.01113928385549789,0.004160845860931944,0.0826683815875425,0.5673316184124575
2025-06-03,下行,0.016031749596001673,0.019109450550513055,0.04525853769870916,0.0002541093801976075,0.0693461527745785,0.09448641890806567,0.7555135810919343
2025-07-01,震荡,0.06940942623601631,0.0725567770755426,0.07141597851025996,0.0005863553344207037,0.13603146284376036,0.05606155468861374,0.5939384453113863
2025-08-01,震荡,0.08659695335853221,0.026520423995230205,0.1917309396039414,0.0005948440355200317,0.04455683900677611,0.05855336945008951,0.5914466305499105
2025-09-01,震荡偏强,0.07504584290646954,0.11331924609514353,0.2402020211400196,0.0008209193717387598,0.02061197048662849,0.07727635954977963,0.47272364045022036
2025-10-09,震荡,0.028600717882042635,0.09074176335589408,0.21856179827721167,0.01142938005873029,0.0006663404261213228,0.11218366625742957,0.5378163337425704
2025-11-03,震荡,0.00803242381809693,0.1077937091933609,0.22278760165755473,0.0008207722053753271,0.010565493125612094,0.07607571887181644,0.5739242811281836
2025-12-01,下行,0.03350130940711218,0.03314556607156459,0.0814395686811094,0.0014069784917475642,0.0005065773484662706,0.08965750231560934,0.7603424976843907
2026-01-05,震荡,0.1522640408641031,0.0641803480805739,0.12345227963095022,0.009357507845393333,0.0007458235789793678,0.05307172295163014,0.5969282770483699
2026-02-02,下行,0.010634926922511088,0.1217933994675093,0.0057219757126655765,0.00023998116174447253,0.011609716735569531,0.049747989624285116,0.8002520103757149
2026-03-02,震荡,0.02558513074598119,0.30672063666992455,0.009921641408395273,0.0006346883285100444,0.007137902847188963,0.03502485833631169,0.6149751416636884
2026-04-01,下行,0.006865733841293846,0.08474438219848324,0.013962814894982,0.0002726795508614721,0.04415438951437945,0.038030954538796735,0.8119690454612033
2026-05-06,震荡,0.005941642040380341,0.24232919654501064,0.003306333569861526,0.0013969850364289752,0.09702584280831844,0.02249209716692112,0.6275079028330789
2026-06-01,下行,0.014660561274254913,0.1248063620879131,0.0002677558241599635,0.0033726177689139725,0.006892703044758083,0.04181300012160052,0.8081869998783995
2026-07-01,震荡,0.01850997240298916,0.3226929327334267,0.0009332519678224168,0.004792309084746957,0.003071533811014702,0.056337381760181444,0.5936626182398186
