训练设备：cpu

========== 开始 PPO 滚动训练（随机种子42，复现锁定）==========

PPO 第1轮
训练区间: 0 ~ 300
验证区间: 300 ~ 500
预测区间: 500 ~ 600
轮次3 迭代10 | 夏普:3.24 | 累计收益:0.1472 | 年化波动:0.0580 | 最大回撤:-0.0369
轮次3 迭代11 | 夏普:3.20 | 累计收益:0.1410 | 年化波动:0.0562 | 最大回撤:-0.0372
轮次3 迭代12 | 夏普:3.21 | 累计收益:0.1367 | 年化波动:0.0543 | 最大回撤:-0.0365
轮次3 迭代13 | 夏普:3.26 | 累计收益:0.1359 | 年化波动:0.0532 | 最大回撤:-0.0345
轮次3 迭代14 | 夏普:3.46 | 累计收益:0.1587 | 年化波动:0.0585 | 最大回撤:-0.0346
轮次3 迭代15 | 夏普:3.52 | 累计收益:0.1650 | 年化波动:0.0599 | 最大回撤:-0.0352
轮次3 迭代16 | 夏普:3.48 | 累计收益:0.1578 | 年化波动:0.0579 | 最大回撤:-0.0344
轮次3 迭代17 | 夏普:3.49 | 累计收益:0.1588 | 年化波动:0.0582 | 最大回撤:-0.0344
轮次3 迭代18 | 夏普:3.53 | 累计收益:0.1659 | 年化波动:0.0601 | 最大回撤:-0.0344
轮次3 迭代19 | 夏普:3.50 | 累计收益:0.1652 | 年化波动:0.0604 | 最大回撤:-0.0332
轮次3 迭代20 | 夏普:3.48 | 累计收益:0.1586 | 年化波动:0.0582 | 最大回撤:-0.0299
轮次3 迭代21 | 夏普:3.39 | 累计收益:0.1537 | 年化波动:0.0579 | 最大回撤:-0.0282
轮次3 迭代22 | 夏普:3.48 | 累计收益:0.1626 | 年化波动:0.0597 | 最大回撤:-0.0300
轮次3 迭代23 | 夏普:3.58 | 累计收益:0.1747 | 年化波动:0.0624 | 最大回撤:-0.0316
轮次3 迭代24 | 夏普:3.71 | 累计收益:0.1879 | 年化波动:0.0649 | 最大回撤:-0.0337
轮次3 迭代25 | 夏普:3.65 | 累计收益:0.1874 | 年化波动:0.0658 | 最大回撤:-0.0324
轮次3 迭代26 | 夏普:3.71 | 累计收益:0.1903 | 年化波动:0.0658 | 最大回撤:-0.0321
轮次3 迭代27 | 夏普:3.98 | 累计收益:0.2116 | 年化波动:0.0683 | 最大回撤:-0.0332
轮次3 迭代28 | 夏普:4.00 | 累计收益:0.2112 | 年化波动:0.0679 | 最大回撤:-0.0341
轮次3 迭代29 | 夏普:3.96 | 累计收益:0.2093 | 年化波动:0.0679 | 最大回撤:-0.0335
轮次3 迭代30 | 夏普:3.99 | 累计收益:0.2101 | 年化波动:0.0678 | 最大回撤:-0.0349
轮次3 迭代31 | 夏普:4.16 | 累计收益:0.2368 | 年化波动:0.0733 | 最大回撤:-0.0359
轮次3 迭代32 | 夏普:3.72 | 累计收益:0.1851 | 年化波动:0.0638 | 最大回撤:-0.0333
轮次3 迭代33 | 夏普:3.62 | 累计收益:0.1777 | 年化波动:0.0628 | 最大回撤:-0.0324
轮次3 迭代34 | 夏普:3.61 | 累计收益:0.1773 | 年化波动:0.0629 | 最大回撤:-0.0324
轮次3 迭代35 | 夏普:3.77 | 累计收益:0.1872 | 年化波动:0.0637 | 最大回撤:-0.0331
轮次3 迭代36 | 夏普:3.77 | 累计收益:0.1848 | 年化波动:0.0629 | 最大回撤:-0.0338
轮次3 迭代37 | 夏普:3.68 | 累计收益:0.1770 | 年化波动:0.0615 | 最大回撤:-0.0335
轮次3 迭代38 | 夏普:3.61 | 累计收益:0.1693 | 年化波动:0.0600 | 最大回撤:-0.0339
轮次3 迭代39 | 夏普:3.54 | 累计收益:0.1679 | 年化波动:0.0606 | 最大回撤:-0.0347
轮次3 迭代40 | 夏普:3.51 | 累计收益:0.1659 | 年化波动:0.0605 | 最大回撤:-0.0337
轮次3 迭代41 | 夏普:3.49 | 累计收益:0.1628 | 年化波动:0.0597 | 最大回撤:-0.0340
轮次3 迭代42 | 夏普:3.51 | 累计收益:0.1650 | 年化波动:0.0601 | 最大回撤:-0.0333
轮次3 迭代43 | 夏普:3.56 | 累计收益:0.1706 | 年化波动:0.0614 | 最大回撤:-0.0334
轮次3 迭代44 | 夏普:3.47 | 累计收益:0.1619 | 年化波动:0.0597 | 最大回撤:-0.0338
轮次3 迭代45 | 夏普:3.49 | 累计收益:0.1607 | 年化波动:0.0588 | 最大回撤:-0.0347
轮次3 迭代46 | 夏普:3.53 | 累计收益:0.1620 | 年化波动:0.0587 | 最大回撤:-0.0350
轮次3 迭代47 | 夏普:3.58 | 累计收益:0.1664 | 年化波动:0.0594 | 最大回撤:-0.0345
轮次3 迭代48 | 夏普:3.69 | 累计收益:0.1760 | 年化波动:0.0610 | 最大回撤:-0.0340
轮次3 迭代49 | 夏普:3.60 | 累计收益:0.1628 | 年化波动:0.0577 | 最大回撤:-0.0339

PPO 第4轮
训练区间: 300 ~ 600
验证区间: 600 ~ 800
预测区间: 800 ~ 900
  加载上一轮模型：/home/lx/农行杯/fund-platform/models/multi_model/PPO_round3_best.zip
轮次4 迭代0 | 夏普:1.17 | 累计收益:0.0732 | 年化波动:0.0795 | 最大回撤:-0.0647
轮次4 迭代1 | 夏普:1.09 | 累计收益:0.0673 | 年化波动:0.0781 | 最大回撤:-0.0662
轮次4 迭代2 | 夏普:1.09 | 累计收益:0.0694 | 年化波动:0.0804 | 最大回撤:-0.0697
轮次4 迭代3 | 夏普:1.08 | 累计收益:0.0714 | 年化波动:0.0838 | 最大回撤:-0.0730
轮次4 迭代4 | 夏普:1.16 | 累计收益:0.0763 | 年化波动:0.0832 | 最大回撤:-0.0707
轮次4 迭代5 | 夏普:1.13 | 累计收益:0.0735 | 年化波动:0.0822 | 最大回撤:-0.0715
轮次4 迭代6 | 夏普:1.10 | 累计收益:0.0708 | 年化波动:0.0810 | 最大回撤:-0.0712
轮次4 迭代7 | 夏普:1.07 | 累计收益:0.0718 | 年化波动:0.0848 | 最大回撤:-0.0744
轮次4 迭代8 | 夏普:1.07 | 累计收益:0.0701 | 年化波动:0.0830 | 最大回撤:-0.0728
轮次4 迭代9 | 夏普:1.16 | 累计收益:0.0750 | 年化波动:0.0815 | 最大回撤:-0.0697
轮次4 迭代10 | 夏普:1.12 | 累计收益:0.0729 | 年化波动:0.0825 | 最大回撤:-0.0715
轮次4 迭代11 | 夏普:1.14 | 累计收益:0.0730 | 年化波动:0.0814 | 最大回撤:-0.0696
轮次4 迭代12 | 夏普:0.94 | 累计收益:0.0444 | 年化波动:0.0593 | 最大回撤:-0.0563
轮次4 迭代13 | 夏普:0.97 | 累计收益:0.0449 | 年化波动:0.0582 | 最大回撤:-0.0549
轮次4 迭代14 | 夏普:0.90 | 累计收益:0.0429 | 年化波动:0.0604 | 最大回撤:-0.0580
轮次4 迭代15 | 夏普:0.92 | 累计收益:0.0429 | 年化波动:0.0589 | 最大回撤:-0.0569
轮次4 迭代16 | 夏普:0.82 | 累计收益:0.0348 | 年化波动:0.0538 | 最大回撤:-0.0536
轮次4 迭代17 | 夏普:0.78 | 累计收益:0.0349 | 年化波动:0.0563 | 最大回撤:-0.0560
轮次4 迭代18 | 夏普:0.76 | 累计收益:0.0352 | 年化波动:0.0582 | 最大回撤:-0.0574
轮次4 迭代19 | 夏普:0.77 | 累计收益:0.0367 | 年化波动:0.0600 | 最大回撤:-0.0589
轮次4 迭代20 | 夏普:0.85 | 累计收益:0.0375 | 年化波动:0.0557 | 最大回撤:-0.0540
轮次4 迭代21 | 夏普:0.90 | 累计收益:0.0388 | 年化波动:0.0542 | 最大回撤:-0.0517
轮次4 迭代22 | 夏普:0.87 | 累计收益:0.0394 | 年化波动:0.0571 | 最大回撤:-0.0538
轮次4 迭代23 | 夏普:0.89 | 累计收益:0.0457 | 年化波动:0.0648 | 最大回撤:-0.0603
轮次4 迭代24 | 夏普:0.94 | 累计收益:0.0467 | 年化波动:0.0630 | 最大回撤:-0.0583
轮次4 迭代25 | 夏普:1.02 | 累计收益:0.0508 | 年化波动:0.0631 | 最大回撤:-0.0567
轮次4 迭代26 | 夏普:1.04 | 累计收益:0.0512 | 年化波动:0.0621 | 最大回撤:-0.0549
轮次4 迭代27 | 夏普:1.03 | 累计收益:0.0528 | 年化波动:0.0648 | 最大回撤:-0.0577
轮次4 迭代28 | 夏普:1.01 | 累计收益:0.0531 | 年化波动:0.0661 | 最大回撤:-0.0588
轮次4 迭代29 | 夏普:1.02 | 累计收益:0.0533 | 年化波动:0.0659 | 最大回撤:-0.0586
轮次4 迭代30 | 夏普:1.03 | 累计收益:0.0512 | 年化波动:0.0630 | 最大回撤:-0.0565
轮次4 迭代31 | 夏普:1.01 | 累计收益:0.0505 | 年化波动:0.0629 | 最大回撤:-0.0568
轮次4 迭代32 | 夏普:1.07 | 累计收益:0.0525 | 年化波动:0.0620 | 最大回撤:-0.0549
轮次4 迭代33 | 夏普:1.16 | 累计收益:0.0560 | 年化波动:0.0612 | 最大回撤:-0.0518
轮次4 迭代34 | 夏普:1.13 | 累计收益:0.0556 | 年化波动:0.0619 | 最大回撤:-0.0525
轮次4 迭代35 | 夏普:1.13 | 累计收益:0.0589 | 年化波动:0.0660 | 最大回撤:-0.0565
轮次4 迭代36 | 夏普:1.06 | 累计收益:0.0542 | 年化波动:0.0648 | 最大回撤:-0.0578
轮次4 迭代37 | 夏普:1.01 | 累计收益:0.0490 | 年化波动:0.0612 | 最大回撤:-0.0556
轮次4 迭代38 | 夏普:1.02 | 累计收益:0.0523 | 年化波动:0.0645 | 最大回撤:-0.0590
轮次4 迭代39 | 夏普:0.99 | 累计收益:0.0521 | 年化波动:0.0666 | 最大回撤:-0.0610
轮次4 迭代40 | 夏普:1.04 | 累计收益:0.0546 | 年化波动:0.0662 | 最大回撤:-0.0600
轮次4 迭代41 | 夏普:1.26 | 累计收益:0.0788 | 年化波动:0.0789 | 最大回撤:-0.0669
轮次4 迭代42 | 夏普:1.30 | 累计收益:0.0814 | 年化波动:0.0793 | 最大回撤:-0.0669
轮次4 迭代43 | 夏普:1.37 | 累计收益:0.0864 | 年化波动:0.0802 | 最大回撤:-0.0658
