date,保守型C2_动态评分,平衡型C3_动态评分,进取型C4_动态评分,保守型C2_LGB融合,平衡型C3_LGB融合,进取型C4_LGB融合
2025-05-30,2199816.18316241,3961451.2699711383,5392474.608914097,1963388.29138634,3133717.6664119167,3879567.8729952183
2025-06-03,2200569.4200607026,3963940.9528554175,5396892.0689857295,1964011.4029718738,3135510.2176023093,3882473.6771253254
2025-06-04,2202254.8248630674,3969362.519363554,5406438.841537984,1965669.213367219,3140411.7078821645,3890404.158468141
2025-06-05,2203748.2181117465,3974708.206966857,5416129.784231667,1967974.419820443,3148524.24230158,3904112.500109457
2025-06-06,2205374.823420577,3977331.4191861087,5419422.183144754,1969341.1231034969,3150258.716992325,3905889.496876938
2025-06-09,2208326.9136562822,3983786.7836750466,5429245.82128752,1971760.6506357775,3154505.456603687,3911465.945698459
2025-06-10,2206791.6399771576,3974557.9853992895,5410799.946901304,1969599.891042804,3144038.2684254283,3892692.0191232045
2025-06-11,2209192.7961664037,3980582.4032348106,5420544.032098841,1971081.381614869,3146163.645848955,3895125.8017144282
2025-06-12,2207984.012068648,3975589.806957866,5411190.221640612,1970195.5148519597,3142986.2885387875,3889736.6219668784
2025-06-13,2206100.7894715476,3967433.700776533,5395764.900431034,1969543.825513796,3140641.0120981093,3885756.8763043624
2025-06-16,2206663.7733645053,3968586.71214515,5397460.441314634,1970163.7112099435,3142021.2386423545,3887787.6933700982
2025-06-17,2207962.2196114347,3968778.266445969,5395777.328089388,1970971.444593062,3140771.259400837,3884147.3009800287
2025-06-18,2208205.2937906804,3970277.74138343,5398779.0155180525,1971131.1867639734,3141729.8597675776,3885913.2466862323
2025-06-19,2207376.029865292,3965477.4997149645,5389251.706566433,1970790.3995211446,3139523.035039689,3881811.873923745
2025-06-20,2207420.18433897,3964256.770387581,5386414.800548931,1970195.1750702392,3136029.0438845158,3875393.32515689
2025-06-23,2207586.956966373,3966411.3997132657,5391022.82185487,1971191.833400131,3141107.235491275,3884545.4487355766
2025-06-24,2209312.372263599,3976786.025584178,5411715.2431991715,1973199.3084203335,3151182.890717639,3902675.3578645624
2025-06-25,2210027.4334954903,3985427.486014542,5430146.759091133,1974506.142440775,3160698.0805656435,3920592.829887653
2025-06-26,2209075.4955864917,3981151.379513324,5421995.736372687,1973356.4126759202,3156109.3344076904,3912628.1505529983
2025-06-27,2211144.650637623,3984720.9204913606,5426712.382666735,1975324.860258546,3159419.2681350657,3916865.094070551
2025-06-30,2210492.032836187,3988307.1874016053,5435920.285866009,1975398.5731843207,3164888.759830959,3928068.915907641
2025-07-01,2209877.160412904,3981564.938181949,5421612.584568222,1974734.7462307292,3159080.4942161683,3916934.1454574196
2025-07-02,2209300.999524833,3972389.5599058704,5401731.739060499,1972049.9720314513,3143122.1836028877,3887506.5884609483
2025-07-03,2211075.3308598823,3979379.670733763,5414681.729196292,1973677.2955624175,3148826.515088619,3897126.767569323
2025-07-04,2212021.6560167223,3982868.348421049,5421048.416240637,1973635.7531457741,3148052.1723671784,3895584.184733565
2025-07-07,2209923.7329757917,3972829.560157198,5401703.182947355,1972289.6707271512,3142214.03224838,3885314.6986812274
2025-07-08,2214078.5098913196,3994651.2850243505,5444383.115560866,1976444.2194331447,3161251.935421367,3919092.1388345305
2025-07-09,2211742.8939722483,3985708.1896275994,5427897.430189079,1973594.7230679549,3151117.414575187,3901918.903965112
