date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2016-11-29,979741.8870869122,1944123.9399728987,2013042.924371939,2301944.0803887076,1903441.8851710518,1889582.5326494102,1889582.5326494102,1762095.9913551963,1729993.5704721815
2016-11-30,970825.4229972711,1930311.5936184113,1998548.6413338159,2280994.4792747083,1891185.099940375,1876665.19147947,1876665.19147947,1754840.0497547616,1723063.4913309177
2016-12-01,979992.3456936806,1938033.3865750073,2007764.785139512,2297109.2029109825,1896988.7564843707,1878046.06683319,1878046.06683319,1759991.315719268,1728143.043425234
2016-12-02,969186.783881256,1919135.5456794177,1987129.8048335225,2271474.3409637166,1882367.0749217772,1867796.845377154,1867796.845377154,1748839.1277601246,1717092.5057249041
2016-12-05,949744.852464206,1896946.1633763395,1961585.5672854441,2230032.9763665986,1857493.784539848,1849050.6706244643,1849050.6706244643,1736939.6747199502,1704381.8248246138
2016-12-06,948116.0870802975,1900076.9624326227,1966517.7909815996,2236424.9655565983,1860765.1222314371,1850547.5407763608,1850547.5407763608,1739051.8835702888,1706438.559149055
2016-12-07,952424.887085689,1907616.1075518513,1973923.5242941254,2243253.3715281263,1863210.8272185256,1851028.672886451,1851028.672886451,1744164.226672916,1711244.4664926226
2016-12-08,954574.5200630133,1914355.921456413,1981817.3552793493,2254381.2953963988,1875069.7232242636,1864244.642278961,1864244.642278961,1746248.3249532306,1713739.2484124028
2016-12-09,959962.7007424565,1916548.949253775,1984841.1177973545,2263282.292873969,1879586.678148851,1867031.204345176,1867031.204345176,1747266.7099137786,1715060.7055815537
2016-12-12,934584.4694396558,1878951.8300541297,1948222.2550255032,2224140.784307537,1855715.6983164034,1848025.7090021071,1848025.7090021071,1725296.6517175222,1693629.776259156
2016-12-13,933225.8121641742,1876480.2742065268,1943799.0171537208,2214735.7649627016,1850669.8307861544,1845075.1070524321,1845075.1070524321,1723912.979893093,1691977.6812169133
2016-12-14,926739.5674210031,1871308.4235479555,1936983.950571238,2201573.4172382173,1847637.6707966872,1847120.0650865783,1847120.0650865783,1719675.7855461417,1687762.9858383185
2016-12-15,916205.3755768398,1864321.3885266888,1931540.225967741,2191607.2061416963,1834571.527032527,1830358.728780926,1830358.728780926,1718469.521703079,1685364.3573679493
2016-12-16,916196.2862377964,1866539.7983969543,1934658.7582774044,2195023.447636074,1833572.432232105,1826713.2728843198,1826713.2728843198,1720892.0339678896,1687355.9923341498
