date,net_value
2018-07-05,1.2785363
2018-07-06,1.279496
2018-07-09,1.2703785
2018-07-10,1.2848512
2018-07-11,1.2889392
2018-07-12,1.2897173
2018-07-13,1.285112
2018-07-16,1.2804403
2018-07-17,1.2795547
2018-07-18,1.285996
2018-07-19,1.2879319
2018-07-20,1.2987075
2018-07-23,1.2977152
2018-07-24,1.2933713
2018-07-25,1.2918428
2018-07-26,1.2849472
2018-07-27,1.2863669
2018-07-30,1.278052
2018-07-31,1.2664007
2018-08-01,1.2606786
2018-08-02,1.250541
2018-08-03,1.2606348
2018-08-06,1.2526172
2018-08-07,1.264252
2018-08-08,1.266196
2018-08-09,1.2646508
2018-08-10,1.2615517
2018-08-13,1.2488867
2018-08-14,1.2410737
2018-08-15,1.2314647
2018-08-16,1.2347169
2018-08-17,1.2458153
2018-08-20,1.2423394
2018-08-21,1.2464288
2018-08-22,1.2432603
2018-08-23,1.2589741
2018-08-24,1.2588259
2018-08-27,1.2561649
2018-08-28,1.2503763
2018-08-29,1.245626
2018-08-30,1.2450103
2018-08-31,1.2478827
2018-09-03,1.2401731
2018-09-04,1.2364976
2018-09-05,1.2370626
2018-09-06,1.2281218
2018-09-07,1.2276582
2018-09-10,1.2227715
2018-09-11,1.2269585
2018-09-12,1.2273755
2018-09-13,1.2222418
2018-09-14,1.232574
2018-09-17,1.2402954
2018-09-18,1.239492
2018-09-19,1.2530189
2018-09-20,1.2496043
2018-09-21,1.2568016
2018-09-25,1.2541664
2018-09-26,1.2584252
2018-09-27,1.2414676
2018-09-28,1.2381971
2018-10-08,1.2357371
2018-10-09,1.2067803
2018-10-10,1.2159622
2018-10-11,1.2101225
2018-10-12,1.2028028
2018-10-15,1.2036957
2018-10-16,1.1937497
2018-10-17,1.2065518
2018-10-18,1.2346001
2018-10-19,1.2206348
2018-10-22,1.2171094
2018-10-23,1.2155446
2018-10-24,1.2070465
2018-10-25,1.1867278
2018-10-26,1.1895297
2018-10-29,1.1963013
2018-10-30,1.2026045
2018-10-31,1.2244409
2018-11-01,1.2192185
2018-11-02,1.2178613
2018-11-05,1.2155135
2018-11-06,1.2131525
2018-11-07,1.2105793
2018-11-08,1.2169145
2018-11-09,1.2255014
2018-11-12,1.2208658
2018-11-13,1.2294023
2018-11-14,1.2318155
2018-11-15,1.2356484
2018-11-16,1.2246289
2018-11-19,1.2267696
2018-11-20,1.2264816
2018-11-21,1.2119853
2018-11-22,1.2106177
2018-11-23,1.2108788
2018-11-26,1.2171772
2018-11-27,1.2127646
2018-11-28,1.218105
2018-11-29,1.2335546
2018-11-30,1.2353883
2018-12-03,1.2349645
2018-12-04,1.2259532
2018-12-05,1.2247177
2018-12-06,1.2217056
2018-12-07,1.2255484
2018-12-10,1.2258002
2018-12-11,1.2331979
2018-12-12,1.2232747
2018-12-13,1.2202386
2018-12-14,1.2170647
2018-12-17,1.2115054
2018-12-18,1.2132161
2018-12-19,1.2101678
2018-12-20,1.2137185
2018-12-21,1.2112097
2018-12-24,1.2088728
2018-12-25,1.2052612
2018-12-26,1.2099352
2018-12-27,1.2054144
2018-12-28,1.2051394
2019-01-02,1.2148277
2019-01-03,1.219304
2019-01-04,1.2174194
2019-01-07,1.2196811
2019-01-08,1.220034
2019-01-09,1.2240415
2019-01-10,1.2202646
2019-01-11,1.2307296
2019-01-14,1.2272975
2019-01-15,1.2251701
2019-01-16,1.2332729
2019-01-17,1.2359811
2019-01-18,1.2290332
2019-01-21,1.2283622
2019-01-22,1.231783
2019-01-23,1.2317271
2019-01-24,1.2332314
2019-01-25,1.2328318
2019-01-28,1.2291968
2019-01-29,1.2305776
2019-01-30,1.2426013
2019-01-31,1.2541077
2019-02-01,1.2576935
2019-02-11,1.2666137
2019-02-12,1.2698328
2019-02-13,1.264973
2019-02-14,1.2847692
2019-02-15,1.2818937
2019-02-18,1.2840233
2019-02-19,1.2819012
2019-02-20,1.2922611
2019-02-21,1.3260306
2019-02-22,1.3148714
2019-02-25,1.3151351
2019-02-26,1.3131192
2019-02-27,1.3237139
2019-02-28,1.3274086
2019-03-01,1.3341932
2019-03-04,1.3389629
2019-03-05,1.3344952
2019-03-06,1.3216279
2019-03-07,1.3368564
2019-03-08,1.342016
2019-03-11,1.3343211
2019-03-12,1.3293537
2019-03-13,1.3362063
2019-03-14,1.3603698
2019-03-15,1.3587509
2019-03-18,1.3593798
2019-03-19,1.3615
2019-03-20,1.3632298
2019-03-21,1.3528448
2019-03-22,1.346092
2019-03-25,1.3537936
2019-03-26,1.3521997
2019-03-27,1.3675191
2019-03-28,1.3846393
2019-03-29,1.3815316
2019-04-01,1.386963
2019-04-02,1.3959348
2019-04-03,1.3973192
2019-04-04,1.3957947
2019-04-08,1.3959368
2019-04-09,1.3845242
2019-04-10,1.3810815
2019-04-11,1.3744059
2019-04-12,1.3857697
2019-04-15,1.3872573
2019-04-16,1.3842347
2019-04-17,1.3890967
2019-04-18,1.3825355
2019-04-19,1.3786718
2019-04-22,1.3806309
2019-04-23,1.3699223
2019-04-24,1.3667499
2019-04-25,1.3637695
2019-04-26,1.3672737
2019-04-29,1.3373199
2019-04-30,1.3435583
2019-05-06,1.3396226
2019-05-07,1.3315365
2019-05-08,1.3511932
2019-05-09,1.3486766
2019-05-10,1.3484374
2019-05-13,1.3644462
2019-05-14,1.3729234
2019-05-15,1.3596547
2019-05-16,1.3503739
2019-05-17,1.3549765
2019-05-20,1.3496083
2019-05-21,1.3389521
2019-05-22,1.3398695
2019-05-23,1.348613
2019-05-24,1.350657
2019-05-27,1.3524625
2019-05-28,1.3509603
2019-05-29,1.3511283
2019-05-30,1.3535321
2019-05-31,1.3496858
2019-06-03,1.350074
2019-06-04,1.3419598
2019-06-05,1.3485396
2019-06-06,1.3688419
2019-06-10,1.3660966
2019-06-11,1.3666086
2019-06-12,1.364297
2019-06-13,1.3592492
2019-06-14,1.3618389
2019-06-17,1.3668704
