日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2024-04-24,=5875.3252,=6365.5791,=1820054328220.7395,=1322557394226,=900837966371.2800,=112.6991,=0.9110,=104.4631,=78.5276,=46.0511
2024-04-23,=5766.8233,=6248.0235,=1788428514277.5498,=1300257064548,=884462257170.7401,=109.9771,=0.8871,=104.3709,=78.3164,=46.0511
2024-04-22,=5818.9703,=6304.5218,=1803485005603.2195,=1311409926143,=892948311494.5796,=107.8597,=0.8614,=104.3167,=78.2151,=46.0511
2024-04-19,=5817.0404,=6302.4309,=1805353736556.1799,=1310517803908,=892485967422.8701,=107.2831,=0.8516,=104.3167,=78.1139,=46.0420
2024-04-18,=5989.2087,=6488.9654,=1855850646372,=1348754994425,=918508734916.1300,=108.9831,=0.8744,=104.2132,=78.0983,=46.0420
2024-04-17,=6068.3595,=6574.7207,=1877873121879.6704,=1366895734359,=930658404864.1600,=109.1769,=0.8770,=104.1132,=78.0828,=46.0420
2024-04-16,=5864.6025,=6353.9616,=1821617148432.9104,=1322568034040,=899466669580.3499,=104.0860,=0.7998,=104.0860,=78.0704,=46.0420
2024-04-15,=6021.7507,=6524.2227,=1863295401842.5601,=1358694278634,=923508013905.9000,=107.4943,=0.8590,=103.9860,=78.0581,=46.0420
2024-04-12,=5915.4611,=6409.0640,=1828588288777.1001,=1332715104638,=904989499978.4900,=96.2044,=0.7019,=103.9860,=77.8076,=45.9828
2024-04-11,=5876.7241,=6367.0946,=1821542928868.3799,=1326031995361,=898865434626.8000,=96.2928,=0.7034,=103.9860,=77.5571,=45.9828
2024-04-10,=5854.1577,=6342.6452,=1823504202049.2705,=1322060896650,=895458117125.1801,=97.1568,=0.7147,=103.9860,=77.5398,=45.9828
2024-04-09,=6016.5119,=6518.5467,=1869819519088.6499,=1357633533635,=919761721352.5200,=92.6271,=0.6673,=103.9860,=77.5224,=45.9828
2024-04-08,=5966.1411,=6463.9729,=1854079721889.6201,=1345929933761,=910549314140.6899,=90.3177,=0.6500,=103.9860,=77.5155,=45.9828
2024-04-03,=6107.0840,=6616.6765,=1899163871722.6804,=1376204412244,=932206876832.1600,=93.5167,=0.6756,=104.1132,=77.5086,=45.9574
2024-04-02,=6161.0291,=6675.1229,=1915415401364.3999,=1388163727905,=940211406669.2800,=94.4633,=0.6842,=104.1132,=77.3844,=45.9574
2024-04-01,=6273.6999,=6797.1953,=1948292144456.2695,=1414158502739,=957420522214.4900,=94.6168,=0.6875,=104.1132,=77.2603,=45.9574
2024-03-29,=6189.0804,=6705.5149,=1920509270640.9497,=1394125347290,=944380613740.6002,=93.2755,=0.6729,=104.1132,=77.2198,=45.9574
2024-03-28,=6205.4419,=6723.2416,=1924272090110.5696,=1397640582747,=946806817482.6400,=94.1874,=0.6816,=104.1132,=77.1793,=45.9574
2024-03-27,=6111.1903,=6621.1254,=1895782848830.9199,=1378012957043,=932496078881.1500,=93.3353,=0.6741,=104.2132,=77.1647,=45.7981
2024-03-26,=6281.2347,=6805.3588,=1946138124762.5896,=1414861501045,=958711745667.5200,=97.3826,=0.7177,=104.2132,=77.1501,=45.7981
2024-03-25,=6359.5754,=6890.2365,=1973573582613.0701,=1431835725043,=970528518846.7296,=100.3887,=0.7516,=104.2132,=77.0947,=45.7981
2024-03-22,=6506.5549,=7049.4804,=2017356331192.9504,=1463672299896,=993261595109.4298,=103.3322,=0.7908,=104.2132,=77.0392,=45.7981
2024-03-21,=6568.4803,=7116.5730,=2042139187615.6904,=1476813077433,=1003015083754.6100,=102.2170,=0.7736,=104.2132,=77.0010,=45.7981
2024-03-20,=6568.7207,=7116.8335,=2045571831835.4004,=1477972567547,=1002894746200.3800,=99.9090,=0.7446,=104.3167,=76.9627,=45.7559
2024-03-19,=6588.6274,=7138.4013,=2049379771014.7805,=1482559829779,=1005942088600.9600,=101.9266,=0.7687,=104.3167,=76.9616,=45.7559
2024-03-18,=6685.1042,=7242.9284,=2080692944452.9600,=1502994012742,=1021267198677.9399,=106.4939,=0.8378,=104.3167,=76.9605,=45.7559
2024-03-15,=6498.6463,=7040.9119,=2022578681046.5095,=1460182992566,=993618097802.7400,=105.5060,=0.8151,=104.2132,=76.8272,=45.7559
2024-03-14,=6494.7982,=7036.7427,=2022138189279.5100,=1459633922206,=992962193513.3199,=105.0985,=0.8123,=104.1132,=76.6939,=45.7559
2024-03-13,=6594.9283,=7145.2280,=2053343420029.1699,=1482974085052,=1008201823342.5295,=107.4964,=0.8573,=104.1132,=76.6686,=45.6003
2024-03-12,=6615.5967,=7167.6210,=2056781955315.0801,=1487398021033,=1011089588046.7800,=107.9276,=0.8617,=103.9860,=76.6433,=45.6003
2024-03-11,=6589.0587,=7138.8686,=2056677273147.3501,=1481533952010,=1006740166542.3500,=106.1211,=0.8326,=103.9455,=76.5618,=45.6003
2024-03-08,=6513.3154,=7056.8050,=2030830180971.0601,=1463909452801,=995407728443.9102,=106.2975,=0.8351,=103.8726,=76.4802,=45.6003
2024-03-07,=6367.5830,=6898.9123,=1991485912144.9600,=1430637833853,=973179073903.8600,=104.7979,=0.8114,=103.6977,=76.4526,=45.6003
