date,bond_10y_2y_spread,zz500_std20,hs300_pb,consume_rsi14,hs300_pe,margin_5d_chg,zz500_atr14,zz500_pb,zz500_ma5,zz500_pb_quantile,hs300_atr14,hs300_erp,hs300_ma5,bond10_macd_bar,consume_pe,consume_pe_quantile,margin_total,north_net,m0环比增长,m1环比增长,kc50_pe_p80,chip_ma5,pmi_生产经营活动预期指数,gold_rsi14,社融增量(亿元),kc50_pe_quantile,chip_macd_dif,gold_ma5,chip_std20,north_20d_sum,chip_ma20_vol,gold_std20,chip_obv,chip_macd_bar,社融存量增速(近似),chip_pb,kc50_ma20_vol
2016-01-04,0.4112,0.2238915545917431,1.63,48.95342647552431,12.21,-4.058464683,0.2144951465795075,3.57,7.750599999999197,,0.0880770181767715,5.319008190008189,3.743200000003839,,26.9124,0.5894909688013136,1161528350290.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-05,0.3967,0.2672198125466195,1.63,45.40067543628501,12.22,-4.139352817,0.2421026361095426,3.52,7.608599999999197,,0.0924286597355735,5.292206055646481,3.6930000000038383,,27.2636,0.6083743842364532,1140185523736.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-06,0.3823,0.2864241927935454,1.66,47.67274593730741,12.44,-4.656503673,0.2394524478160038,3.6,7.479999999999197,,0.0909694697544611,5.152485209003216,3.646800000003838,,27.633,0.6297208538587848,1134357858336.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-07,0.3583,0.3752873275469558,1.55,44.85831736458152,11.67,-5.766951864,0.2703487015434321,3.29,7.209199999999197,,0.0972573647719996,5.717880291345329,3.581200000003838,,25.8136,0.5238095238095238,1122618921072.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-08,0.3572,0.4269822809172109,1.59,34.63475614623429,11.91,-6.400599153,0.2867523657189013,3.35,6.992199999999197,,0.1042389815739996,5.56010562552477,3.507200000003838,,26.3467,0.5591133004926109,1099107078765.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-11,0.3504,0.5163735258678203,1.51,32.54559614712574,11.36,-8.356028866,0.2979129110246941,3.11,6.817599999999198,,0.1095076257472853,5.984116901408452,3.446800000003838,,25.0935,0.4950738916256157,1064470706056.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-12,0.3503,0.5871025704398087,1.52,32.0556371528677,11.42,-8.34064681,0.2918477030943588,3.11,6.6549999999991964,,0.1069713667653364,5.967867425569176,3.3926000000038377,,25.031,0.493431855500821,1045086676220.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-13,0.3189,0.6615012590440668,1.49,31.92623547488025,11.21,-9.5272481,0.293144295730476,3.0,6.423199999999197,0.0674603174603174,0.1072591262820981,6.196906601248885,3.3184000000038374,,24.6403,0.4802955665024631,1026284770826.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-14,0.347,0.7017034955853926,1.52,34.76231696960313,11.39,-9.4510725,0.3025625603211563,3.11,6.362399999999196,0.1363636363636363,0.1098834744048053,6.028331255487268,3.2746000000038373,,25.187,0.5024630541871922,1016519392944.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-15,0.3128,0.7425282541537311,1.47,29.58545605839807,11.03,-9.042171157,0.3022366631553594,2.98,6.226799999999196,0.0610236220472441,0.1105346548044621,6.319783136899366,3.226800000003837,,24.43,0.4729064039408867,999724000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-18,0.3482,0.7661507411837577,1.47,28.08410649698468,11.04,-6.134265321,0.3033626157871194,3.02,6.195399999999196,0.0862745098039215,0.1088536080327148,6.281571014492755,3.214400000003837,,24.5049,0.4761904761904761,999173000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-19,0.3603,0.7622640475689846,1.51,38.21389362562162,11.35,-4.532694934,0.328836714659468,3.13,6.205399999999196,0.15234375,0.1094354931732351,6.01417268722467,3.2156000000038367,,25.2963,0.5057471264367817,997716000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-20,0.3424,0.7466939772866044,1.49,33.866936399249454,11.22,-3.158740378,0.3212769493266488,3.1,6.244199999999196,0.1342412451361867,0.1099758150894326,6.1012559714795005,3.2072000000038363,,24.8184,0.486863711001642,993867000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-21,0.3232,0.7387593083785216,1.45,29.39324331330611,10.92,-3.042622103,0.3581857386604596,2.97,6.198599999999197,0.0562015503875969,0.1112632568687588,6.3661091575091575,3.1698000000038364,,24.2192,0.4646962233169129,985591000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-22,0.3314,0.7142018032151348,1.46,28.793809174206864,11.03,-1.845501038,0.3571010430418554,3.02,6.217599999999197,0.0907335907335907,0.1090301670924189,6.2920831368993655,3.1576000000038364,,24.3856,0.4696223316912972,981274000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-25,0.3788,0.6714761114258468,1.47,31.308197263283592,11.08,-2.16527229,0.3416652542531514,3.05,6.228399999999198,0.1153846153846153,0.1050994408715318,6.166270758122744,3.1474000000038367,,24.6259,0.4827586206896552,977538000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-26,0.3857,0.6511517608940205,1.38,37.70437537950303,10.44,-4.470453135,0.3518320218064977,2.82,6.123199999999197,0.003831417624521,0.1111637665235653,6.716944061302683,3.083800000003836,,23.4566,0.4400656814449918,953114000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-27,0.4097,0.6142124455065812,1.38,33.58783394093269,10.41,-6.242141657,0.3557725916774621,2.78,5.999799999999197,0.0038167938931297,0.1133663546290249,6.704547934678194,3.032400000003836,,23.356,0.4392446633825944,931829000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-28,0.3875,0.5626768239539733,1.35,29.675696298142395,10.19,-7.115023799,0.3485745494147863,2.65,5.8721999999991965,0.0038022813688212,0.1122687578698088,6.926942688910698,2.986600000003836,,22.842,0.4285714285714285,915466000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-01-29,0.3647,0.4818164543835293,1.39,34.556635393766655,10.47,-7.347844365,0.3439620815994444,2.75,5.766799999999196,0.0075757575757575,0.1124638465933939,6.709198376313275,2.951000000003836,,23.5214,0.4425287356321839,909172000000.0,,0.1473,0.0293,,,51.3,,34758.0,,,,,,,,,,,,
2016-02-01,0.4034,0.4603526427800404,1.37,33.97940952988609,10.34,-7.969384199,0.3326076471994841,2.72,5.639599999999196,0.0075471698113207,0.1100021432652943,6.834379883945841,2.906600000003836,,23.4199,0.4408866995073892,899635000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-02,0.4353,0.4201997955906703,1.39,33.8575989063117,10.52,-5.558011056,0.3236356723995209,2.82,5.628399999999196,0.0206766917293233,0.1074305616034876,6.623903422053232,2.909800000003836,,23.9092,0.4556650246305418,900139000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-03,0.4443,0.3384967587943776,1.38,31.543819744953204,10.46,-3.976261494,0.3133045529424123,2.83,5.651799999999196,0.0280898876404494,0.1038998072032385,6.668429445506693,2.9166000000038363,,23.8506,0.4540229885057471,894777000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-04,0.4281,0.3164394029103261,1.4,34.5844196439444,10.57,-2.739647438,0.3010685134465257,2.88,5.742199999999196,0.0373134328358208,0.0999069638315786,6.60573793755913,2.943800000003836,,24.1075,0.4663382594417077,890385000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-05,0.4196,0.2732110827074154,1.39,35.61106694924989,10.51,-4.116505444,0.2867064767717738,2.84,5.786199999999196,0.0334572490706319,0.0954136092721801,6.661247859181732,2.9478000000038365,,24.0235,0.4630541871921182,871745000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
