date,year,month,volatility_20d
2021-12-14,2021,12,11.053339252666222
2021-12-15,2021,12,11.67090871381686
2021-12-16,2021,12,11.116792045473083
2021-12-17,2021,12,11.951309971674748
2021-12-20,2021,12,13.12996025230602
2021-12-21,2021,12,13.22311284820474
2021-12-22,2021,12,13.199257441630694
2021-12-23,2021,12,13.398096844111167
2021-12-24,2021,12,13.125886188199685
2021-12-27,2021,12,13.103199815732284
2021-12-28,2021,12,13.08478275856607
2021-12-29,2021,12,14.04407850420927
2021-12-30,2021,12,14.245637005982845
2021-12-31,2021,12,13.9123269066762
2022-01-04,2022,1,13.975429620205942
2022-01-05,2022,1,14.21838392461922
2022-01-06,2022,1,13.54733306956632
2022-01-07,2022,1,11.822671384629157
2022-01-10,2022,1,11.96407224426816
2022-01-11,2022,1,12.06170311471109
2022-01-12,2022,1,12.907952978021866
2022-01-13,2022,1,13.693515951752378
2022-01-14,2022,1,13.57250517567398
2022-01-17,2022,1,13.498448958364891
2022-01-18,2022,1,13.17454699518069
2022-01-19,2022,1,14.795347414500826
2022-01-20,2022,1,15.191059959974575
2022-01-21,2022,1,14.895756082472625
2022-01-24,2022,1,14.902697264546754
2022-01-25,2022,1,16.453318526085493
2022-01-26,2022,1,16.478102965954545
2022-01-27,2022,1,16.846954568701197
2022-01-28,2022,1,16.854935078471556
2022-02-07,2022,2,18.207921293366645
2022-02-08,2022,2,18.210030690551505
2022-02-09,2022,2,18.601089564597647
2022-02-10,2022,2,18.34292025357913
2022-02-11,2022,2,18.32741135062628
2022-02-14,2022,2,18.38008845372759
2022-02-15,2022,2,18.82181376626188
2022-02-16,2022,2,18.357597941856884
2022-02-17,2022,2,17.74974047200502
2022-02-18,2022,2,17.74289086081619
2022-02-21,2022,2,17.34777447506075
2022-02-22,2022,2,17.17945451206031
2022-02-23,2022,2,16.539284359980826
2022-02-24,2022,2,17.13578328401231
2022-02-25,2022,2,17.474181687958353
2022-02-28,2022,2,17.495436026070045
2022-03-01,2022,3,16.19022490771982
2022-03-02,2022,3,16.18762851959877
2022-03-03,2022,3,15.206933906776737
2022-03-04,2022,3,14.747505437872409
2022-03-07,2022,3,17.44669874102313
2022-03-08,2022,3,18.32572583558852
2022-03-09,2022,3,17.83385193563549
2022-03-10,2022,3,19.045108306186965
2022-03-11,2022,3,19.32727629814269
2022-03-14,2022,3,21.84306184595878
2022-03-15,2022,3,26.126294358332014
2022-03-16,2022,3,31.52921226000264
2022-03-17,2022,3,32.71427502026639
2022-03-18,2022,3,32.772376488778
2022-03-21,2022,3,32.78635948307266
2022-03-22,2022,3,32.62828670701665
2022-03-23,2022,3,32.40709284215959
2022-03-24,2022,3,31.95692951255527
2022-03-25,2022,3,32.119581427761155
2022-03-28,2022,3,32.0539098417102
2022-03-29,2022,3,31.68528144783313
2022-03-30,2022,3,34.02620510976987
2022-03-31,2022,3,34.038623994695286
2022-04-01,2022,4,34.34243727329475
2022-04-06,2022,4,32.39285978652405
