日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2012-09-27,=5780.6630,=6158.1500,=1253975123775,=993161146955,=503055518160.6186,=4.3256,=0.0101,=6.7123,=6.0495,=5.1433
2012-09-26,=5652.8640,=6022.0100,=1226778655248.5000,=971872993264,=492142162822.0784,=4.2318,=0.0025,=6.7123,=6.0505,=5.1460
2012-09-25,=5744.5470,=6119.6800,=1245775282474.8999,=987086566579,=499934878482.1512,=4.2973,=0.0063,=6.7123,=6.0514,=5.1517
2012-09-24,=5698.2600,=6070.3700,=1232391496688.2002,=976316545487,=495243376302.2228,=4.2512,=0.0025,=6.7170,=6.0541,=5.1517
2012-09-21,=5660.1720,=6029.7900,=1223906651726.4995,=969435407516,=491834603956.6872,=4.2219,=0.0013,=6.7170,=6.0567,=5.1524
2012-09-20,=5661.2410,=6030.9300,=1222449580926.4998,=968001351244,=491631138251.7384,=4.2169,=0,=6.7170,=6.0590,=5.1613
2012-09-19,=5790.5080,=6168.6400,=1248939940309.8997,=988069941852,=502180048969.6921,=4.3083,=0.0026,=6.7170,=6.0613,=5.1634
2012-09-18,=5833.6660,=6214.6200,=1263073560587.7000,=1000977138450,=507233049419.9041,=4.3570,=0.0089,=6.7170,=6.0630,=5.1667
2012-09-17,=5886.9930,=6271.4300,=1276781480958.8000,=1010075486552,=511307403908.4064,=4.4043,=0.0090,=6.7206,=6.0646,=5.1667
2012-09-14,=6019.9580,=6413.0800,=1303468534271.0002,=1031762324794,=522671388460.0184,=4.4963,=0.0166,=6.7206,=6.0681,=5.1675
2012-09-13,=5996.8540,=6388.4600,=1295941027222.3997,=1024997017351,=520030127387.2278,=4.4704,=0.0115,=6.7206,=6.0717,=5.1687
2012-09-12,=6050.4770,=6445.5900,=1306026759394.2002,=1031944390560,=524175300438.3634,=4.5052,=0.0180,=6.7206,=6.0719,=5.1735
2012-09-11,=6018.8680,=6411.9100,=1300441980215.8999,=1027654729495,=521604907724.6880,=4.4859,=0.0129,=6.7206,=6.0720,=5.1783
2012-09-10,=6036.2250,=6430.4000,=1304274469051.3999,=1031413741622,=523315433463.8581,=4.4991,=0.0154,=6.7209,=6.0725,=5.1783
2012-09-07,=6035.7550,=6429.1700,=1305471407633.8999,=1032254531865,=523399995842.3452,=4.4986,=0.0142,=6.7209,=6.0730,=5.1787
2012-09-06,=5826.1510,=6205.9000,=1258659448773,=995115765937,=505059012482.7740,=4.3373,=0.0052,=6.7209,=6.0762,=5.1819
2012-09-05,=5812.6380,=6191.5100,=1258021651459.6001,=994997896089,=504325727178.3139,=4.3351,=0.0026,=6.7209,=6.0794,=5.1982
