日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-07-28,=22628.3500,=28351.8000,=7045099846899.8496,=6269829894018,=3020188897665.5830,=3.8296,=0.6745,=4.2440,=3.4236,=3.0351
2022-07-27,=22695.9400,=28436.4800,=7078248772654.8398,=6302471404653,=3036588143180.4268,=3.8295,=0.6744,=4.2440,=3.4231,=3.0351
2022-07-26,=22916.2500,=28712.5200,=7163494749627.8516,=6385445334774,=3072241782375.3652,=3.8503,=0.6819,=4.2440,=3.4227,=3.0351
2022-07-25,=22728.4000,=28477.1600,=7114633139401.7715,=6339643670037,=3051024415396.2466,=3.8113,=0.6701,=4.2440,=3.4222,=3.0351
2022-07-22,=22624.4800,=28346.9500,=7092569970158.1104,=6319162296081,=3041489657112.9609,=3.8057,=0.6688,=4.2440,=3.4221,=3.0351
2022-07-21,=22744.5500,=28497.3900,=7110384381559.0215,=6327628456579,=3048110969097.3477,=3.8470,=0.6800,=4.2441,=3.4221,=3.0350
2022-07-20,=22929.1300,=28728.5300,=7168602425142.2207,=6379563872005,=3071796561857.0220,=3.8869,=0.6903,=4.2441,=3.4220,=3.0350
2022-07-19,=22830.0300,=28602.9100,=7129392210426.2510,=6348167565234,=3059354155066.0161,=3.8552,=0.6830,=4.2441,=3.4218,=3.0350
2022-07-18,=22805.5200,=28567.0300,=7132187450556.6104,=6348503019112,=3059874941820.9121,=3.8275,=0.6743,=4.2441,=3.4217,=3.0350
2022-07-15,=22846.8900,=28618.8600,=7142654604021.3301,=6359039505626,=3063732215021.0869,=3.7897,=0.6667,=4.2441,=3.4216,=3.0350
2022-07-14,=22967.7300,=28770.2300,=7168655762237.8213,=6377671547418,=3076486542481.5825,=3.8398,=0.6786,=4.2453,=3.4214,=3.0345
2022-07-13,=23121.4200,=28962,=7211326707856.4512,=6415123073652,=3094437771079.2979,=3.8612,=0.6841,=4.2453,=3.4213,=3.0345
2022-07-12,=23034.3100,=28850.4400,=7171836525962.2490,=6381105810484,=3079747701194.3745,=3.8502,=0.6818,=4.2453,=3.4213,=3.0345
2022-07-11,=23298.9500,=29180.6900,=7244520752830.4131,=6434281128523,=3108985075191.6064,=3.9270,=0.7023,=4.2453,=3.4213,=3.0345
2022-07-08,=23527.6800,=29467.1700,=7350744430476.6104,=6531402375547,=3148775409081.3271,=3.9642,=0.7139,=4.2453,=3.4212,=3.0345
2022-07-07,=23452.5000,=29373.0100,=7327444716996.3418,=6509638911233,=3137260142909.3745,=3.9703,=0.7157,=4.2490,=3.4212,=3.0340
2022-07-06,=23498.2500,=29428.6600,=7360647461790.3408,=6541177964153,=3149857458180.2881,=3.9822,=0.7184,=4.2490,=3.4208,=3.0340
2022-07-05,=24030.9900,=30095.8500,=7508664581946.5195,=6670803319801,=3213127616633.2256,=4.0700,=0.7468,=4.2490,=3.4204,=3.0340
2022-07-04,=24169.5400,=30269.3700,=7533693801252.7275,=6686081212674,=3219806510196.3452,=4.1365,=0.7695,=4.2490,=3.4202,=3.0340
2022-07-01,=23805.0400,=29812.8700,=7481305353425.8691,=6657383205753,=3196022976899.3374,=4.0495,=0.7426,=4.2490,=3.4200,=3.0340
2022-06-30,=23940.6000,=29982.6400,=7529097140190.1182,=6702456886163,=3214008920786.4297,=4.0594,=0.7441,=4.2510,=3.4200,=3.0339
2022-06-29,=23326.6300,=29181.4400,=7360468403824.3584,=6539286973419,=3145289401408.2319,=3.9658,=0.7161,=4.2510,=3.4200,=3.0339
2022-06-28,=23763.9400,=29680.7000,=7454591712465.2402,=6615535937766,=3191731622574.0781,=4.0179,=0.7347,=4.2510,=3.4200,=3.0339
2022-06-27,=23663.2200,=29543.1000,=7398385577219.8896,=6559957510213,=3166230027456.1958,=4.0069,=0.7311,=4.2510,=3.4199,=3.0339
2022-06-24,=22999.4200,=28714.3600,=7227313497290.5811,=6426385659592,=3101987111042.4829,=3.9374,=0.7082,=4.2510,=3.4196,=3.0339
2022-06-23,=22721.7800,=28366.1800,=7102523521595.1807,=6311899186953,=3049679612454.5859,=3.8894,=0.6926,=4.2511,=3.4193,=3.0338
2022-06-22,=22543.3600,=28136.3700,=7034189686503.5576,=6251539038897,=3022822308222.6387,=3.8606,=0.6868,=4.2511,=3.4191,=3.0338
2022-06-21,=22704.0300,=28309.6700,=7095281082951.4785,=6306877486076,=3044493394514.6621,=3.9146,=0.7016,=4.2511,=3.4189,=3.0338
2022-06-20,=22801.9300,=28431.7400,=7119117498502.7197,=6323878024992,=3052397819860.8091,=3.9605,=0.7148,=4.2511,=3.4186,=3.0338
2022-06-17,=22573.7700,=28146.3000,=7068921669445.8398,=6279885436698,=3035662991267.1997,=3.9188,=0.7033,=4.2511,=3.4183,=3.0338
2022-06-16,=22264.8900,=27761.1600,=6916267038756.1504,=6135034816980,=2970827733676.6328,=3.8936,=0.6937,=4.2519,=3.4182,=3.0336
2022-06-15,=22148.4700,=27604.4600,=6892564570836.5488,=6121700904293,=2959650533023.0703,=3.8442,=0.6837,=4.2519,=3.4180,=3.0336
2022-06-14,=21973.5000,=27386.2200,=6842149556495.8779,=6076039520486,=2939353374090.5371,=3.8403,=0.6833,=4.2519,=3.4177,=3.0336
2022-06-13,=21678.1000,=27018.0600,=6768803318909.3203,=6010044839182,=2905363206846.9888,=3.7782,=0.6673,=4.2519,=3.4173,=3.0336
2022-06-10,=21855.6000,=27234.5600,=6724650964330.2793,=6061938760925,=2929253917359.6030,=3.7185,=0.6456,=4.2519,=3.4171,=3.0336
2022-06-09,=21644.9800,=26968.3800,=6621077250992.6299,=5968868361701,=2887316132756.3340,=3.6847,=0.6343,=4.2529,=3.4169,=3.0336
2022-06-08,=21862.0600,=27229.7600,=6700790626726.8916,=6027436387667,=2914270088247.7549,=3.7254,=0.6498,=4.2529,=3.4168,=3.0336
2022-06-07,=21578.8700,=26877.0400,=6588447378298.6914,=5919904291008,=2863208324904.3110,=3.7241,=0.6494,=4.2529,=3.4166,=3.0336
2022-06-06,=21274.2500,=26497.6200,=6486593274662.1309,=5824704460672,=2821563640860.4736,=3.7116,=0.6422,=4.2529,=3.4165,=3.0336
2022-06-02,=21099.9400,=26280.5100,=6436004442739.1592,=5779759908772,=2803315395208.4424,=3.6688,=0.6294,=4.2529,=3.4164,=3.0336
2022-06-01,=21244.4100,=26460.4500,=6467868325335.5605,=5807614047886,=2817495634658.5093,=3.6777,=0.6321,=4.2538,=3.4162,=3.0334
2022-05-31,=21499.8400,=26715.2800,=6531943977209.6191,=5863305958186,=2848259785941.0601,=3.7008,=0.6381,=4.2538,=3.4160,=3.0334
2022-05-30,=20913.6500,=25977.5000,=6372606403745.1172,=5722143827405,=2781527396857.6548,=3.5923,=0.6048,=4.2538,=3.4157,=3.0334
2022-05-27,=20525.0600,=25479.6500,=6245132498680.7109,=5604244570588,=2730427713837.4385,=3.5339,=0.5775,=4.2538,=3.4155,=3.0334
2022-05-26,=20503.1600,=25452.4700,=6226314923720.8711,=5577758306979,=2722158383569.0625,=3.5516,=0.5873,=4.2538,=3.4154,=3.0334
2022-05-25,=20531.5900,=25487.7600,=6245729009782.8076,=5597625227769,=2730338121718.8213,=3.5403,=0.5808,=4.2545,=3.4154,=3.0330
2022-05-24,=20423.3700,=25349.5000,=6230446214256.4277,=5590287073455,=2722556424074.2471,=3.4670,=0.5363,=4.2545,=3.4150,=3.0330
2022-05-23,=20815.8000,=25836.5900,=6334152876835.7412,=5682074256014,=2768662011704.6392,=3.5715,=0.5958,=4.2545,=3.4146,=3.0330
2022-05-20,=20972.1100,=26027.5200,=6395650273444.7100,=5744482609065,=2793834584601.5068,=3.5522,=0.5874,=4.2545,=3.4145,=3.0330
2022-05-19,=20388.4500,=25303,=6212070816795.9609,=5573152257130,=2714666821298.3931,=3.4614,=0.5326,=4.2545,=3.4145,=3.0330
2022-05-18,=20626.8000,=25598.8000,=6264109333790.0498,=5618886853291,=2739087938935.6748,=3.4798,=0.5437,=4.2561,=3.4144,=3.0329
2022-05-17,=20734.0500,=25729.3400,=6297373300303.1201,=5648578751552,=2752564058783.3081,=3.4836,=0.5457,=4.2561,=3.4144,=3.0329
2022-05-16,=20686.2400,=25670.0200,=6272997494802.8916,=5622006450053,=2742434521587.2749,=3.4936,=0.5536,=4.2561,=3.4143,=3.0329
2022-05-13,=20795.0300,=25805.0100,=6320055946992.9395,=5672924490020,=2764234889356.2466,=3.4665,=0.5362,=4.2561,=3.4143,=3.0329
2022-05-12,=20885.8900,=25914.3200,=6324849525323.8086,=5671189308840,=2766268927112.8467,=3.4706,=0.5392,=4.2561,=3.4142,=3.0329
2022-05-11,=20856.1500,=25877.4200,=6319377992169.7305,=5665913716155,=2765314213830.5024,=3.4652,=0.5349,=4.2564,=3.4142,=3.0329
2022-05-10,=20777.6800,=25780.0600,=6282792131510.1406,=5635535131164,=2756376176683.9722,=3.4632,=0.5344,=4.2564,=3.4139,=3.0329
2022-05-09,=20506.3300,=25443.3800,=6217160294579.8994,=5574435562947,=2725203100632.0083,=3.4261,=0.5106,=4.2564,=3.4136,=3.0329
2022-05-06,=20633.9800,=25601.7600,=6292396377881.2793,=5652368566834,=2757490195126.0107,=3.3921,=0.4812,=4.2564,=3.4136,=3.0329
2022-05-05,=21239.5000,=26353.0600,=6473487735824.7598,=5818715188344,=2834297106225.5898,=3.4867,=0.5475,=4.2564,=3.4136,=3.0329
2022-04-29,=21191.9200,=26294.0300,=6479205837945.8018,=5808599407889,=2818868119487.9009,=3.2915,=0.3821,=4.2564,=3.4136,=3.0315
2022-04-28,=21217.4600,=26279.2500,=6482984386821.5693,=5820537183681,=2821959267353.3979,=3.2294,=0.3277,=4.2564,=3.4136,=3.0315
2022-04-27,=21172.2300,=26223.2300,=6422648944791.9014,=5748313030166,=2795100547327.2881,=3.2513,=0.3464,=4.2564,=3.4139,=3.0315
2022-04-26,=20630.8800,=25552.7400,=6261447866611.5400,=5596446472520,=2718395924589.4814,=3.1764,=0.2893,=4.2564,=3.4142,=3.0315
2022-04-25,=20463.8400,=25345.8400,=6184682297180.0410,=5517767448504,=2687556830424.9771,=3.2587,=0.3508,=4.2564,=3.4142,=3.0315
2022-04-22,=21329.8800,=26418.4900,=6430417495999.5908,=5751721981645,=2799492741890.0137,=3.4684,=0.5366,=4.2566,=3.4143,=3.0314
2022-04-21,=21392.1900,=26492.5200,=6443703084428.5586,=5761895171602,=2804104791498.7100,=3.5321,=0.5751,=4.2566,=3.4142,=3.0314
2022-04-20,=21838.5100,=27045.2500,=6555886180549.0215,=5852498771904,=2853299158597.4307,=3.6653,=0.6260,=4.2566,=3.4142,=3.0314
2022-04-19,=21722.7300,=26901.8700,=6516381635723.0693,=5814107057447,=2839446854046.6592,=3.6567,=0.6243,=4.2566,=3.4139,=3.0314
2022-04-18,=21754.7000,=26941.4700,=6528556545525.5508,=5832245707499,=2844884866563.9399,=3.6343,=0.6165,=4.2566,=3.4136,=3.0314
2022-04-15,=21618.1900,=26772.4000,=6529692888428.3711,=5831847069817,=2845208761689.6299,=3.5838,=0.5986,=4.2567,=3.4136,=3.0313
2022-04-14,=21701.9700,=26876.1600,=6548765478959.9414,=5855619607515,=2855023242519.7002,=3.5762,=0.5963,=4.2567,=3.4136,=3.0313
2022-04-13,=20932.5200,=25923.2600,=6329941850893.6904,=5654132139159,=2762352741122.3198,=3.4888,=0.5491,=4.2567,=3.4133,=3.0313
2022-04-12,=21124.6000,=26152.9500,=6379665179621.0596,=5694166089707,=2786870234439.0903,=3.5171,=0.5657,=4.2567,=3.4130,=3.0313
2022-04-11,=20336.0300,=25176.6800,=6138524533730.1592,=5465138292054,=2683853710271.5308,=3.4333,=0.5163,=4.2567,=3.4122,=3.0313
2022-04-08,=20694.1400,=25620.0300,=6293094745136.1104,=5622793675994,=2749190581247.5005,=3.4763,=0.5419,=4.2591,=3.4114,=3.0302
2022-04-07,=20807.8100,=25760.7500,=6302027076318.7285,=5620549265582,=2749520127010.4307,=3.5286,=0.5730,=4.2591,=3.4113,=3.0302
2022-04-06,=21062.0200,=26075.4700,=6351101916185.3105,=5653910354128,=2771080465776.0103,=3.6038,=0.6055,=4.2591,=3.4112,=3.0302
2022-04-01,=21302.0700,=26371.7600,=6421234132766.8291,=5713015975815,=2797868201945.3311,=3.6147,=0.6089,=4.2591,=3.4110,=3.0302
2022-03-31,=20971.9900,=25963.1300,=6283091606073.5488,=5582507146936,=2736866330227.2305,=3.5970,=0.6049,=4.2591,=3.4109,=3.0302
2022-03-30,=21117.1900,=26142.8800,=6330049558723.3311,=5622423781700,=2756520496786.5493,=3.6223,=0.6122,=4.2600,=3.4108,=3.0300
2022-03-29,=20478.2900,=25351.9300,=6120139118503.4688,=5425321752165,=2665307493388.0903,=3.5497,=0.5853,=4.2600,=3.4108,=3.0300
2022-03-28,=20444.4800,=25310.0700,=6124398826966.9707,=5431140450268,=2663298186788.0903,=3.5427,=0.5813,=4.2600,=3.4106,=3.0300
2022-03-25,=20788.0700,=25735.4400,=6232384345296.2197,=5545948363242,=2709962236219.0698,=3.5667,=0.5924,=4.2600,=3.4104,=3.0300
2022-03-24,=21137.4600,=26167.9700,=6343669501873.8809,=5653247848371,=2758641190625.3101,=3.5651,=0.5917,=4.2600,=3.4103,=3.0300
2022-03-23,=21457.5600,=26564.2600,=6451462641548.4004,=5750011256761,=2796658195911.9502,=3.6010,=0.6051,=4.2600,=3.4103,=3.0296
2022-03-22,=21325.5300,=26400.8100,=6361259395160.7998,=5661628606879,=2757305541793.8491,=3.5932,=0.6021,=4.2600,=3.4101,=3.0296
2022-03-21,=21346.7000,=26427.0100,=6386119975102.3896,=5683948007262,=2764162107195.4404,=3.5880,=0.6003,=4.2600,=3.4099,=3.0296
2022-03-18,=21327.7800,=26403.5900,=6393676077158.4600,=5696605374825,=2767442609174.6504,=3.5405,=0.5814,=4.2600,=3.4097,=3.0296
2022-03-17,=21227.0800,=26278.9200,=6394523651658.6006,=5702813973102,=2761189677621.3809,=3.5019,=0.5606,=4.2600,=3.4095,=3.0296
2022-03-16,=20603.5100,=25506.9400,=6211702665426.2598,=5538817474072,=2683924776533.2085,=3.4419,=0.5238,=4.2611,=3.4093,=3.0294
2022-03-15,=20007.1400,=24768.6500,=6009079664944.0107,=5350034663796,=2592408554907.5605,=3.3617,=0.4511,=4.2611,=3.4091,=3.0294
2022-03-14,=21133.5000,=26163.0700,=6344370599273.7803,=5650579110224,=2740658786809.5698,=3.5839,=0.5984,=4.2611,=3.4093,=3.0294
2022-03-11,=22096.3000,=27355,=6628640202767.7803,=5901347725238,=2859295601737.0293,=3.7058,=0.6342,=4.2611,=3.4091,=3.0294
2022-03-10,=21948.1000,=27171.5400,=6636432958092.1699,=5918408312434,=2857299729567.5200,=3.6260,=0.6114,=4.2611,=3.4089,=3.0294
2022-03-09,=21464.7000,=26573.0900,=6503636116351.8984,=5791821379219,=2803093293820.8711,=3.5934,=0.6019,=4.2624,=3.4087,=3.0292
2022-03-08,=21588.9800,=26726.9600,=6511279901030.7998,=5797313347174,=2804100417645.0698,=3.6762,=0.6254,=4.2624,=3.4086,=3.0292
2022-03-07,=22017.6500,=27257.6500,=6550338572382.2090,=5816158137169,=2818764910624.8989,=3.8261,=0.6718,=4.2624,=3.4085,=3.0292
2022-03-04,=22926.6400,=28382.9700,=6832346774660.8711,=6070609636899,=2936679707569.9404,=3.9500,=0.7048,=4.2624,=3.4085,=3.0292
2022-03-03,=23019.7700,=28498.2600,=6882363491158.4668,=6120274423344,=2957931465928.9180,=3.9519,=0.7060,=4.2624,=3.4085,=3.0292
2022-03-02,=23489.2100,=29079.4200,=7036625222989.1104,=6262594789790,=3024435174906.8804,=3.9876,=0.7150,=4.2630,=3.4084,=3.0291
2022-03-01,=23696.9700,=29336.6300,=7102702403339.5801,=6319914841461,=3051935830477.5996,=3.9966,=0.7191,=4.2630,=3.4083,=3.0291
2022-02-28,=23105.3100,=28604.1600,=6905902820012.3594,=6145920154083,=2967916069038.6396,=3.9070,=0.6937,=4.2630,=3.4080,=3.0291
2022-02-25,=23090.8100,=28586.2000,=6903338887638.8379,=6148550223333,=2971385296732.9097,=3.9079,=0.6945,=4.2630,=3.4077,=3.0291
