date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合
2021-08-17,1308597.0980431864,2754404.945423703,2781016.4754047506,5619917.150174003,2599433.1655440633,4178988.000390965,2546082.0760840876
2021-08-18,1322726.784403076,2761501.798222218,2789160.5177991143,5635290.966002062,2615712.271122707,4187221.7619643947,2550741.9925774317
2021-08-19,1313641.0959102588,2771524.533255837,2794018.861209771,5664132.787120168,2630692.8409756348,4191587.756361324,2550965.7656991496
2021-08-20,1289612.687231662,2748690.168570348,2786627.599214239,5676475.864643665,2621540.108047522,4197227.658620809,2548272.570531921
2021-08-23,1308812.0005273554,2780698.796491675,2803126.6782042356,5725120.640290613,2670906.5922876485,4206876.796243188,2552592.4953151694
2021-08-24,1322674.291312393,2809604.915605857,2820442.7055173493,5769130.198181083,2705936.0306296777,4227758.226025241,2564682.6724972697
2021-08-25,1326396.783842273,2804809.60104697,2817364.718028961,5765872.406393357,2709953.2333964743,4221251.859212408,2559934.370379553
2021-08-26,1303703.3341308255,2764078.107174932,2795559.074328672,5725250.290424988,2673814.359109634,4201545.58768626,2545110.145066786
2021-08-27,1307159.1159453928,2772275.0442174654,2804861.993597814,5756197.600954772,2691405.047661668,4221717.801926205,2554812.819752068
2021-08-30,1302343.3589386172,2769494.744861232,2806114.910445476,5760399.067002157,2690088.8251053607,4225943.741102356,2556206.6653338308
2021-08-31,1301796.800939392,2744431.5345732532,2799196.4874746175,5725087.958858295,2664634.438214917,4218465.848635375,2552151.8610313954
2021-09-01,1320461.0283393697,2753770.7168097715,2801789.4971882086,5700782.625519517,2662769.337852261,4209785.694417517,2558058.2380063427
2021-09-02,1319380.6737057262,2735051.3241712446,2800255.2851287546,5705335.83414538,2652423.2119827294,4200130.141909463,2548758.3906964315
2021-09-03,1312163.686089991,2734499.486471424,2796696.5859621717,5685561.004983032,2636322.346155119,4191476.588588068,2548866.749678934
2021-09-06,1334562.5737642231,2773830.8494803617,2816342.996158161,5728036.129565305,2676295.828156103,4217370.20881809,2568950.2875409047
2021-09-07,1351358.0989796098,2787733.044783688,2827383.6383426012,5778541.22832079,2708741.6451071505,4230704.833424983,2573374.159802747
2021-09-08,1345741.825901272,2765894.456182421,2815740.68391108,5774801.414688989,2698905.3952418542,4212324.376209831,2557624.9271420855
2021-09-09,1345194.8742467219,2761347.502055125,2814216.06489595,5786744.550752245,2701234.1761374604,4210008.017920116,2553577.3265701453
