日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2012-03-13,=6403.4700,,=1285978255615.8994,=1047235823069,=516646048291.8800,=34.8694,=0.0887,=57.4550,=50.7519,=41.6148
2012-03-12,=6301.8000,,=1268055654864.9004,=1031890192595,=508660963259.5602,=34.3930,=0.0873,=57.4550,=50.7658,=41.6371
2012-03-09,=6268.7570,,=1261583364253.6001,=1025989845057,=505958298299.6401,=34.0167,=0.0844,=57.5613,=50.7797,=41.6371
2012-03-08,=6110.4810,,=1228453900809.3000,=998488878713,=492805006992.2100,=33.2553,=0.0691,=57.5613,=50.8032,=41.6912
2012-03-07,=6049.3120,,=1217771851167.7998,=989505960799,=487906485210.0200,=32.7312,=0.0569,=57.5613,=50.8267,=41.7415
2012-03-06,=6064.5200,,=1224547807740.3999,=995355558461,=489893632240.6098,=32.8948,=0.0616,=57.5613,=50.8574,=41.8107
2012-03-05,=6136.2770,,=1240124211343.0005,=1007807086075,=495757779711.1799,=33.5616,=0.0694,=57.5613,=50.8881,=41.9329
2012-03-02,=6143.6350,,=1243481079128.1001,=1010130059690,=496548252938.0400,=33.5048,=0.0665,=57.5857,=50.8893,=41.9329
2012-03-01,=6091.4240,,=1236335155362.1001,=1004794651023,=493039527102.1801,=33.0720,=0.0635,=57.5857,=50.8904,=42.0978
2012-02-29,=6103.6940,,=1239960809003.1001,=1008453389390,=494130461318.6400,=33.2016,=0.0636,=57.5857,=50.8974,=42.1440
2012-02-28,=6109.0330,,=1236865958892.6001,=1005386516531,=493555155687.2199,=33.9772,=0.0730,=57.5857,=50.9044,=42.1476
2012-02-27,=6062.9800,,=1227646798780.3999,=997101667924,=489349812286.9098,=33.9069,=0.0715,=57.5857,=50.9195,=42.1621
2012-02-24,=6041.5920,,=1224284001249.7000,=994184488858,=487845023574.2899,=33.7088,=0.0685,=57.6146,=50.9347,=42.1621
2012-02-23,=5976.8390,,=1209787449197.2002,=954619749058,=482067652562.3699,=32.8483,=0.0593,=57.6146,=50.9554,=42.1949
2012-02-22,=5924.5750,,=1199160242359.9004,=947025533543,=477870281180.5201,=32.6299,=0.0563,=57.6146,=50.9762,=42.2145
2012-02-21,=5851.7950,,=1185327306989.6001,=936716087026,=472507627761.8599,=32.1485,=0.0516,=57.6146,=51.0467,=42.2369
