日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率等权,股息率 分位点,股息率 80%分位点值,股息率 50%分位点值,股息率 20%分位点值
2018-11-07,=9598.4400,=11367.6400,=2112487392824.5000,=1979278391658,=897126424211.9802,=0.0188,=0.9974,=0.0141,=0.0108,=0.0056
2018-11-06,=9578.5000,=11344.0100,=2108259445435.8000,=1976084967825,=895596896461.2900,=0.0189,=0.9982,=0.0141,=0.0108,=0.0056
2018-11-05,=9656.1600,=11435.9900,=2128848799431.6001,=1997456063860,=904456891221.7000,=0.0188,=0.9982,=0.0141,=0.0108,=0.0056
2018-11-02,=9850.4400,=11666.0800,=2182694896617.3999,=2050331946673,=926238524492.9095,=0.0187,=0.9982,=0.0141,=0.0108,=0.0056
2018-11-01,=9333.8200,=11054.2400,=2064574247158.1003,=1938469068796,=876304343900.9000,=0.0195,=0.9996,=0.0141,=0.0108,=0.0056
2018-10-31,=9183.7400,=10876.5000,=2027553432670.3999,=1903531684441,=861104229134.5300,=0.0196,=1,=0.0141,=0.0108,=0.0056
2018-10-30,=8890.2400,=10528.9000,=1952900662700.7000,=1831420978890,=832312009087.5598,=0.0191,=0.9996,=0.0141,=0.0108,=0.0056
2018-10-29,=8947.8300,=10597.1000,=1985386479805.3000,=1864214776924,=844450579941.8700,=0.0192,=1,=0.0141,=0.0108,=0.0056
2018-10-26,=9678.9800,=11463.0200,=2162290341322.3000,=2034282846291,=915950467434.1704,=0.0181,=1,=0.0141,=0.0108,=0.0056
2018-10-25,=9926.0600,=11755.6400,=2213542925226.2998,=2082668303522,=937761705950,=0.0178,=0.9996,=0.0141,=0.0108,=0.0056
2018-10-24,=10111.2300,=11974.9400,=2261017683057.5000,=2128778126737,=957146147924.2700,=0.0176,=0.9996,=0.0141,=0.0108,=0.0056
2018-10-23,=10396.6300,=12312.9500,=2307683106078.3999,=2173273207383,=981036059254.4100,=0.0172,=0.9934,=0.0141,=0.0108,=0.0056
2018-10-22,=10977.1800,=13000.5000,=2451614788383.6001,=2309945775316,=1039601854700.1340,=0.0165,=0.9810,=0.0141,=0.0108,=0.0056
2018-10-19,=10484.0900,=12416.5200,=2351979019607.6001,=2216240391036,=995454276848.6228,=0.0173,=0.9951,=0.0141,=0.0108,=0.0056
2018-10-18,=10111.7100,=11975.5000,=2268971731521.0005,=2137799302252,=959698727786.3564,=0.0178,=1,=0.0141,=0.0108,=0.0056
2018-10-17,=10335.5400,=12240.6000,=2321734461965.6997,=2186955522310,=982123554702.7766,=0.0175,=0.9991,=0.0141,=0.0108,=0.0056
2018-10-16,=10424.0800,=12345.4600,=2337242610369.1001,=2202135870428,=990007908926.5812,=0.0174,=0.9973,=0.0141,=0.0108,=0.0056
2018-10-15,=10477.2800,=12408.4600,=2346083602254.2998,=2209592275552,=994211109569.3004,=0.0172,=0.9929,=0.0141,=0.0108,=0.0056
2018-10-12,=10668.3700,=12634.7800,=2384230680398,=2245536374531,=1009100090504.2892,=0.0168,=0.9898,=0.0141,=0.0108,=0.0056
2018-10-11,=10391.4700,=12306.8300,=2319843394698.0996,=2183236372093,=981068377281.9856,=0.0171,=0.9911,=0.0141,=0.0108,=0.0056
2018-10-10,=10802.2700,=12793.3500,=2412006922011.4995,=2269760953534,=1019783779430.7932,=0.0162,=0.9796,=0.0141,=0.0108,=0.0056
2018-10-09,=11039.4600,=13074.2600,=2472995327159.1011,=2328510193530,=1044203737505.2880,=0.0160,=0.9725,=0.0141,=0.0108,=0.0056
2018-10-08,=10968.4500,=12990.1700,=2457626282158.4004,=2312369403819,=1035902806761.8944,=0.0160,=0.9733,=0.0141,=0.0108,=0.0056
2018-09-28,=11551.7000,=13680.9100,=2593681065400.8999,=2444045411037,=1093353629441.7303,=0.0154,=0.9356,=0.0141,=0.0108,=0.0056
2018-09-27,=11437.4700,=13545.6300,=2570966314445.5005,=2422970674779,=1082869577537.3424,=0.0155,=0.9489,=0.0141,=0.0108,=0.0056
2018-09-26,=11447.8500,=13557.9300,=2573142982194,=2424360707402,=1083970015087.6410,=0.0154,=0.9399,=0.0141,=0.0108,=0.0056
2018-09-25,=11138.2100,=13191.2200,=2495449996300,=2351941284073,=1052509946337.9399,=0.0158,=0.9644,=0.0141,=0.0108,=0.0056
2018-09-21,=11222.2200,=13290.7100,=2511962764000.8999,=2368544901740,=1059677282604.2838,=0.0158,=0.9644,=0.0141,=0.0107,=0.0056
2018-09-20,=10842.8000,=12841.3500,=2425466437040.0996,=2286323918099,=1024409851061.4884,=0.0162,=0.9813,=0.0141,=0.0107,=0.0056
2018-09-19,=10838.5500,=12836.3200,=2426938674787.7002,=2287018032090,=1024622936978.9744,=0.0162,=0.9813,=0.0141,=0.0107,=0.0056
2018-09-18,=10614.4000,=12570.8600,=2374484641229.1011,=2238572390279,=1003355997414.9700,=0.0165,=0.9848,=0.0141,=0.0107,=0.0056
2018-09-17,=10382.9800,=12296.7800,=2317367932897.3989,=2183904356731,=979600462124.7672,=0.0168,=0.9902,=0.0141,=0.0107,=0.0056
2018-09-14,=10406.3800,=12324.4900,=2320015756718.8999,=2184772009136,=980712526834.1294,=0.0166,=0.9875,=0.0141,=0.0107,=0.0056
2018-09-13,=10284.0800,=12179.6600,=2290676154241.6001,=2153886468400,=968468592281.5374,=0.0167,=0.9888,=0.0141,=0.0107,=0.0056
2018-09-12,=10236.8800,=12123.7500,=2282295459750.6001,=2144957600632,=964054057067.1752,=0.0168,=0.9902,=0.0140,=0.0107,=0.0056
2018-09-11,=10418.1000,=12338.3700,=2324755205476.3999,=2185429136532,=982410380655.6340,=0.0166,=0.9879,=0.0140,=0.0107,=0.0056
2018-09-10,=10378.3600,=12291.3100,=2317727361096.8008,=2179106999620,=978721304621.0439,=0.0166,=0.9884,=0.0140,=0.0107,=0.0056
2018-09-07,=10474.6700,=12405.3700,=2340950455218.2998,=2201016952694,=987683623937.5752,=0.0164,=0.9861,=0.0140,=0.0107,=0.0056
