date,net_value,turnover
2022-04-19,4.3000236,0.28996044
2022-04-20,4.302808,0.29185846
2022-04-21,4.277737,0.38723397
2022-04-22,4.2719,0.31337482
2022-04-25,4.2856274,0.19336429
2022-04-26,4.280225,0.1956365
2022-04-27,4.299407,0.07920621
2022-04-28,4.299122,0.06015774
2022-04-29,4.286561,0.06015774
2022-05-05,4.2898936,0.0
2022-05-06,4.304612,0.032077245
2022-05-09,4.308703,0.015495172
2022-05-10,4.326468,0.66007864
2022-05-11,4.322802,0.4931095
2022-05-12,4.3099065,0.09515208
2022-05-13,4.3217916,0.027495394
2022-05-16,4.3001604,0.5979955
2022-05-17,4.301035,0.745584
2022-05-18,4.314477,0.5563869
2022-05-19,4.3149037,0.24511808
2022-05-20,4.2370424,1.0092541
2022-05-23,4.2417445,1.2041249
2022-05-24,4.2535233,0.21172115
2022-05-25,4.255072,0.94987583
2022-05-26,4.25243,0.49740142
2022-05-27,4.3198013,0.91561615
2022-05-30,4.3054104,0.50696784
2022-05-31,4.366634,0.50612515
2022-06-01,4.407976,0.9463803
2022-06-02,4.42026,0.3927017
2022-06-06,4.453024,0.49372137
2022-06-07,4.3805223,0.3912295
2022-06-08,4.4465246,0.31880683
2022-06-09,4.4147997,0.16527346
2022-06-10,4.4083276,0.35378855
2022-06-13,4.399629,1.3917545
2022-06-14,4.44327,1.3154185
2022-06-15,4.463944,0.37203652
2022-06-16,4.4973683,0.2994635
2022-06-17,4.4600716,0.30757004
2022-06-20,4.4423513,1.5577286
2022-06-21,4.494759,1.1460774
2022-06-22,4.49294,0.9615958
2022-06-23,4.561052,1.3630944
2022-06-24,4.689404,0.025771417
2022-06-27,4.5972395,0.13123974
2022-06-28,4.7197084,0.17154068
2022-06-29,4.6895065,0.8523011
2022-06-30,4.6971927,0.23495091
2022-07-01,4.691522,1.3173666
2022-07-04,4.6376066,0.62393105
2022-07-05,4.590639,0.631207
2022-07-06,4.5819836,0.2247906
2022-07-07,4.5730443,0.0
2022-07-08,4.5630717,0.0
2022-07-11,4.539618,0.0
2022-07-12,4.543971,0.0
2022-07-13,4.5123425,0.0
2022-07-14,4.5286136,0.0
2022-07-15,4.51813,0.0
2022-07-18,4.5234647,0.0
2022-07-19,4.492333,0.0
2022-07-20,4.5451612,0.0
2022-07-21,4.55605,0.0
2022-07-22,4.565627,0.0
2022-07-25,4.555038,0.0026489086
2022-07-26,4.6026325,0.52473736
2022-07-27,4.646276,0.47921732
2022-07-28,4.6647778,0.57220423
2022-07-29,4.671638,0.18778884
2022-08-01,4.693501,0.7817468
2022-08-02,4.73787,0.2944207
2022-08-03,4.881871,0.09336605
2022-08-04,4.849003,0.41796622
2022-08-05,4.881931,0.7981436
2022-08-08,4.848803,0.48861623
2022-08-09,4.8935213,0.2721191
2022-08-10,4.8735456,0.41467395
2022-08-11,4.8641086,1.656188
2022-08-12,4.8553715,0.3840395
2022-08-15,4.8644924,0.8161751
2022-08-16,4.8561373,0.20316009
2022-08-17,4.792182,0.847949
2022-08-18,4.783367,1.7118793
2022-08-19,4.789099,0.33570898
2022-08-22,4.785266,0.24278677
2022-08-23,4.7952967,0.49573523
2022-08-24,4.791815,0.5941309
2022-08-25,4.7722354,0.48180068
2022-08-26,4.7796197,0.21995386
2022-08-29,4.7642217,0.42662013
2022-08-30,4.7480855,0.12876175
2022-08-31,4.7509584,0.34526592
2022-09-01,4.770952,0.40829986
2022-09-02,4.784467,0.054682516
2022-09-05,4.7705297,0.04006006
2022-09-06,4.786153,0.015112087
2022-09-07,4.7835383,0.22850126
2022-09-08,4.7826,0.22366029
2022-09-09,4.7630343,1.1394063
2022-09-13,4.748289,1.1201669
2022-09-14,4.729818,0.36234674
2022-09-15,4.737169,0.024298044
2022-09-16,4.750683,0.018415257
2022-09-19,4.750572,0.34234017
2022-09-20,4.7455525,0.07199393
2022-09-21,4.746532,0.23097472
2022-09-22,4.7143764,0.13489366
2022-09-23,4.728745,0.2434904
2022-09-26,4.722491,0.14018512
2022-09-27,4.7217016,0.26738268
2022-09-28,4.7196054,0.2727778
2022-09-29,4.7156167,0.3999886
2022-09-30,4.7143784,0.11497767
2022-10-10,4.7346363,0.09218924
2022-10-11,4.7368646,0.2281141
2022-10-12,4.7530894,0.30860516
2022-10-13,4.745811,0.024092037
2022-10-14,4.7434235,0.7175646
2022-10-17,4.733385,0.85946
2022-10-18,4.7233224,0.049176827
2022-10-19,4.7202487,0.41764313
2022-10-20,4.755404,0.11417337
2022-10-21,4.7608247,0.11704691
2022-10-24,4.772836,0.03454391
2022-10-25,4.7661786,0.79318905
2022-10-26,4.7446666,0.35291094
2022-10-27,4.765343,0.1454943
2022-10-28,4.792807,0.27751285
2022-10-31,4.809013,0.43202776
2022-11-01,4.813088,1.3981028
2022-11-02,4.816503,0.6742068
2022-11-03,4.833727,0.014057081
2022-11-04,4.830967,0.8059708
2022-11-07,4.8814282,0.64815307
2022-11-08,4.8681912,0.03948325
2022-11-09,4.870897,0.5039002
2022-11-10,4.8424187,0.08658478
2022-11-11,4.9584937,1.6337454
2022-11-14,4.916599,0.16050106
2022-11-15,4.924947,0.36920166
2022-11-16,4.914453,1.1501791
2022-11-17,4.912001,0.14160597
2022-11-18,4.8805423,0.7127961
2022-11-21,4.8830504,1.1458019
2022-11-22,4.894474,0.12703943
2022-11-23,4.891402,0.046867967
2022-11-24,4.8814387,0.006283533
2022-11-25,4.915887,0.77204144
2022-11-28,4.914703,0.7839267
2022-11-29,4.939395,0.87326354
2022-11-30,4.9426074,0.73597014
2022-12-01,4.964074,1.2054726
2022-12-02,4.9552555,0.8978181
2022-12-05,4.9526196,0.12262317
2022-12-06,4.9632325,0.6229294
2022-12-07,4.9712415,0.0
2022-12-08,4.9695086,0.0
2022-12-09,4.966153,0.0
2022-12-12,4.9965987,0.06385564
2022-12-13,4.9798837,0.06385564
2022-12-14,4.9676104,0.0009733299
2022-12-15,4.981474,0.039398562
2022-12-16,4.977049,0.04037189
2022-12-19,4.9993424,0.0
2022-12-20,4.9985476,0.0
2022-12-21,4.979269,0.13490534
2022-12-22,4.9839435,0.010299781
2022-12-23,4.991854,0.14176804
2022-12-26,4.9917216,0.05932198
2022-12-27,4.990858,0.08034743
