date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2018-05-08,1043867.2178922947,2149786.1717571327,2142414.2504282226,4562850.169823662,2213017.1379442103,3029304.7941216864,1986755.7045247634,2724986.5607013726,2748549.941661587
2018-05-09,1040898.207236312,2143737.115573211,2137526.256393091,4548852.596704841,2207164.7992364005,3022118.0266904454,1981880.3021638605,2717307.386179774,2740642.842532526
2018-05-10,1047880.9954357882,2153696.5313089658,2140143.748456202,4553847.231062672,2222639.3053216683,3030420.84233421,1986119.762018752,2730349.2383395075,2753650.7596969097
2018-05-11,1041684.4440171156,2144368.2611103896,2137490.496288876,4538181.925871325,2211691.7796446295,3024217.7577887364,1981936.4818234774,2718647.164643166,2741319.3891449184
2018-05-14,1050818.7705990989,2151594.781276903,2136346.9228023128,4516227.691782556,2231247.0727336127,3031383.091410843,1982790.5958497126,2729106.488806448,2750722.329528873
2018-05-15,1054842.7152898682,2158870.3458188437,2139278.276848848,4542130.901098909,2235290.2454009443,3036051.8506063097,1986916.4470916276,2738315.2147248187,2761563.3272459926
2018-05-16,1046225.6807463075,2150828.075504588,2133248.022971915,4538599.238625618,2222570.669642722,3026659.538902453,1981332.115447165,2729206.5072684214,2753565.1570145227
2018-05-17,1037339.8651570558,2141811.276154958,2128647.975785918,4526472.256412158,2211000.488411735,3018848.446745207,1976230.6708028403,2718687.287438449,2743183.0534072053
2018-05-18,1048625.470985227,2150219.7169090877,2132619.836773253,4540819.949522969,2220795.0852389745,3026406.0496757505,1980891.1229511187,2728628.3182006585,2753202.5183662213
2018-05-21,1053725.0664027524,2158914.1172171016,2136467.6050492697,4568497.664339932,2226737.078090062,3031716.577933625,1985815.0891154879,2739038.3432699563,2765221.318569631
2018-05-22,1049411.4986763033,2163431.6871121475,2140818.45399164,4582267.393568016,2230028.548897883,3036487.251905687,1990000.216144881,2744938.999688788,2771955.7289272533
2018-05-23,1035685.048270165,2142857.609622193,2132605.379931529,4551920.648705407,2204528.663943521,3018845.6877415893,1979169.5855153254,2718519.7933499445,2742550.7679504543
2018-05-24,1027337.6568949204,2135184.820984522,2133550.027863739,4550179.32168479,2191934.8720920403,3014013.0379804764,1977711.7117147322,2707899.572378567,2729814.177538554
2018-05-25,1024907.0360185169,2132344.360250674,2133433.0280898414,4518510.598540241,2197245.3546917904,3017243.0023281095,1976720.0771007075,2705764.31538217,2725618.2678995472
2018-05-28,1031351.2815317702,2146126.586195855,2141868.158054735,4524803.406335136,2218874.8384589134,3037490.756954488,1986352.492904363,2726234.916981453,2747706.3402763535
2018-05-29,1021659.5254562874,2134080.7259762553,2138533.7554816776,4498041.105457303,2206867.002817531,3030238.1488783476,1980947.147678046,2711425.899995984,2730319.7100872537
2018-05-30,1002286.5350272878,2122006.364618826,2135349.4933802173,4450134.479878347,2201726.2772764023,3027577.7618290978,1975948.392496239,2699517.398094797,2714207.4964536726
2018-05-31,1022714.9541077565,2157659.097926849,2150644.5569871124,4476192.8963865675,2254784.8252925174,3064345.4107040768,1995462.9078787323,2747391.219949713,2763464.878540657
2018-06-01,1015712.8047585165,2143079.880498639,2143176.055367538,4439082.103142386,2230237.2901925077,3053382.932048713,1986600.010867118,2728036.072275536,2744249.5442557367
2018-06-04,1025652.7874896348,2149060.7580864984,2142993.830110217,4456854.693322464,2245251.449858183,3059322.7321005636,1988341.0167489161,2737809.8853435004,2753958.6180446343
2018-06-05,1034247.984465467,2159740.9297235804,2145169.1526798657,4472386.476132845,2266322.883393101,3064671.9625729113,1992516.801347779,2751689.986169309,2767673.020710377
2018-06-06,1032355.3174408033,2157757.572627712,2145314.176396771,4465663.000660294,2261433.1606288594,3064221.92677341,1991995.7704186863,2748639.9799560932,2764397.365954241
2018-06-07,1032076.1632606947,2149919.6384168803,2140310.756347507,4439909.098339815,2249813.1092654914,3060794.32417516,1986373.6184120232,2738223.2227352196,2753463.5933234603
2018-06-08,1018351.5199475717,2131763.6077699466,2131533.1153260465,4399591.03524682,2219343.920925329,3044442.200520726,1975591.2692668457,2713599.766131065,2728788.30803113
