date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合
2017-08-08,1019326.7369561329,2043861.977659324,2054544.675579864,4647101.695825253,2046692.1259102996,2676770.814112805,1810298.0356893716
2017-08-09,1018508.2766599105,2060791.7811165764,2069585.2683839463,4702784.785001691,2067558.3106836388,2694954.92538871,1821139.982183251
2017-08-10,1016342.599338838,2062348.9431442574,2073083.8668645583,4710366.209449316,2064099.1299529609,2708829.564218557,1827823.6387397808
2017-08-11,996932.5517943628,2029730.3429212682,2044582.3093268287,4593537.31697643,2017084.5135274401,2686145.0229362333,1814182.6724044415
2017-08-14,1009316.9581803516,2060309.0114894735,2071366.1304713723,4687885.039002394,2058349.429435907,2709329.9203129034,1829774.8519921498
2017-08-15,1012001.3310153979,2063472.8331872113,2072881.9532414286,4717937.82165764,2067553.4021471166,2706309.3870473504,1826138.1654544494
2017-08-16,1010374.6757749006,2069035.0125830874,2077041.256300344,4746640.024478902,2076762.7739680975,2709877.220014794,1827206.657934645
2017-08-17,1018178.216375935,2077287.9347665661,2086480.0141604461,4737572.267513165,2080986.669733135,2722233.566960297,1838781.3744384663
2017-08-18,1018706.9765904393,2071720.0706698257,2082133.49807416,4719921.520572441,2072813.5437893984,2719258.375430572,1836604.7235954246
2017-08-21,1023007.71713728,2082658.0597425331,2090712.1228317616,4756283.630479774,2090173.7964487786,2722692.6594840484,1839479.0281976967
2017-08-22,1024614.1198189673,2076394.0187932071,2085369.8608047883,4739866.725210952,2082569.0834936807,2716792.6348562716,1835338.3743296494
2017-08-23,1027298.1809227739,2072235.4478314577,2082605.5030798677,4738442.1595921945,2076773.2136847253,2716930.210169766,1833381.020730767
2017-08-24,1021899.5909363859,2062264.8969786388,2073826.2522825513,4709477.549421707,2063216.1603974826,2709961.5686044875,1828335.9961398693
2017-08-25,1039670.9908769437,2078495.4590394627,2089086.398889837,4760500.380499049,2085384.6231583501,2722051.499722306,1836419.1345304449
2017-08-28,1051514.9196447378,2092187.642247346,2102566.320051918,4785004.975351666,2100432.0515875556,2735398.0629661605,1847132.448829716
2017-08-29,1049349.1921876003,2095541.9914482136,2107925.382316854,4782581.289987616,2097335.4501495864,2751076.852786915,1856915.4616102432
2017-08-30,1048261.144809517,2094578.4881532977,2103954.250370691,4789005.871451671,2104080.45514173,2735358.8138117488,1847870.9519498076
2017-08-31,1046364.8990778833,2093217.0206665988,2101975.3905716627,4778223.838212876,2103291.4847998316,2730368.359257651,1846059.9919214665
