date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,SASF硬切换,PPO原生日频
2024-09-23,869538.4748279125,1988028.8573543732,2638285.0225836453,2865807.896019878,2159045.179411611,2960604.770762978,2577657.2410715404,2209342.2766853278,3266765.7819986357,2265964.673698172
2024-09-24,907669.8242004898,2051363.0697616558,2679383.5601148345,2915990.3502511634,2186253.265547251,3007402.527156238,2612661.059506682,2273908.4367201957,3362234.2499235785,2334196.571450225
2024-09-25,920109.1655381998,2064464.8056925824,2693789.3978759926,2928033.296389195,2204029.7021774794,3023435.27887302,2626118.638638985,2288351.858168176,3383590.503981251,2349041.518829321
2024-09-26,964066.1058301319,2147425.2170950463,2748550.6622619173,3002618.6988318637,2238501.399352088,3090619.6506328285,2669125.9370087394,2373187.6199210393,3509029.9012664165,2438361.2765856585
2024-09-27,1024707.9532853061,2265596.60786,2815764.8163339994,3077182.8581328723,2273678.7734205103,3154602.0129995355,2733815.3530129627,2492728.5360515877,3685784.8470640993,2563296.374984114
2024-09-30,1121103.4983087075,2453489.1718964446,2930083.163348582,3209637.4844041513,2341929.0388566745,3260360.142506881,2817139.2422324326,2684006.3755088258,3968611.0561977113,2760227.032674847
2024-10-08,1168500.2492001713,2585919.513476957,2979613.540827245,3231283.019375508,2531209.7728267484,3310546.650514367,2866310.599516187,2819246.366718052,4168578.8838640177,2899332.619839463
2024-10-09,1065198.7437018717,2512528.489755911,2943627.757487949,3178854.5547469347,2413096.7249291586,3219877.014187259,2816421.04874456,2743139.081432632,4056045.5394588085,2821081.2810025746
2024-10-10,1082138.1313999447,2491319.609100166,2948051.295570409,3195244.4888633993,2379620.004603106,3233067.92657109,2811153.497911399,2722949.4084224924,4026192.793854259,2800702.6615998857
2024-10-11,1053259.7854467616,2412309.092031115,2919622.281599932,3178084.2934918054,2309245.0110885617,3199608.197423823,2772880.4606006164,2642543.2567615965,3907303.0827941475,2718694.912946886
2024-10-14,1069934.1155415685,2453389.778347242,2940348.3553554644,3193875.6325233146,2348067.5014984384,3226575.39273774,2801638.6537955347,2685861.361847103,3971353.8661099225,2763157.11396877
2024-10-15,1041056.4668103657,2407810.4920729664,2922850.95882944,3179227.2150572618,2304414.370222057,3199346.225935168,2779644.1736409934,2638905.271697385,3901923.904905505,2715393.31175349
2024-10-16,1034425.326945986,2388767.137399891,2920444.8904684386,3182206.4924539146,2292077.659751972,3201422.035307639,2781786.2267065016,2620378.496902871,3874529.9449074576,2696323.677260852
2024-10-17,1023027.3819792432,2380055.387880494,2919234.226254451,3179759.8756247927,2288841.958212833,3194746.302092077,2778560.4787077527,2611600.2207250255,3861550.257447829,2687379.721843991
2024-10-18,1063535.7908692933,2496227.8364083455,2966449.119432692,3205962.847003522,2418943.453500108,3242835.626395616,2827276.0448562265,2731601.697477632,4038986.1949128304,2812072.95376402
2024-10-21,1063525.239918987,2525632.672726408,2982245.8588593765,3215522.9933761363,2436049.852003528,3253658.225579581,2844739.115995551,2762954.6882400964,4085345.185308743,2844802.401138441
2024-10-22,1069870.417598765,2525266.6629463728,2982317.9706816515,3219611.0405942146,2430542.1726035257,3260875.0200898335,2850400.0149625763,2762647.8738874323,4084891.525122503,2844196.7644060263
2024-10-23,1073832.0949593903,2526175.813703722,2982390.2834315742,3221728.747627576,2434722.7260089433,3264894.3343637474,2852353.2722298508,2763869.882394402,4086698.404761753,2844959.946816435
2024-10-24,1062169.502978324,2508051.7537128692,2970447.4355892036,3209418.435991797,2415345.5239256835,3248497.297391196,2839761.3237187252,2744339.6958493004,4057820.785483446,2825092.981749422
2024-10-25,1069838.5755516386,2527110.2314617885,2977443.147670936,3215308.0002389266,2434051.5506066754,3260099.006836661,2853207.0806180695,2763896.731032495,4086738.1035504555,2845445.4751419686
2024-10-28,1071416.8312453178,2539377.933933285,2983511.4733701977,3222934.0008396,2433131.1621860606,3267717.664973966,2863929.7843810567,2776701.5142056528,4105671.443104679,2858487.638953954
2024-10-29,1062667.508231912,2524018.3015727913,2982065.080628609,3221758.7686975347,2424766.9032889227,3263695.5208550757,2860362.071330405,2761744.467612879,4083555.7354007824,2843284.6332965726
2024-10-30,1051535.1031131286,2510860.8407542915,2980973.5946476078,3224604.559160632,2410136.3857060107,3264000.215118509,2865737.9236925417,2749045.533774689,4064778.906220333,2830000.490507091
2024-10-31,1051524.6712172644,2523853.635274648,2984255.1577440784,3225030.9347790284,2414822.5491313306,3267450.119207108,2875370.2143780766,2762043.5743302656,4083997.998964847,2843486.815848897
2024-11-01,1053632.6472238682,2498170.7229350824,2975581.569042336,3217290.8045413224,2354250.753230746,3248801.6102136993,2865042.6980415243,2734825.2953890637,4043752.6539006983,2815472.6132848263
2024-11-04,1067656.5072365175,2521211.0803630347,2981259.6331976233,3223900.2036420037,2372508.7847719826,3262221.8477585083,2876590.347768494,2757650.6342472415,4077502.5335509847,2838295.3580945325
2024-11-05,1095449.4702820394,2582959.5372473015,3003467.1232369305,3246613.6606301586,2448167.4308444588,3303323.6242427845,2907712.3784039575,2820865.1239669574,4170972.401991965,2901783.7867870554
2024-11-06,1088553.9795159427,2584206.6864600983,3003607.020681124,3246719.0864552464,2457514.0204923786,3305450.1678433064,2908538.95881494,2822068.895068453,4172752.3155369246,2902780.4751601806
2024-11-07,1124819.4866679546,2642218.500870946,3015425.9453624156,3255354.658259058,2492175.3735585674,3327348.195900817,2920958.570013538,2878489.393376716,4256176.488976121,2957481.038080326
2024-11-08,1110509.774947849,2628798.215711452,3015261.222784153,3256410.937680325,2493578.3855929715,3327154.074359461,2921949.4698688155,2865894.489870408,4237553.480564898,2945247.998029963
2024-11-11,1116059.2504211573,2675419.899462925,3030271.117359499,3267477.442998488,2585037.0328634814,3361338.1767376675,2939980.277265581,2913970.037895912,4308638.68854642,2992705.5036853687
2024-11-12,1103868.1723503657,2640879.709889066,3015542.578970312,3253297.188372548,2528726.505598307,3337995.3175150477,2925479.6369423266,2877152.0191825028,4254199.02794553,2955008.220473257
2024-11-13,1110741.503474663,2645781.965074587,3015949.421529902,3249961.1181768132,2538025.120251747,3339285.9817686863,2922255.5471009654,2881942.808605813,4261282.759208894,2959624.8171753366
2024-11-14,1091931.2835589598,2590065.667197582,2988297.6803904134,3217229.6621398344,2464335.3896033783,3298088.9427082688,2886089.6492700293,2823136.9619164676,4174331.574789237,2899650.7860788484
2024-11-15,1073650.9895674807,2540383.7789649107,2972587.14264397,3200419.304612063,2398272.1798504773,3265821.7724904586,2861257.9030635213,2772519.66936067,4099488.106195147,2849261.051690218
2024-11-18,1069139.2120478463,2518141.530234189,2967887.21347651,3194864.6101093832,2374412.5326257995,3253310.3982550222,2850196.948959554,2751070.0382700246,4067772.3681572448,2828661.7687573126
2024-11-19,1074423.9953646457,2555711.697035236,2987987.739600891,3216542.943128647,2439499.319087634,3283103.149892014,2873396.723914818,2791261.34608471,4127199.823327194,2869844.280485124
2024-11-20,1077061.0051873806,2560812.642893168,2990879.4275222924,3223531.7194252796,2438329.217147166,3287048.571841391,2883093.039912352,2796377.9901888077,4134765.368084255,2875060.9617021848
2024-11-21,1078374.1413528388,2571157.378292589,3001327.6286444427,3233294.3056005584,2461058.6648926907,3298006.789987545,2889890.465914509,2808358.0688881227,4152479.2875495944,2887811.224080395
2024-11-22,1046592.0469378136,2507695.090120234,2984991.7029078933,3212892.510916653,2402738.6723123877,3261776.7185163875,2857140.800702663,2745055.619718691,4058879.360980652,2824141.4768851157
2024-11-25,1040756.9676388613,2488465.647847585,2974144.185236891,3203113.6450830977,2366295.1879698453,3246795.249283563,2848987.0422855816,2723846.0798975914,4027518.6254030676,2802097.709695349
2024-11-26,1038628.5923659395,2478281.141249725,2967682.219466007,3194400.691472294,2345837.609874473,3236583.078655168,2839294.573854769,2712225.9282257473,4010336.8993012323,2789825.3193560564
2024-11-27,1055562.5224928653,2523591.3440760826,2985681.9882807843,3212702.905733838,2408393.451561034,3266146.4170709155,2861165.3751207497,2759386.7708377833,4080069.6104890904,2837945.33314141
2024-11-28,1047874.2695658716,2510327.9117050804,2980838.7546141716,3206114.849949281,2398473.772725499,3259406.235755335,2854406.549990177,2745544.425359499,4059602.1161455223,2823765.1976857614
2024-11-29,1059248.0562999109,2544532.3941674596,2998285.6017752187,3225135.4941369807,2442708.1983677284,3283405.600122754,2874497.8405321515,2781386.4716123813,4112598.689601489,2860436.0152306864
2024-12-02,1067179.922715196,2559017.577152912,3004731.3990452792,3238247.4383271863,2445819.86198376,3288467.563368305,2878952.6436827937,2794747.953023812,4117564.1730970354,2874210.035276945
