日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-07-21,=9881.0218,=10613.5486,=1468884407672.5000,=1117427925221,=682649953661.6615,=113.3747,=0.7309,=119.1773,=99.3761,=92.1041
2020-07-20,=9877.0173,=10609.2472,=1467198015895.5000,=1115731029147,=681977227222.6810,=113.2446,=0.7252,=119.3181,=99.3487,=92.0439
2020-07-17,=9472.5716,=10174.8181,=1415709630783.8000,=1071526800376,=653904755296.8101,=109.2705,=0.6968,=119.3181,=99.3397,=92.0439
2020-07-16,=9582.4729,=10292.3661,=1421794513951.3000,=1085121647364,=661358600268.0936,=109.7401,=0.7045,=119.3181,=99.3306,=92.0439
2020-07-15,=10507.4116,=11285.7082,=1559168309800.1001,=1190258862728,=725102324083.9983,=120.3432,=0.8082,=119.3181,=99.3149,=92.0439
2020-07-14,=11170.1264,=11997.5110,=1662697461616.2998,=1263953769162,=771406985332.2960,=128.3340,=0.8807,=119.1773,=99.2993,=92.0439
2020-07-13,=11317.6872,=12156.0018,=1681164975633.3000,=1281973572563,=781400695547.6782,=129.7594,=0.8940,=119.1773,=99.2954,=92.0350
2020-07-10,=10882.3018,=11688.3669,=1626632868759.3999,=1235794300590,=751856026632.3296,=125.5504,=0.8611,=118.5779,=99.2916,=92.0350
2020-07-09,=10765.9990,=11563.4494,=1609162217506.2002,=1225388950135,=744420634123.1609,=124.2020,=0.8372,=117.9109,=99.1996,=92.0350
2020-07-08,=10338.1511,=11103.9103,=1545886716679.8999,=1179187265321,=714259073373.1202,=119.3181,=0.8178,=117.5855,=99.1077,=92.0350
2020-07-07,=10078.0508,=10823.5928,=1512135159657.8999,=1151165228481,=696627044710.5374,=116.7130,=0.7746,=117.4559,=99.0994,=92.0350
2020-07-06,=9872.8301,=10603.1906,=1483439396908.1001,=1126604968993,=682424430606.9683,=114.4981,=0.7594,=117.5855,=99.0911,=91.8410
2020-07-03,=9127.6300,=9802.8630,=1369349874245,=1041672756119,=630613591632.9738,=105.6922,=0.6682,=117.5855,=99.0836,=91.8410
2020-07-02,=9071.0546,=9742.1023,=1365443958176.6001,=1032709360206,=627025175797.4688,=105.3908,=0.6667,=117.5855,=99.0762,=91.8410
2020-07-01,=8855.4409,=9510.5382,=1339358843568,=1013049144460,=612452172182.1029,=103.3774,=0.6459,=117.5855,=99.0546,=91.8410
2020-06-30,=8733.8305,=9379.9315,=1318654108017.7000,=999943501021,=603822158715.9719,=101.7793,=0.5865,=117.5855,=99.0331,=91.8410
