日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM正数等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2021-11-18,=11970.6347,=12887.3076,=2193366200747.0305,=1835501645149,=1213335301282.1797,=5.6239,=0.2216,=6.9565,=6.2500,=5.5232
2021-11-17,=12113.4097,=13041.0158,=2217625064088.5698,=1858431391828,=1226909419173.9399,=5.6695,=0.2422,=6.9565,=6.2510,=5.5232
2021-11-16,=12068.1142,=12992.2517,=2209153274711.9199,=1852347110783,=1223022521843.5198,=5.6249,=0.2224,=6.9565,=6.2519,=5.5232
2021-11-15,=12250.4721,=13188.5740,=2239916466975.8403,=1882186629906,=1241693684362.1899,=5.7064,=0.2634,=6.9565,=6.2535,=5.5232
2021-11-12,=12505.3167,=13462.9338,=2290652414172.7803,=1923816609020,=1266592819700.2100,=5.7587,=0.2878,=6.9582,=6.2550,=5.5125
2021-11-11,=12540.6930,=13501.0191,=2293827291110.1099,=1930372397102,=1270459752936.9004,=5.7695,=0.2902,=6.9582,=6.2612,=5.5125
2021-11-10,=12271.2572,=13210.9507,=2237536705071.7197,=1886860202711,=1244858226589.4099,=5.6945,=0.2574,=6.9582,=6.2673,=5.5125
2021-11-09,=12257.6886,=13196.3431,=2233604342339.5498,=1882767216255,=1243581123689.4900,=5.6611,=0.2375,=6.9582,=6.2676,=5.5125
2021-11-08,=12005.3236,=12924.6528,=2180398078266.6101,=1844616982932,=1218799802032.4197,=5.4995,=0.1970,=6.9582,=6.2679,=5.5125
2021-11-05,=12173.5036,=13105.7115,=2210045561597.4199,=1867799642792,=1236276240390.0398,=5.6280,=0.2235,=6.9637,=6.2704,=5.5125
2021-11-04,=12156.8753,=13087.8099,=2193528213603.3601,=1863655386287,=1233508403400.3601,=5.5340,=0.2034,=6.9637,=6.2729,=5.5125
2021-11-03,=11966.4522,=12882.8049,=2153645687366.6897,=1837368230814,=1215673963011.3999,=5.4758,=0.1944,=6.9637,=6.2752,=5.5125
2021-11-02,=12076.8160,=13001.6200,=2170576028957.5100,=1853373854456,=1225852561237.6997,=5.4809,=0.1948,=6.9637,=6.2774,=5.5232
2021-11-01,=11816.3383,=12721.1957,=2116365660731.3704,=1807862919698,=1197598671041.0398,=5.4058,=0.1876,=6.9637,=6.2796,=5.5457
2021-10-29,=11739.0267,=12637.9638,=2094729195958.2400,=1793848840274,=1176609352931.7395,=5.4060,=0.1880,=6.9696,=6.2819,=5.5457
2021-10-28,=11470.5018,=12348.8761,=2052726856323.2000,=1755797739940,=1149101788807.7800,=5.3074,=0.1846,=6.9696,=6.2827,=5.5482
2021-10-27,=11480.3334,=12359.4606,=2051318132920.0200,=1753305104384,=1142985065964.6799,=5.5706,=0.2038,=6.9696,=6.2836,=5.5598
2021-10-26,=11557.4644,=12442.4981,=2066615574331.1096,=1760299066496,=1150849047148.4900,=5.6657,=0.2250,=6.9696,=6.2844,=5.5598
2021-10-25,=11560.9809,=12446.2839,=2063586422472.4597,=1758949521745,=1145601312690.6201,=5.6877,=0.2386,=6.9696,=6.2853,=5.5598
2021-10-22,=11439.3247,=12315.3117,=2041939160252.5601,=1740101740936,=1109794381635.0300,=5.6784,=0.2315,=6.9701,=6.2855,=5.5482
2021-10-21,=11162.0774,=12016.8336,=1989304903401.8003,=1696857567646,=1079964931018.2800,=5.6112,=0.2129,=6.9701,=6.2858,=5.5482
2021-10-20,=11379.2354,=12250.6209,=2027636167114.3301,=1728946868191,=1099732444509.0596,=5.6715,=0.2267,=6.9701,=6.2906,=5.5482
2021-10-19,=11396.5092,=12269.2175,=2030763125039.2295,=1731699358572,=1101432517130.9600,=5.7052,=0.2405,=6.9701,=6.2955,=5.5482
2021-10-18,=11357.9449,=12227.7001,=2023951962987.7900,=1727005288660,=1096366820873.2500,=5.6952,=0.2371,=6.9701,=6.2962,=5.5482
2021-10-15,=11489.7922,=12369.6439,=2041033310239.6101,=1747136483833,=1108882215726.0298,=5.7802,=0.2663,=6.9722,=6.2970,=5.5457
2021-10-14,=11119.1999,=11970.6728,=1975104381549.6799,=1692531025340,=1074435172802.7700,=5.6803,=0.2322,=6.9722,=6.2983,=5.5457
2021-10-13,=11051.8385,=11898.1531,=1965105351414.4399,=1680257660250,=1066793230948,=5.6942,=0.2346,=6.9722,=6.2996,=5.5457
2021-10-12,=10747.9074,=11570.9480,=1912293320818.6904,=1631758525883,=1035567211395.2004,=5.5738,=0.2081,=6.9722,=6.2999,=5.5457
2021-10-11,=11100.6140,=11950.6637,=1973648074827.6196,=1683849196623,=1069777237673.2600,=5.6740,=0.2278,=6.9722,=6.3001,=5.5457
2021-10-08,=11189.5432,=12046.4028,=1989146146200.3303,=1694246925742,=1078059111049.2700,=5.6520,=0.2224,=6.9723,=6.3006,=5.5232
