日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2020-01-13,=6817.8489,=7308.4417,=957027278607.2000,=693246710550,=396595835657.4739,=6.6068,=0.9899,=6.2774,=5.7744,=5.3623
2020-01-10,=6446.6582,=6910.5412,=900186464832,=653726437795,=375238502487.3115,=6.2144,=0.7653,=6.2613,=5.7611,=5.3623
2020-01-09,=6193.3709,=6639.0281,=860863932733.5000,=625466670238,=360416526915.2805,=5.9429,=0.5876,=6.2774,=5.7538,=5.3396
2020-01-08,=6005.8131,=6437.9742,=832426787470.7000,=607231677692,=349481316866.2008,=5.7466,=0.5000,=6.2774,=5.7466,=5.3396
2020-01-07,=6162.0405,=6605.4432,=850794587675.3000,=623687525345,=358561544285.5196,=5.8734,=0.5474,=6.2774,=5.7508,=5.3396
2020-01-06,=6221.1639,=6668.8210,=858838462685,=628349808373,=362126594493.0101,=5.9289,=0.5638,=6.2774,=5.7406,=5.3396
2020-01-03,=6171.3807,=6615.4556,=856376076263.3000,=624129750715,=359254956993.0518,=5.9119,=0.5591,=6.2774,=5.7404,=5.3396
2020-01-02,=6205.3545,=6651.8741,=864298409820.4001,=626469205800,=361173711035.8219,=5.9666,=0.5978,=6.2868,=5.7401,=5.3394
2019-12-31,=5950.0760,=6378.2265,=828898051421.5999,=599879454150,=346379699064.1894,=5.7223,=0.4725,=6.2868,=5.7344,=5.3394
2019-12-30,=5958.0113,=6386.7328,=829811179186.6000,=600451600286,=346895192681.7957,=5.7286,=0.4889,=6.2868,=5.7401,=5.3394
2019-12-27,=5934.0472,=6361.0443,=829288109587,=597006283515,=345505511253.6826,=5.7249,=0.4831,=6.2868,=5.7404,=5.3394
2019-12-26,=6165.9939,=6609.6812,=862487410798.9000,=619943698178,=359010067320.0381,=5.9541,=0.5795,=6.2868,=5.7406,=5.3394
2019-12-25,=6229.0196,=6677.2421,=874827739978,=625171806153,=362775079621.8371,=6.0393,=0.6207,=6.3005,=5.7404,=5.3351
2019-12-24,=5924.4478,=6350.7541,=831489979957.2999,=594830939946,=345264534508.9478,=5.7401,=0.5000,=6.3005,=5.7401,=5.3351
2019-12-23,=5716.9240,=6128.2975,=805463220453.7000,=574674647730,=333011807326.7340,=5.5605,=0.3882,=6.3005,=5.7178,=5.3351
2019-12-20,=5908.0129,=6333.1366,=831554588890.7000,=595195892047,=343969260391.6085,=5.7406,=0.5000,=6.3005,=5.7406,=5.3351
2019-12-19,=5975.0599,=6405.0081,=838767995280.6000,=603007640816,=347985047741.7482,=5.7904,=0.5301,=6.3005,=5.7280,=5.3351
2019-12-18,=6124.3071,=6564.9947,=859654579810.3999,=619013783493,=356682347335.1114,=5.9346,=0.5488,=6.3362,=5.6949,=5.3345
2019-12-17,=6171.7385,=6615.8391,=859773672796.9000,=624486511793,=359498865528.2855,=6.2078,=0.7037,=6.3362,=5.6829,=5.3345
2019-12-16,=6162.2860,=6605.7064,=855692729373.4999,=623106422277,=358985015695.2224,=6.1783,=0.6875,=6.3362,=5.6708,=5.3345
2019-12-13,=6030.7688,=6464.7257,=796905172722.9000,=565795735824,=335841280797.1226,=6.6011,=0.9873,=6.3362,=5.6664,=5.3345
2019-12-12,=6029.1607,=6463.0019,=799337938525.5999,=565636681451,=335820390917.7741,=6.6212,=1,=6.3005,=5.6619,=5.3345
2019-12-11,=5932.0061,=6358.8563,=789314482124,=557019132255,=330636897127.2286,=6.5382,=0.9740,=6.3005,=5.6535,=5.3212
2019-12-10,=5987.9283,=6418.8026,=792500592976.3000,=560572329156,=333578393133.3904,=6.5646,=0.9868,=6.2868,=5.6452,=5.3212
