date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,kc50_pe,bond_10y_yield,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile
2021-01-21,16.58,1.85,24.4,2.18,,3.1335,2.897863088057902,0.9983122362869198,0.9978902953586498,0.5063291139240507,0.48438818565400843
2021-01-22,16.52,1.85,24.42,2.18,,3.1185,2.934768765133172,0.9974683544303797,0.9974683544303797,0.5071729957805907,0.48481012658227846
2021-01-25,16.65,1.87,24.42,2.18,,3.1323,2.8737060060060067,0.9983122362869198,0.99915611814346,0.5075949367088608,0.48523206751054854
2021-01-26,16.37,1.84,24.03,2.14,,3.1585,2.9502354917532063,0.9924050632911392,0.9936708860759493,0.48649789029535867,0.44556962025316454
2021-01-27,16.41,1.84,24.09,2.15,,3.1636,2.9302452163315054,0.9928270042194093,0.9932489451476794,0.4919831223628692,0.4573839662447257
2021-01-28,16.0,1.8,23.54,2.1,,3.1961,3.0539,0.9856540084388186,0.979746835443038,0.44936708860759494,0.41983122362869196
2021-01-29,15.95,1.79,23.29,2.08,,3.1786,3.090992476489029,0.9848101265822785,0.9767932489451476,0.42616033755274263,0.41561181434599154
2021-02-01,16.1,1.82,23.58,2.1,,3.1712,3.039980124223602,0.9864978902953586,0.9839662447257383,0.45527426160337553,0.4210970464135021
2021-02-02,16.29,1.84,23.72,2.12,,3.1862,2.9525354205033767,0.9890295358649789,0.9928270042194093,0.4649789029535865,0.4312236286919831
2021-02-03,16.22,1.82,23.53,2.1,,3.2112,2.954028113440198,0.9864978902953586,0.9827004219409282,0.44978902953586497,0.4215189873417722
2021-02-04,16.09,1.82,23.27,2.08,,3.2347,2.9803403977625855,0.9839662447257383,0.9822784810126582,0.4248945147679325,0.4160337552742616
2021-02-05,16.15,1.82,22.99,2.05,,3.2164,2.975550464396285,0.9848101265822785,0.9818565400843882,0.40337552742616034,0.39957805907172994
2021-02-07,,,,,,3.2168,,,,,
2021-02-08,16.33,1.84,23.28,2.08,,3.237,2.8866987140232707,0.9890202702702703,0.9923986486486487,0.42778716216216217,0.41765202702702703
2021-02-09,16.64,1.88,23.77,2.11,,3.2303,2.779315384615384,0.9974662162162162,1.0,0.47761824324324326,0.42989864864864863
2021-02-10,16.99,1.92,23.96,2.13,,3.2449,2.640915185403179,1.0,1.0,0.48986486486486486,0.44425675675675674
2021-02-18,16.92,1.91,24.27,2.15,,3.2831,2.627065484633569,0.9991554054054054,0.9991554054054054,0.5135135135135135,0.4666385135135135
2021-02-19,16.95,1.91,24.54,2.18,,3.2578,2.641905014749262,0.9991554054054054,0.9987331081081081,0.5236486486486487,0.4970439189189189
2021-02-20,,,,,,3.2605,,,,,
2021-02-22,16.59,1.86,24.38,2.16,,3.2736,2.754127546714889,0.9940828402366864,0.9940828402366864,0.518174133558749,0.4818258664412511
2021-02-23,16.54,1.86,24.27,2.16,,3.2635,2.782449214026603,0.9923922231614539,0.9936601859678783,0.5143702451394759,0.4822485207100592
2021-02-24,16.13,1.81,23.92,2.13,,3.2627,2.936928022318661,0.978021978021978,0.9712595097210481,0.4881656804733728,0.44505494505494503
2021-02-25,16.26,1.82,23.84,2.12,,3.2723,2.8777615006150055,0.9809805579036348,0.9754860524091293,0.4826711749788673,0.43660185967878273
2021-02-26,15.87,1.78,23.18,2.07,,3.2798,3.021397227473221,0.9721048182586645,0.9619611158072696,0.42054099746407436,0.41377852916314456
2021-03-01,16.0,1.8,23.56,2.1,,3.2475,3.0025,0.9733727810650887,0.9674556213017751,0.45731191885038036,0.4260355029585799
2021-03-02,15.78,1.77,23.41,2.09,,3.2474,3.089735614702155,0.9695688926458157,0.9585798816568047,0.44167371090448015,0.42265426880811496
