date,year,month,index_code,turnover
2015-03-18,2015,3,932.0,0.0028312082218011
2015-03-18,2015,3,995.0,0.0125028951884477
2015-03-18,2015,3,12.0,0.000828253517316
2015-03-19,2015,3,300.0,0.1019724559403646
2015-03-19,2015,3,905.0,0.0246035978375407
2015-03-19,2015,3,932.0,0.0028356112901205
2015-03-19,2015,3,995.0,0.0142283609381491
2015-03-19,2015,3,12.0,0.0006112650732709
2015-03-20,2015,3,300.0,0.1032266916441408
2015-03-20,2015,3,905.0,0.0222105689225805
2015-03-20,2015,3,932.0,0.0025346787525419
2015-03-20,2015,3,995.0,0.012795745386542
2015-03-20,2015,3,12.0,0.0004030566032634
2015-03-23,2015,3,300.0,0.0984677566633543
2015-03-23,2015,3,905.0,0.0244797432121341
2015-03-23,2015,3,932.0,0.0028862545637204
2015-03-23,2015,3,995.0,0.0154486006821155
2015-03-23,2015,3,12.0,0.0007114324324324
2015-03-24,2015,3,300.0,0.1179400671424393
2015-03-24,2015,3,905.0,0.027968129423798
2015-03-24,2015,3,932.0,0.0032487105803262
2015-03-24,2015,3,995.0,0.0175020242333983
2015-03-24,2015,3,12.0,0.0009268146005919
2015-03-25,2015,3,300.0,0.0964287145608124
2015-03-25,2015,3,905.0,0.0238004915737433
2015-03-25,2015,3,932.0,0.0030308486672643
2015-03-25,2015,3,995.0,0.0122873630732467
2015-03-25,2015,3,12.0,0.0005972217530251
2015-03-26,2015,3,300.0,0.0877864323509955
2015-03-26,2015,3,905.0,0.0231716508324266
2015-03-26,2015,3,932.0,0.0029088911522065
2015-03-26,2015,3,995.0,0.0100742797261449
2015-03-26,2015,3,12.0,0.0007194908555329
2015-03-27,2015,3,300.0,0.0752212628506152
2015-03-27,2015,3,905.0,0.0176721570666068
2015-03-27,2015,3,932.0,0.0022956231505661
2015-03-27,2015,3,995.0,0.007822778610249
2015-03-27,2015,3,12.0,0.0003832474104904
2015-03-30,2015,3,300.0,0.1047647690487058
2015-03-30,2015,3,905.0,0.0225270332732178
2015-03-30,2015,3,932.0,0.0024547726551662
2015-03-30,2015,3,995.0,0.0115207225944881
2015-03-30,2015,3,12.0,0.0006480959811928
2015-03-31,2015,3,300.0,0.1076385272131445
2015-03-31,2015,3,905.0,0.0234252810934463
2015-03-31,2015,3,932.0,0.0027582005201213
2015-03-31,2015,3,995.0,0.0107318233564983
2015-03-31,2015,3,12.0,0.0017053850208831
2015-04-01,2015,4,300.0,0.079903310826294
2015-04-01,2015,4,905.0,0.0208624252986203
2015-04-01,2015,4,932.0,0.0024644001726058
2015-04-01,2015,4,995.0,0.0097341354567866
2015-04-01,2015,4,12.0,0.0013546795369401
2015-04-02,2015,4,300.0,0.0822033720134135
2015-04-02,2015,4,905.0,0.0221741501522091
2015-04-02,2015,4,932.0,0.0027150782838111
2015-04-02,2015,4,995.0,0.0120745767582493
