日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-12-06,=7873.4241,=8507.1283,=2014758609039.8999,=1559024671838,=1064756671375.4700,=4.4376,=0.0524,=7.4251,=6.1577,=5.5250
2022-12-05,=7735.8530,=8358.4845,=1977804689496.7695,=1521960587868,=1046074820624.0398,=4.3004,=0.0250,=7.4251,=6.1577,=5.5261
2022-12-02,=7691.8727,=8310.9643,=1962204594662.6704,=1512715423528,=1039629146134.3000,=4.2095,=0.0100,=7.4251,=6.1614,=5.5295
2022-12-01,=7756.3921,=8380.6766,=1978068295361.7200,=1525944721089,=1048336957183.2498,=4.2816,=0.0213,=7.4251,=6.1652,=5.5335
2022-11-30,=7650.2969,=8266.0422,=1954066174305.2104,=1505183014655,=1034430023628.5302,=4.2574,=0.0176,=7.4466,=6.1659,=5.5335
2022-11-29,=7671.8366,=8289.3156,=1960271605024.1201,=1510609137866,=1038021163447.7400,=4.3129,=0.0264,=7.4466,=6.1666,=5.5351
2022-11-28,=7567.2216,=8176.2805,=1932363530150.2104,=1491200006823,=1024122776058,=4.2124,=0.0113,=7.4466,=6.1679,=5.5351
2022-11-25,=7684.7528,=8303.2714,=1961579711935.2600,=1513121093513,=1039575980205.7902,=4.3176,=0.0264,=7.4466,=6.1693,=5.5352
2022-11-24,=7767.0696,=8392.2136,=1980601636038.0095,=1530272648922,=1050654542296.8104,=4.3135,=0.0252,=7.4466,=6.1698,=5.5374
2022-11-23,=7839.9545,=8470.9648,=1997300619193.8000,=1544461111171,=1060396836321.8998,=4.3757,=0.0316,=7.4502,=6.1704,=5.5374
2022-11-22,=7859.8147,=8492.4235,=2003065063987.8799,=1547640468850,=1062920452336.6801,=4.3762,=0.0316,=7.4502,=6.1705,=5.5442
2022-11-21,=7953.8386,=8594.0150,=2026089573666.4795,=1565433371063,=1074703376236.0800,=4.4547,=0.0418,=7.4502,=6.1706,=5.5465
2022-11-18,=8027.4503,=8673.5514,=2042946346906.2600,=1579128241718,=1084779416117.2300,=4.5190,=0.0444,=7.4502,=6.1725,=5.5488
2022-11-17,=8231.6277,=8894.1623,=2096550418932.4297,=1621923360836,=1113090534026.1897,=4.6774,=0.0660,=7.4502,=6.1744,=5.5520
2022-11-16,=8068.2042,=8717.5854,=2059785941376.4099,=1591053099354,=1090247401965.3102,=4.5520,=0.0457,=7.4643,=6.1755,=5.5520
2022-11-15,=8183.7454,=8842.4261,=2087853040771.2200,=1614966874304,=1106599414637.7200,=4.5609,=0.0471,=7.4643,=6.1767,=5.5537
2022-11-14,=7712.8953,=8333.6789,=1974338741127.4199,=1522193724936,=1043158270011.2800,=4.3754,=0.0306,=7.4643,=6.1821,=5.5539
2022-11-11,=7675.3673,=8293.1304,=1958686725261.3704,=1515672517298,=1037647565599.9399,=4.3685,=0.0293,=7.4643,=6.1875,=5.5565
2022-11-10,=7574.3597,=8183.9930,=1933107140792.0796,=1494949737100,=1020208006111.3998,=4.3118,=0.0230,=7.4643,=6.1895,=5.5643
2022-11-09,=7762.4710,=8387.2447,=1981052097965.8799,=1533137292929,=1045240601596.8098,=4.4316,=0.0358,=7.4718,=6.1915,=5.5643
2022-11-08,=7847.5328,=8479.1528,=2001636119979.2100,=1550685135866,=1056350778992.7100,=4.4646,=0.0371,=7.4718,=6.1918,=5.5675
2022-11-07,=7951.2233,=8591.1890,=2027986464644.5701,=1571609231387,=1070268745575.1400,=4.4866,=0.0372,=7.4718,=6.1921,=5.5677
2022-11-04,=8015.7624,=8660.9226,=2045913639411.9600,=1585106853584,=1079802889453.2804,=4.6013,=0.0475,=7.4718,=6.1943,=5.5718
2022-11-03,=7866.3773,=8499.5140,=2014613515679.8296,=1556542285738,=1060614514256.4402,=4.5996,=0.0463,=7.4718,=6.1964,=5.5736
2022-11-02,=7655.1717,=8271.3092,=1962018866100.7900,=1512114212085,=1030993511914.3300,=4.4302,=0.0347,=7.4729,=6.1992,=5.5736
2022-11-01,=7631.1858,=8245.3928,=1953783787450.3503,=1506241428730,=1027131448384.5100,=4.4260,=0.0335,=7.4729,=6.2020,=5.5741
