日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2019-11-25,=4998.6891,=5358.3805,=650680778249.8000,=470570731447,=278795798405.6522,=4.2968,=0.1846,=4.6702,=4.5130,=4.3425
2019-11-22,=5228.3639,=5604.5821,=684165086904.7001,=494795650157,=291954579512.5183,=4.5179,=0.5000,=4.6702,=4.5179,=4.3476
2019-11-21,=5340.4478,=5724.7313,=698044166384.1000,=504812094876,=298391193911.5952,=4.6095,=0.6825,=4.6702,=4.5157,=4.3476
2019-11-20,=5331.7812,=5715.4411,=694806512565.2001,=503712076349,=297851583096.2465,=4.5881,=0.6613,=4.6807,=4.5080,=4.3425
2019-11-19,=5432.0431,=5822.9175,=708816943987.2000,=512890724003,=303441189692.5770,=4.6807,=0.8033,=4.6807,=4.4985,=4.3425
2019-11-18,=5346.8196,=5731.5616,=697984683164,=505791893145,=298686941205.1298,=4.6091,=0.6833,=4.6702,=4.4890,=4.3425
2019-11-15,=5374.2343,=5760.9490,=704940714916.1001,=505150270370,=300125562896.0475,=4.6551,=0.7797,=4.6702,=4.4888,=4.3425
2019-11-14,=5407.4740,=5796.5805,=703555546886.9000,=505650161959,=301496652584.4121,=4.6459,=0.7759,=4.6702,=4.4887,=4.3425
2019-11-13,=5278.0130,=5657.8038,=688036121762.3999,=494662139685,=294405561604.0979,=4.5434,=0.6316,=4.6928,=4.4832,=4.2882
2019-11-12,=5086.2913,=5452.2863,=658372728657.2000,=476859799069,=283544459396.8060,=4.3476,=0.2321,=4.6928,=4.4777,=4.2882
2019-11-11,=5145.0805,=5515.3058,=666745864336.7001,=484029119852,=286990314252.3001,=4.4028,=0.3273,=4.6928,=4.4832,=4.2882
2019-11-08,=5255.6574,=5633.8395,=678083752659.8999,=492315833074,=293020211287.7366,=4.4777,=0.4815,=4.6928,=4.4887,=4.2882
2019-11-07,=5240.3021,=5617.3793,=674301728413.9999,=489518845190,=291963767142.7916,=4.4527,=0.3962,=4.6928,=4.4888,=4.2882
2019-11-06,=5211.8142,=5586.8415,=673401354561.4000,=486103086048,=290368350049.8584,=4.4468,=0.3654,=4.7003,=4.4890,=4.2827
2019-11-05,=5318.9520,=5701.6886,=682677296589.1001,=494845462795,=296069218474.7943,=4.5080,=0.5098,=4.7003,=4.4985,=4.2827
2019-11-04,=5214.7931,=5590.0347,=666571852173,=485019776206,=290261795382.5798,=4.4017,=0.3400,=4.7003,=4.4890,=4.2827
