日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率中位数,股息率 分位点,股息率 80%分位点值,股息率 50%分位点值,股息率 20%分位点值
2023-09-21,=6822.7857,=7390.2938,=1897348447405,=1437527383013,=956035864312.7198,=0.0024,=0.6436,=0.0029,=0.0019,=0.0014
2023-09-20,=6843.7449,=7412.9964,=1902697235666.9705,=1435573411999,=959151252432.5502,=0.0025,=0.6472,=0.0029,=0.0019,=0.0014
2023-09-19,=6942.8882,=7520.3863,=1928696017148.3401,=1456980197442,=972801430838.3101,=0.0024,=0.6459,=0.0029,=0.0019,=0.0014
2023-09-18,=6976.9641,=7557.2965,=1940312841434.6499,=1465054372523,=977622585449.5900,=0.0024,=0.6365,=0.0029,=0.0019,=0.0014
2023-09-15,=7073.8683,=7662.2610,=1975013939818.2800,=1483289683139,=991432719850.5002,=0.0024,=0.6280,=0.0029,=0.0019,=0.0014
2023-09-14,=6978.6385,=7559.1102,=1947421809809.4504,=1464967847690,=977909702886.2500,=0.0024,=0.6327,=0.0029,=0.0019,=0.0014
2023-09-13,=7080.4722,=7669.4143,=1971242008672.4299,=1486152243763,=992016039603.9800,=0.0023,=0.6242,=0.0029,=0.0019,=0.0014
2023-09-12,=7162.9024,=7758.7010,=1995377362573.7800,=1503511360766,=1003492623517.1302,=0.0023,=0.6178,=0.0029,=0.0019,=0.0014
2023-09-11,=7214.0773,=7814.1326,=2010694408141.2400,=1513918152182,=1010717241322.7798,=0.0023,=0.6073,=0.0029,=0.0019,=0.0014
2023-09-08,=7216.9577,=7817.2526,=2012285148741.7495,=1507724044477,=1011002802608.6200,=0.0023,=0.6079,=0.0029,=0.0019,=0.0014
2023-09-07,=7174.9591,=7771.7606,=2001100690959.3789,=1500027595109,=1005210412111.6998,=0.0023,=0.6146,=0.0029,=0.0019,=0.0014
2023-09-06,=7467.5620,=8088.7017,=2096665773454.3999,=1559146564507,=1046340255820.9800,=0.0022,=0.5939,=0.0029,=0.0019,=0.0014
2023-09-05,=7326.8265,=7936.2600,=2054096273655.1799,=1529469584292,=1025081086000.2100,=0.0023,=0.6016,=0.0029,=0.0019,=0.0014
2023-09-04,=7353.8554,=7965.5371,=2068513325479.4099,=1534971141475,=1028840870967.8198,=0.0022,=0.6002,=0.0029,=0.0019,=0.0014
2023-09-01,=7238.5635,=7840.6554,=2026840846108.4004,=1514592278644,=1012742599196.3900,=0.0023,=0.6008,=0.0029,=0.0019,=0.0014
2023-08-31,=7293.0992,=7899.7273,=2043946858773.7104,=1525490432719,=1020084229703.9301,=0.0023,=0.6014,=0.0029,=0.0019,=0.0014
2023-08-30,=7251.8853,=7855.0852,=2027697951038.8799,=1517536008210,=1006773019663.8300,=0.0022,=0.6000,=0.0029,=0.0019,=0.0014
2023-08-29,=7083.3558,=7672.5377,=1976265398917.7695,=1483597627089,=980683244085.2800,=0.0023,=0.6078,=0.0029,=0.0019,=0.0014
2023-08-28,=6837.1673,=7405.8717,=1905247300916.7605,=1435171244853,=941750236741.5958,=0.0024,=0.6278,=0.0029,=0.0019,=0.0014
2023-08-25,=6772.7337,=7336.0786,=1888676330674.2505,=1422634609704,=932278079659.7140,=0.0024,=0.6366,=0.0030,=0.0019,=0.0014
2023-08-24,=6930.3968,=7506.8559,=1929326106115.3596,=1456262955114,=952812424513.0404,=0.0023,=0.6230,=0.0030,=0.0019,=0.0014
2023-08-23,=6809.2217,=7375.6016,=1899581180696.9104,=1433028619757,=938890336635.7704,=0.0024,=0.6297,=0.0030,=0.0019,=0.0014
