日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-04-11,=8385.8411,=9028.0016,=1527489387889.2600,=1310763923893,=865454145841.9198,=11.0202,=0.0844,=16.6517,=14.3459,=12.6109
2022-04-08,=8863.8033,=9542.5646,=1614206072726.1899,=1384204223320,=912713637643.3800,=11.8133,=0.1346,=16.6517,=14.3546,=12.6269
2022-04-07,=8852.4005,=9530.2886,=1613530890616.2900,=1383858802537,=911715462337.9200,=11.7675,=0.1317,=16.6517,=14.3633,=12.6608
2022-04-06,=9049.0991,=9742.0497,=1650368296513.0500,=1414516134721,=931941356773.9700,=12.0429,=0.1460,=16.6577,=14.3641,=12.6608
2022-04-01,=9364.8782,=10082.0101,=1710732742452.9800,=1464419361989,=964574603855,=11.4234,=0.1164,=16.6577,=14.3650,=12.7018
2022-03-31,=9361.4979,=10078.3710,=1707848589712.2605,=1463946127760,=964259640594.4301,=12.5143,=0.1795,=16.6577,=14.3757,=12.7258
2022-03-30,=9642.4987,=10380.8900,=1759483226945.8501,=1507691598637,=988722901958.5900,=12.9995,=0.2366,=16.6577,=14.3864,=12.7286
2022-03-29,=9454.9951,=10179.0280,=1722819535220.4402,=1477517936790,=969670236062.2700,=12.7286,=0.2006,=16.6577,=14.3871,=12.7286
2022-03-28,=9651.4965,=10390.5769,=1759774200464.4302,=1506602131057,=989907341736.2802,=12.9668,=0.2310,=16.6617,=14.3878,=12.7258
2022-03-25,=9791.8961,=10541.7279,=1786482160486.9600,=1528087098186,=1004455978597.3199,=13.1575,=0.2583,=16.6617,=14.3880,=12.7258
2022-03-24,=9904.2071,=10662.6393,=1809801578533.9600,=1547249233968,=1016211894681.5798,=13.3111,=0.2825,=16.6617,=14.3882,=12.7258
2022-03-23,=10153.5446,=10931.0703,=1855448343994.7400,=1584432847595,=1042113946213.8400,=13.6152,=0.3784,=16.6617,=14.3884,=12.7258
2022-03-22,=10153.5533,=10931.0796,=1857034518663.7305,=1585923588713,=1042400764363.8800,=13.5865,=0.3710,=16.6617,=14.3886,=12.7258
2022-03-21,=10344.6156,=11136.7728,=1892199056714.7200,=1616398554292,=1059576682336.0802,=13.7856,=0.4067,=16.6619,=14.3924,=12.7018
2022-03-18,=10233.8263,=11017.4997,=1870870513978.4500,=1598192575313,=1048425770357.7698,=13.5421,=0.3578,=16.6619,=14.3962,=12.7018
2022-03-17,=10340.1594,=11131.9755,=1889050549339.9800,=1612878100323,=1059228003854.1602,=13.6585,=0.3824,=16.6619,=14.4032,=12.7018
2022-03-16,=10200.5131,=10981.6355,=1866241825644.5503,=1594138535527,=1044484126861.8400,=13.4129,=0.3141,=16.6619,=14.4102,=12.7018
2022-03-15,=9674.0885,=10414.8990,=1767287434984.0002,=1509580187953,=989792729391.5800,=12.7882,=0.2119,=16.6619,=14.4174,=12.7018
2022-03-14,=10011.4950,=10778.1430,=1823910598535.5305,=1560296527306,=1024672980179.0800,=13.1470,=0.2572,=16.6669,=14.4245,=12.6608
2022-03-11,=10358.1476,=11151.3411,=1890413161066.3604,=1615545421681,=1061025647294.0198,=13.5807,=0.3671,=16.6669,=14.4276,=12.6608
2022-03-10,=10361.7297,=11155.1975,=1893142032011.2900,=1616841975302,=1061795059086.8900,=13.5756,=0.3645,=16.6669,=14.4306,=12.6608
2022-03-09,=10238.4296,=11022.4554,=1871103417184.7104,=1595800415598,=1049027452641.4000,=13.6070,=0.3700,=16.6669,=14.4372,=12.6608
2022-03-08,=10147.0776,=10924.1079,=1852569730103.3799,=1580391695114,=1039674004040.6304,=13.5438,=0.3576,=16.6669,=14.4438,=12.6608
2022-03-07,=10167.5425,=10946.1399,=1853520413549.6699,=1578390409178,=1041439923822.7900,=13.5569,=0.3598,=16.6940,=14.4630,=12.6269
2022-03-04,=10585.4965,=11396.0995,=1932712798917.8096,=1644387810857,=1084515124011.0100,=14.1010,=0.4448,=16.6940,=14.4822,=12.6269
2022-03-03,=10504.2255,=11308.6050,=1918096108087.6201,=1632756786961,=1076386489944.0400,=13.8918,=0.4081,=16.6940,=14.4835,=12.6269
2022-03-02,=10751.5433,=11574.8616,=1964523208058.1299,=1671687604518,=1101869629506.3501,=14.2746,=0.4674,=16.6940,=14.4847,=12.6269
2022-03-01,=10919.7939,=11755.9963,=1997044151507.2400,=1698324437808,=1119419208438.6001,=14.5193,=0.5155,=16.6940,=14.4887,=12.6269
2022-02-28,=10895.9059,=11730.2791,=1992424844363.4800,=1694310625155,=1116963535383.8899,=14.5155,=0.5131,=16.6969,=14.4847,=12.6109
2022-02-25,=10839.9899,=11670.0812,=1982821515789.2500,=1685034876905,=1111240899884.4299,=14.4245,=0.4943,=16.6969,=14.4835,=12.6109
2022-02-24,=10719.4648,=11540.3267,=1959474209125.2295,=1666422102318,=1099101633453.7400,=14.2390,=0.4639,=16.6969,=14.4847,=12.6109
2022-02-23,=10812.0461,=11639.9976,=1976008338138.3601,=1680047202650,=1108227086799.7500,=14.3458,=0.4778,=16.6969,=14.4887,=12.6109
2022-02-22,=10233.4489,=11017.0933,=1867261788256.9500,=1590903233219,=1049156024012.8199,=13.4818,=0.3421,=16.6969,=14.4927,=12.6109
2022-02-21,=10170.8989,=10949.7534,=1853717479973.5000,=1578734579949,=1042489309151.1996,=13.3367,=0.2965,=16.7000,=14.4944,=12.6032
2022-02-18,=10178.1199,=10957.5274,=1858075788056.1499,=1579336098952,=1043585076714.2900,=13.4102,=0.3168,=16.7000,=14.4961,=12.6032
2022-02-17,=10278.7328,=11065.8449,=1877857794351.4199,=1595710331710,=1054142480118.0198,=13.5309,=0.3537,=16.7000,=14.4983,=12.6032
2022-02-16,=10162.3520,=10940.5520,=1854548471933.7200,=1576586921792,=1042061720852.9502,=13.3573,=0.3013,=16.7000,=14.5005,=12.6032
2022-02-15,=10222.1037,=11004.8793,=1865882735219.6497,=1586097248127,=1048307511762.8700,=13.4668,=0.3317,=16.7000,=14.5030,=12.6032
2022-02-14,=9844.7726,=10598.6534,=1795889967035.4204,=1525824170439,=1008872097910.5702,=13.0127,=0.2458,=16.7192,=14.5055,=12.5983
2022-02-11,=9945.3113,=10706.8911,=1810337681404.8696,=1536744736455,=1018697958763.4900,=13.0709,=0.2529,=16.7192,=14.5082,=12.5983
2022-02-10,=10136.2961,=10912.5009,=1845492337589.6201,=1568584615212,=1038448096667.8199,=13.2908,=0.2800,=16.7192,=14.5110,=12.5983
2022-02-09,=10098.2508,=10871.5422,=1840234139573.1299,=1563022477124,=1034474263051.4200,=13.3276,=0.2938,=16.7192,=14.5121,=12.5983
2022-02-08,=10021.7699,=10789.2047,=1828674243991.2600,=1552465307343,=1027250842239.7200,=13.1712,=0.2659,=16.7192,=14.5132,=12.5983
2022-02-07,=10328.7552,=11119.6979,=1888875440896.0703,=1603083788196,=1059043069172.4602,=13.6040,=0.3601,=16.7206,=14.5143,=12.5795
2022-01-28,=10227.3086,=11010.4829,=1873075093511.8999,=1590098592935,=1049681053738.5900,=13.4055,=0.3104,=16.7206,=14.5154,=12.5795
2022-01-27,=10417.8794,=11215.6470,=1909773137220.5396,=1620669036747,=1069659629916.8900,=13.6129,=0.3597,=16.7206,=14.5161,=12.5795
2022-01-26,=10803.9251,=11631.2548,=1982185223467.0503,=1681900029911,=1109714820073.7400,=14.0181,=0.4209,=16.7206,=14.5167,=12.5795
2022-01-25,=10683.0516,=11501.1252,=1958599576063.5200,=1662576409391,=1097813876414.1500,=13.8921,=0.3997,=16.7206,=14.5188,=12.5795
2022-01-24,=10941.3452,=11779.1981,=2007191738741.3501,=1702649067887,=1124581731334.9602,=14.2781,=0.4561,=16.7430,=14.5209,=12.5729
2022-01-21,=10747.9626,=11571.0069,=1971697753343.4504,=1672671738381,=1104508708034.3501,=14.0368,=0.4247,=16.7430,=14.5310,=12.5729
2022-01-20,=10954.1591,=11792.9932,=2010393898424.8201,=1706465282553,=1126046607910.2200,=14.3101,=0.4593,=16.7430,=14.5411,=12.5729
2022-01-19,=11052.5076,=11898.8729,=2028037161552.5601,=1721316723791,=1135573595507.1499,=14.4927,=0.4839,=16.7430,=14.5462,=12.5729
2022-01-18,=11236.5738,=12097.0343,=2062954049485.7795,=1749652207253,=1154461205376.5801,=14.7359,=0.5306,=16.7430,=14.5513,=12.5729
2022-01-17,=11159.3011,=12013.8443,=2045908383463.9204,=1735676879476,=1145920762393.0498,=14.5666,=0.5026,=16.7545,=14.5462,=12.5676
2022-01-14,=10913.7105,=11749.4472,=1997903531300.8401,=1694241555187,=1119975941462.5698,=14.2610,=0.4573,=16.7545,=14.5411,=12.5676
2022-01-13,=10738.5008,=11560.8205,=1962886882620.5400,=1664524019196,=1101080711370.3101,=13.9628,=0.4085,=16.7545,=14.5462,=12.5676
2022-01-12,=10907.5938,=11742.8621,=1996662356102.7705,=1692736887804,=1118604932963.7200,=14.2363,=0.4521,=16.7545,=14.5513,=12.5676
2022-01-11,=10675.3843,=11492.8707,=1954518764690.3000,=1653589786896,=1094835111652.4398,=13.9924,=0.4185,=16.7545,=14.5652,=12.5676
2022-01-10,=10887.0096,=11720.7016,=1997648035711.8601,=1689218311613,=1116985614571.7200,=14.3878,=0.4674,=16.7784,=14.5790,=12.5627
2022-01-07,=11015.5640,=11859.1003,=2021773536110.9104,=1709933668495,=1130051303525.6797,=14.5411,=0.4957,=16.7784,=14.5801,=12.5627
