日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2023-10-24,=6818.5925,=7386.4140,=1926525835879.3799,=1430989876408,=956618327510.4000,=49.9775,=0.2833,=79.7512,=58.3606,=41.5573
2023-10-23,=6714.4033,=7273.5484,=1908576911791.2500,=1406722879862,=941884982906.3700,=49.1772,=0.2796,=79.8119,=58.3684,=41.5276
2023-10-20,=6870.9006,=7443.0781,=1949454528335.8899,=1438802801338,=963700073885.7900,=50.2099,=0.2859,=79.8119,=58.3710,=41.5276
2023-10-19,=6999.0938,=7581.9466,=1975165390919.9199,=1467504061008,=982090070613.7998,=51.0355,=0.2950,=79.8119,=58.3737,=41.5276
2023-10-18,=6946.1495,=7524.5933,=1953332365788.1299,=1458501218140,=974602687735.6500,=51.1762,=0.2963,=79.8119,=58.3939,=41.5276
2023-10-17,=7033.4943,=7619.2117,=1972254297729.7495,=1477206374965,=986915453039.2700,=52.1207,=0.3125,=79.8119,=58.4142,=41.5276
2023-10-16,=6959.1260,=7538.6503,=1950285809580.1399,=1463002392184,=976451095127.4698,=51.7992,=0.3049,=79.8983,=58.4265,=41.5030
2023-10-13,=7158.5469,=7754.6780,=2003448629093.5205,=1504812318746,=1004359588071.0402,=53.3877,=0.3300,=79.8983,=58.4387,=41.5030
2023-10-12,=7173.8707,=7771.2779,=2004591020593.4199,=1507705956615,=1006420570762.4399,=53.9041,=0.3423,=79.8983,=58.4755,=41.5030
2023-10-11,=7140.0602,=7734.6518,=1996544002570.8501,=1497515708924,=1001553031442.5699,=53.6010,=0.3367,=79.8983,=58.5122,=41.5030
2023-10-10,=7055.4431,=7642.9882,=1961093649552.6799,=1482866023319,=989276138729.0800,=53.6479,=0.3370,=79.8983,=58.5203,=41.5030
2023-10-09,=6985.3256,=7567.0317,=1945575716756.5901,=1469296743387,=979164335783.9100,=53.4249,=0.3323,=80.0791,=58.5285,=41.4466
2023-09-28,=6929.1540,=7506.1824,=1936887330904.0095,=1457543364479,=971601594764.2000,=53.1447,=0.3267,=80.0791,=58.5309,=41.4466
2023-09-27,=6849.1484,=7419.5142,=1909562527183.5500,=1440452108095,=959993540053.1400,=52.4974,=0.3190,=80.0791,=58.5332,=41.4466
2023-09-26,=6835.5773,=7404.8129,=1903423217414.4600,=1438452575926,=957975421125,=52.2229,=0.3143,=80.0791,=58.5350,=41.4466
2023-09-25,=6909.2839,=7483.9867,=1927082665864.6599,=1453894519296,=968085704949.4200,=52.8114,=0.3226,=80.0791,=58.5368,=41.4466
2023-09-22,=6973.6746,=7553.7333,=1942560874081.6011,=1467258404156,=977252964198.0702,=53.2771,=0.3260,=80.1035,=58.5470,=41.3815
2023-09-21,=6822.7857,=7390.2938,=1897348447405,=1437527383013,=956035864312.7198,=52.3299,=0.3163,=80.1035,=58.5573,=41.3815
2023-09-20,=6843.7449,=7412.9964,=1902697235666.9705,=1435573411999,=959151252432.5502,=52.5082,=0.3186,=80.1035,=58.5743,=41.3815
2023-09-19,=6942.8882,=7520.3863,=1928696017148.3401,=1456980197442,=972801430838.3101,=53.2785,=0.3249,=80.1035,=58.5912,=41.3815
2023-09-18,=6976.9641,=7557.2965,=1940312841434.6499,=1465054372523,=977622585449.5900,=53.8404,=0.3343,=80.1035,=58.5999,=41.3815
2023-09-15,=7073.8683,=7662.2610,=1975013939818.2800,=1483289683139,=991432719850.5002,=54.4486,=0.3417,=80.1906,=58.6085,=41.3218
2023-09-14,=6978.6385,=7559.1102,=1947421809809.4504,=1464967847690,=977909702886.2500,=54.1151,=0.3380,=80.1906,=58.6156,=41.3218
2023-09-13,=7080.4722,=7669.4143,=1971242008672.4299,=1486152243763,=992016039603.9800,=54.8993,=0.3495,=80.1906,=58.6226,=41.3218
